contig,name
AOID01000019.1,Natrinema versiforme JCM 10478_JCM 10478
AOIO01000049.1,Natrialba asiatica DSM 12278_DSM 12278
AOIP01000022.1,Natrialba aegyptia DSM 13077_DSM 13077
AOIR01000042.1,Natrinema thermotolerans DSM 11552_DSM 11552
AOJE01000025.1,Halorubrum saccharovorum DSM 1137_DSM 1137
AOJE01000038.1,Halorubrum saccharovorum DSM 1137_DSM 1137
AOJE01000051.1,Halorubrum saccharovorum DSM 1137_DSM 1137
AOLZ01000012.1,Halobiforma lacisalsi AJ5_AJ5
AOMA01000019.1,Halobiforma nitratireducens JCM 10879_JCM 10879
AP017558.1,Halopenitus persicus_CBA1233
BBJN01000020.1,Halolamina rubra_CBA1107
BMCI01000010.1,Haloferax sulfurifontis_CCM 7217
BMCI01000011.1,Haloferax sulfurifontis_CCM 7217
CP019286.1,Halobiforma lacisalsi AJ5_AJ5
CP019329.1,Natronorubrum daqingense_JX313
CP019330.1,Natronorubrum daqingense_JX313T
CP025066.1,Halalkaliarchaeum desulfuricum_AArc-Sl
CP026314.1,Salinigranum rubrum_GX10
CP031299.1,Natrinema thermotolerans_A29
CP040639.1,Natrinema pallidum_BOL6-1
CP058334.1,Natronomonas halophila_C90
CP058909.1,Halosimplex pelagicum_R2
CP081958.1,Halobaculum magnesiiphilum_NBRC 109044
CP084476.1,Natrinema sp. DC36_DC36
CP095494.1,Halosolutus gelatinilyticus_SQT-29-1
CP099999.1,Halovivax sp. AGai3-5_AGai3-5
CP100004.1,Halorussus sp. XZYJT10_XZYJT10
CP100355.1,Saliphagus sp. WLHS1_WLHS1
CP101158.1,Saliphagus sp. WLHSJ1_WLHSJ1
CP101161.1,Halosegnis sp. ZY10_ZY10
CP104003.1,Salinirubellus salinus_ZS-35-S2
CP119801.1,Halovivax sp. TS33_TS33
Eyre_NODE_236_length_33155_cov_19.932,
Eyresouth_NODE_101_length_48437_cov_7.17035,
Eyresouth_NODE_218_length_34093_cov_9.73377,
FNFC01000002.1,Halovenus aranensis_IBRC-M10015
FNFE01000011.1,"Natronorubrum texcoconense_B4,CECT 8067,JCM 17497"
FOIS01000007.1,Natrinema salifodinae_CGMCC 1.12284
FOXI01000018.1,Halolamina pelagica_CGMCC 1.10329
FOXI01000019.1,Halolamina pelagica_CGMCC 1.10329
Frome_NODE_208_length_31991_cov_42.105993,
Frome_NODE_383_length_24936_cov_4.316346,
Gairdner_NODE_107_length_49922_cov_74.384603,
Gairdner_NODE_118_length_47723_cov_5.388856,
Gairdner_NODE_144_length_43966_cov_7.457380,
Gairdner_NODE_1649_length_16492_cov_7.650423,
Gairdner_NODE_167_length_41210_cov_9.888325,
Gairdner_NODE_200_length_38460_cov_9.422054,
Gairdner_NODE_217_length_37248_cov_7.812599,
Gairdner_NODE_2803_length_13236_cov_7.077763,
Gairdner_NODE_4298_length_11003_cov_3.762240,
Gairdner_NODE_74_length_59309_cov_8.317565,
JAANTI010000009.1,Halolamina sp. R1-12_R1-12
JAAOHU010000009.1,Halostella sp. JP-L12_JP-L12
JABUQZ010000003.1,Haloterrigena gelatinilytica_SYSU A558-1
JAJCVI010000002.1,Halorubellus salinus_GX3
JAJCVI010000007.1,Halorubellus salinus_GX3
JAJNEG010000027.1,Halorubrum lacusprofundi_HL1RP11
JAJNEG010000028.1,Halorubrum lacusprofundi_HL1RP11
JAKRVX010000010.1,Natronocalculus amylovorans_AArc-St2
JAQLTW010000001.1,Halorubrum ezzemoulense_AMM088
JDTG01000019.1,Natrinema thermotolerans A29_A29
Kenyon_NODE_596_length_16493_cov_7.34451,
KX687704.1,Halorubrum lacusprofundi_R1S1
KX906370.1,Halorubrum lacusprofundi_HLS1
LOAJ01000002.1,Halorubrum aethiopicum_SAH-A6
LWLN01000003.1,Natrinema saccharevitans_AB14
NC_013748.1,Haloterrigena turkmenica DSM 5511_DSM 5511
NC_015659.1,Halopiger xanaduensis SH-6_SH-6
NXNI01000003.1,Natrinema ejinorense_JCM 13890
PSYY01000010.1,Haloferax sp. Atlit-4N_Atlit-4N
QKNW01000002.1,Halosegnis longus_F12-1
QPLN01000011.1,Haloarcula sp. Atlit-120R_Atlit-120R
RJJW01000001.1,Halorubrum sp. CSM-61_CSM-61
SJER01000008.1,Halostella litorea_DLLS-108
SRIF01000015.1,Halomicroarcula amylolytica_LR21
Torrens_NODE_2029_length_12012_cov_23.663126,
Tyrell_NODE_42_length_52436_cov_43.400050,
WOWA01000007.1,Haloarcula argentinensis_pws5
WPCC01000021.1,Natronomonas sp. CBA1123_CBA1123
WSZK01000033.1,Halomarina oriensis_JCM 16495
