r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;
;;;;;;;
r__Varidnaviria;k__Bamfordvirae;;;;;;
r__Varidnaviria;k__Bamfordvirae;p__Nucleocytoviricota;c__Megaviricetes;;;;
r__Varidnaviria;k__Bamfordvirae;p__Nucleocytoviricota;c__Megaviricetes;o__Pimascovirales;f__Iridoviridae;;
r__Varidnaviria;k__Bamfordvirae;p__Nucleocytoviricota;c__Megaviricetes;o__Pimascovirales;;;
r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Thumleimavirales;f__Hafunaviridae;;
r__Varidnaviria;k__Bamfordvirae;p__Nucleocytoviricota;c__Megaviricetes;o__Algavirales;;;
r__Varidnaviria;k__Bamfordvirae;p__Nucleocytoviricota;c__Megaviricetes;o__Algavirales;f__Phycodnaviridae;;
r__Adnaviria;k__Zilligvirae;p__Taleaviricota;c__Tokiviricetes;o__Primavirales;;;
r__Varidnaviria;k__Bamfordvirae;p__Preplasmiviricota;c__Tectiliviricetes;;;;
r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Thumleimavirales;;;
r__Varidnaviria;k__Bamfordvirae;p__Preplasmiviricota;c__Maveriviricetes;o__Priklausovirales;f__Lavidaviridae;;
r__Varidnaviria;k__Bamfordvirae;p__Nucleocytoviricota;c__Megaviricetes;o__Imitervirales;f__Mimiviridae;;
r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;f__Herelleviridae;;
r__Varidnaviria;k__Bamfordvirae;p__Nucleocytoviricota;;;;;
r__Varidnaviria;k__Bamfordvirae;p__Nucleocytoviricota;c__Megaviricetes;o__Imitervirales;;;
r__Monodnaviria;k__Loebvirae;p__Hofneiviricota;c__Faserviricetes;o__Tubulavirales;f__Inoviridae;;
