V1,N
;;;;;;;,199
r__Adnaviria;k__Zilligvirae;p__Taleaviricota;c__Tokiviricetes;o__Primavirales;;;,8
r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;,1325
r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;f__Herelleviridae;;,8
r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Thumleimavirales;;;,2
r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Thumleimavirales;f__Hafunaviridae;;,6
r__Monodnaviria;k__Loebvirae;p__Hofneiviricota;c__Faserviricetes;o__Tubulavirales;f__Inoviridae;;,1
r__Varidnaviria;k__Bamfordvirae;;;;;;,31
r__Varidnaviria;k__Bamfordvirae;p__Nucleocytoviricota;;;;;,8
r__Varidnaviria;k__Bamfordvirae;p__Nucleocytoviricota;c__Megaviricetes;;;;,422
r__Varidnaviria;k__Bamfordvirae;p__Nucleocytoviricota;c__Megaviricetes;o__Algavirales;;;,26
r__Varidnaviria;k__Bamfordvirae;p__Nucleocytoviricota;c__Megaviricetes;o__Algavirales;f__Phycodnaviridae;;,148
r__Varidnaviria;k__Bamfordvirae;p__Nucleocytoviricota;c__Megaviricetes;o__Imitervirales;;;,15
r__Varidnaviria;k__Bamfordvirae;p__Nucleocytoviricota;c__Megaviricetes;o__Imitervirales;f__Mimiviridae;;,31
r__Varidnaviria;k__Bamfordvirae;p__Nucleocytoviricota;c__Megaviricetes;o__Pimascovirales;;;,2
r__Varidnaviria;k__Bamfordvirae;p__Nucleocytoviricota;c__Megaviricetes;o__Pimascovirales;f__Iridoviridae;;,2
r__Varidnaviria;k__Bamfordvirae;p__Preplasmiviricota;c__Maveriviricetes;o__Priklausovirales;f__Lavidaviridae;;,3
r__Varidnaviria;k__Bamfordvirae;p__Preplasmiviricota;c__Tectiliviricetes;;;;,2
