LETTER,COUNT,COLOR,DESCRIPTION,SHORT_DESCRIPTION,perc
J,27,#FCCCFC,"Translation, ribosomal structure and biogenesis",Translation,2.23140495867769
A,0,#FCDCFC,RNA processing and modification,RNA processing,0
K,128,#FCDCEC,Transcription,Transcription,10.5785123966942
L,210,#FCDCDC,"Replication, recombination and repair","Replication, recombination, repair",17.3553719008264
B,0,#FCDCCC,Chromatin structure and dynamics,Chromatin structure,0
D,35,#FCFCDC,"Cell cycle control, cell division, chromosome partitioning","Cell cycle control, division",2.89256198347107
Y,0,#FCFCCC,Nuclear structure,Nuclear structure,0
V,99,#FCFCBC,Defense mechanisms,Defense mechanisms,8.18181818181818
T,54,#FCFCAC,Signal transduction mechanisms,Signal transduction,4.46280991735537
M,25,#ECFCAC,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope,2.06611570247934
N,67,#DCFCAC,Cell motility,Cell motility,5.53719008264463
Z,0,#CCFCAC,Cytoskeleton,Cytoskeleton,0
W,0,#BCFCAC,Extracellular structures,Extracellular structures,0
U,8,#ACFCAC,"Intracellular trafficking, secretion, and vesicular transport",Intracellular trafficking,0.661157024793388
O,50,#9CFCAC,"Posttranslational modification, protein turnover, chaperones",Posttranslational modification,4.13223140495868
X,74,#9CFC9C,"Mobilome: prophages, transposons",Mobilome,6.11570247933884
C,34,#BCFCFC,Energy production and conversion,Energy production,2.8099173553719
G,22,#CCFCFC,Carbohydrate transport and metabolism,Carbohydrate transp. & metabol.,1.81818181818182
E,63,#DCFCFC,Amino acid transport and metabolism,Amino acid transp. & metabol.,5.20661157024793
F,17,#DCECFC,Nucleotide transport and metabolism,Nucleotide transp. & metabol.,1.40495867768595
H,60,#DCDCFC,Coenzyme transport and metabolism,Coenzyme transp. & metabol.,4.95867768595041
I,43,#DCCCFC,Lipid transport and metabolism,Lipid transp. & metabol.,3.55371900826446
P,48,#CCCCFC,Inorganic ion transport and metabolism,Inorganic ion transp. & metabol.,3.96694214876033
Q,11,#BCCCFC,"Secondary metabolites biosynthesis, transport and catabolism",Secondary metabolites,0.909090909090909
R,115,#E0E0E0,General function prediction only,General function only,9.50413223140496
S,20,#CCCCCC,Function unknown,Unknown,1.65289256198347
