label,color,host
SJER01000008.1,#ffbe0b,Natronoarchaeaceae
JAJCVI010000007.1,#fb5607,Halobacteriaceae
CP031299.1,#ff006e,Natrialbaceae
FOXI01000018.1,#8338ec,Halorubraceae
LOAJ01000002.1,#8338ec,Halorubraceae
QKNW01000002.1,#3a86ff,Haloarculaceae
Gairdner_NODE_167,grey,
BBJN01000020.1,#8338ec,Halorubraceae
JAJCVI010000002.1,#fb5607,Halobacteriaceae
KX687704.1,#8338ec,Halorubraceae
KX906370.1,#8338ec,Halorubraceae
CP100004.1,#fb5607,Halobacteriaceae
CP101161.1,#3a86ff,Haloarculaceae
JDTG01000019.1,#ff006e,Natrialbaceae
AOJE01000051.1,#8338ec,Halorubraceae
JAAOHU010000009.1,#ffbe0b,Natronoarchaeaceae
CP101158.1,#ff006e,Natrialbaceae
AOLZ01000012.1,#ff006e,Natrialbaceae
CP019286.1,#ff006e,Natrialbaceae
AOIP01000022.1,#ff006e,Natrialbaceae
SRIF01000015.1,#3a86ff,Haloarculaceae
AOIR01000042.1,#ff006e,Natrialbaceae
CP099999.1,#ff006e,Natrialbaceae
CP095494.1,#ff006e,Natrialbaceae
LWLN01000003.1,#ff006e,Natrialbaceae
CP019329.1,#ff006e,Natrialbaceae
NC_013748.1,#ff006e,Natrialbaceae
NC_015659.1,#ff006e,Natrialbaceae
FNFE01000011.1,#ff006e,Natrialbaceae
AOIO01000049.1,#ff006e,Natrialbaceae
WSZK01000033.1,#fb5607,Halobacteriaceae
CP119801.1,#ff006e,Natrialbaceae
CP084476.1,#ff006e,Natrialbaceae
RJJW01000001.1,#8338ec,Halorubraceae
Gairdner_NODE_107,grey,
Eyresouth_NODE_101,grey,
Frome_NODE_383,grey,
AOJE01000025.1,#8338ec,Halorubraceae
Eyre_NODE_236,grey,
JAANTI010000009.1,#8338ec,Halorubraceae
