orf#,start,end,strand,contig,id,annot,score,evalue,aln_length,interpro_annot,interpro_evalue,DRAM_kegg,DRAM_pdfam,nr_annotation,nr_bitscore
16,12325,16005,FALSE,AOID01000019.1,AOID01000019.1_16,ORF6.faa,1206.3,0,1180,Quinoprotein alcohol dehydrogenase-like,2.12e-24,"","",carboxypeptidase regulatory-like domain-containing protein [Natrinema thermotolerans],139
89,73573,76854,TRUE,AOIO01000049.1,AOIO01000049.1_89,ORF6.faa,1100.7,0,1166,"",,"","","",
21,12848,16498,TRUE,AOIP01000022.1,AOIP01000022.1_21,ORF6.faa,1340.9,0,1183,Quinoprotein alcohol dehydrogenase-like,1.65e-68,"","","",
37,36139,37464,TRUE,AOIR01000042.1,AOIR01000042.1_37,ORF6.faa,70.3,5.1e-22,254,CELL SURFACE PROTEIN,8e-45,"","",PQQ-binding-like beta-propeller repeat protein [Natrinema thermotolerans],761
43,41965,45603,TRUE,AOIR01000042.1,AOIR01000042.1_43,ORF6.faa,846.7,2.3e-256,1172,Quinoprotein alcohol dehydrogenase-like,3.14e-15,"","",S8 family serine peptidase [Halobaculum magnesiiphilum],196
27,25073,28525,TRUE,AOJE01000025.1,AOJE01000025.1_27,ORF6.faa,726.5,3e-220,712,Quinoprotein alcohol dehydrogenase-like,2.12e-10,"","","",
22,13499,16633,TRUE,AOJE01000038.1,AOJE01000038.1_22,ORF6.faa,945,1.1e-286,117,Carboxypeptidase regulatory domain-like,2.88e-06,"","","",
50,40298,44122,FALSE,AOJE01000051.1,AOJE01000051.1_50,ORF6.faa,956.5,8e-290,1228,"",,"","",COPI-like protein [Halorubrum lacusprofundi],1578
19,15743,19432,TRUE,AOLZ01000012.1,AOLZ01000012.1_19,ORF6.faa,1247.8,0,1177,Quinoprotein alcohol dehydrogenase-like,7.06e-55,"","","",
18,15774,19247,FALSE,AOMA01000019.1,AOMA01000019.1_18,ORF6.faa,1054.4,0,1085,Quinoprotein alcohol dehydrogenase-like,5.81e-21,"","","",
623,622367,623716,FALSE,AP017558.1,AP017558.1_623,ORF6.faa,64.5,8.1e-19,145,Quinoprotein alcohol dehydrogenase-like,7.06e-43,"","",PQQ-binding-like beta-propeller repeat protein [Saliphagus sp. WLHS1],456
