orf#,start,end,strand,contig,id,annot,score,evalue,aln_length,length
17,10545,11033,TRUE,AOJE01000038.1,AOJE01000038.1_17,unknown,,,,488
18,11086,11496,FALSE,AOJE01000038.1,AOJE01000038.1_18,unknown,,,,410
19,11639,12310,TRUE,AOJE01000038.1,AOJE01000038.1_19,unknown,,,,671
20,12454,12903,TRUE,AOJE01000038.1,AOJE01000038.1_20,unknown,,,,449
21,13030,13275,TRUE,AOJE01000038.1,AOJE01000038.1_21,unknown,,,,245
22,13499,16633,TRUE,AOJE01000038.1,AOJE01000038.1_22,ORF6,945,1.1e-286,117,3134
23,16728,17219,FALSE,AOJE01000038.1,AOJE01000038.1_23,unknown,,,,491
24,17953,18828,TRUE,AOJE01000038.1,AOJE01000038.1_24,unknown,,,,875
10,9375,9689,FALSE,AOMA01000019.1,AOMA01000019.1_10,unknown,,,,314
11,9696,9932,FALSE,AOMA01000019.1,AOMA01000019.1_11,unknown,,,,236
12,9929,10651,FALSE,AOMA01000019.1,AOMA01000019.1_12,unknown,,,,722
13,10669,11655,FALSE,AOMA01000019.1,AOMA01000019.1_13,unknown,,,,986
14,11834,12256,FALSE,AOMA01000019.1,AOMA01000019.1_14,unknown,,,,422
15,12259,13281,FALSE,AOMA01000019.1,AOMA01000019.1_15,ORF10,293.6,2.3e-90,325,1022
16,13394,14203,FALSE,AOMA01000019.1,AOMA01000019.1_16,ORF8,323.9,6.2e-100,253,809
17,14213,15760,FALSE,AOMA01000019.1,AOMA01000019.1_17,unknown,,,,1547
18,15774,19247,FALSE,AOMA01000019.1,AOMA01000019.1_18,ORF6,1054.4,0,1085,3473
19,19404,20075,FALSE,AOMA01000019.1,AOMA01000019.1_19,unknown,,,,671
20,20387,20584,TRUE,AOMA01000019.1,AOMA01000019.1_20,unknown,,,,197
58,30045,30254,FALSE,BMCI01000010.1,BMCI01000010.1_58,unknown,,,,209
59,30393,30680,TRUE,BMCI01000010.1,BMCI01000010.1_59,unknown,,,,287
60,31173,35681,TRUE,BMCI01000010.1,BMCI01000010.1_60,unknown,,,,4508
61,35972,36673,TRUE,BMCI01000010.1,BMCI01000010.1_61,unknown,,,,701
62,36706,37176,TRUE,BMCI01000010.1,BMCI01000010.1_62,unknown,,,,470
63,37270,40548,TRUE,BMCI01000010.1,BMCI01000010.1_63,ORF6,993.7,6.2e-301,222,3278
64,40561,42177,TRUE,BMCI01000010.1,BMCI01000010.1_64,unknown,,,,1616
65,42177,42950,TRUE,BMCI01000010.1,BMCI01000010.1_65,ORF8,128.8,7.1e-40,232,773
66,43085,44101,TRUE,BMCI01000010.1,BMCI01000010.1_66,ORF10,257.1,1e-78,318,1016
67,44110,44388,TRUE,BMCI01000010.1,BMCI01000010.1_67,unknown,,,,278
68,44449,44604,TRUE,BMCI01000010.1,BMCI01000010.1_68,unknown,,,,155
1,66,731,TRUE,BMCI01000011.1,BMCI01000011.1_1,unknown,,,,665
