orf#	start	end	strand	contig	id	annot	score	evalue	aln_length	interpro_annot	interpro_evalue
32	26348	30238	FALSE	AOIR01000042.1	AOIR01000042.1_32	""				CobN/Magnesium Chelatase	0
33	30273	32606	TRUE	AOIR01000042.1	AOIR01000042.1_33	""				MAGNESIUM-CHELATASE SUBUNIT CHLI	1.9e-113
34	32721	34274	TRUE	AOIR01000042.1	AOIR01000042.1_34	""				XANTHINE-URACIL / VITAMIN C PERMEASE FAMILY MEMBER	2.6e-125
35	34386	35210	TRUE	AOIR01000042.1	AOIR01000042.1_35	""				alpha/beta hydrolase	2.4e-52
36	35358	36011	TRUE	AOIR01000042.1	AOIR01000042.1_36	""				R_hydratase	4.31938e-46
37	36139	37464	TRUE	AOIR01000042.1	AOIR01000042.1_37	ORF6.faa	70.3	5.1e-22	254	CELL SURFACE PROTEIN	8e-45
38	37636	37947	TRUE	AOIR01000042.1	AOIR01000042.1_38	""					
39	38074	38166	FALSE	AOIR01000042.1	AOIR01000042.1_39	""					
40	39198	39758	TRUE	AOIR01000042.1	AOIR01000042.1_40	""					
41	40212	41303	TRUE	AOIR01000042.1	AOIR01000042.1_41	""				Intergrase catalytic core	4.4e-17
42	41446	41805	FALSE	AOIR01000042.1	AOIR01000042.1_42	""					
43	41965	45603	TRUE	AOIR01000042.1	AOIR01000042.1_43	ORF6.faa	846.7	2.3e-256	1172	Quinoprotein alcohol dehydrogenase-like	3.14e-15
44	45596	47278	TRUE	AOIR01000042.1	AOIR01000042.1_44	""				Peptidase S8/S53 domain	1.2e-55
45	47278	48096	TRUE	AOIR01000042.1	AOIR01000042.1_45	ORF8.faa	143.6	3.5e-44	248		
46	48263	49249	TRUE	AOIR01000042.1	AOIR01000042.1_46	ORF10.faa	96.2	1.3e-29	317		
47	49396	50106	TRUE	AOIR01000042.1	AOIR01000042.1_47	""					
48	50106	50543	TRUE	AOIR01000042.1	AOIR01000042.1_48	""					
49	50522	51436	TRUE	AOIR01000042.1	AOIR01000042.1_49	ORF17.faa	329	1.4e-100	296		
