"contig","min_orf","max_orf","comment","region_length"
"AOIR01000042.1",32,61,,29
"CP050018.1",35,72,,37
"Eyre_NODE_236_length_33155_cov_19.932",22,45,,23
"Eyresouth_NODE_101_length_48437_cov_7.17035",6,34,,28
"Frome_NODE_383_length_24936_cov_4.316346",1,24,,23
"Gairdner_NODE_107_length_49922_cov_74.384603",7,36,,29
"Gairdner_NODE_167_length_41210_cov_9.888325",14,47,,33
"KX687704.1",1,30,,29
"NC_013748.1",5,34,,29
"NC_015659.1",79,103,,24
"NZ_AOID01000019.1",1,123,"both ends of a fragment",122
"NZ_AOIO01000049.1",85,114,,29
"NZ_AOIP01000022.1",16,40,,24
"NZ_AOJE01000051.1",16,53,,37
"NZ_AOLM01000007.1",35,62,,27
"NZ_AOLZ01000012.1",15,40,,25
"NZ_BBJN01000020.1",27,51,,24
"NZ_CP019329.1",54,83,,29
"NZ_CP084476.1",48,80,,32
"NZ_CP095494.1",28,56,,28
"NZ_CP099999.1",22,46,,24
"NZ_CP100004.1",137,164,"it has a copy on both ends",27
"NZ_CP101158.1",69,95,,26
"NZ_CP101161.1",3051,3072,,21
"NZ_CP119801.1",23,50,,27
"NZ_FNFE01000011.1",14,42,,28
"NZ_FOXI01000018.1",34,55,,21
"NZ_JAAOHU010000009.1",1,68,"both ends of a fragment",67
"NZ_JAJCVI010000002.1",552,574,,22
"NZ_JDTG01000019.1",75,106,,31
"NZ_LOAJ01000002.1",40,66,,26
"NZ_LWLN01000003.1",8,34,,26
"NZ_PSYY01000019.1",1,10,,9
"NZ_QKNW01000002.1",13,45,,32
"NZ_RJJW01000001.1",23,49,,26
"NZ_SJER01000008.1",122,148,,26
"NZ_SRIF01000015.1",53,82,,29
"NZ_WSZK01000033.1",17,41,,24
