contig,min_orf,max_orf
AOIR01000042.1,32,61
CP050018.1,35,72
Eyre_NODE_236,22,45
Eyresouth_NODE_101,6,34
Frome_NODE_383,1,24
Gairdner_NODE_107,7,36
Gairdner_NODE_167,24,47
NC_013748.1,5,34
NC_015659.1,79,102
NZ_AOIO01000049.1,87,118
NZ_AOJE01000051.1,20,60
NZ_AOLM01000007.1,35,62
NZ_AOLZ01000012.1,15,40
NZ_BBJN01000020.1,27,51
NZ_CP019329.1,54,83
NZ_CP084476.1,46,80
NZ_CP095494.1,33,62
NZ_CP099999.1,21,44
NZ_CP100004.1,126,164
NZ_CP101158.1,69,95
NZ_CP101161.1,3071,3094
NZ_CP119801.1,20,48
NZ_FNFE01000011.1,13,40
NZ_JAJCVI010000002.1,551,574
NZ_JDTG01000019.1,75,106
NZ_KX687704.1,4,33
NZ_LOAJ01000002.1,38,66
NZ_LWLN01000003.1,11,37
NZ_QKNW01000002.1,13,47
NZ_RJJW01000001.1,24,51
NZ_SRIF01000015.1,55,85
NZ_WSZK01000033.1,21,45
