#                                                                                           --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name                                    accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#                            ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
Torrens_NODE_2901646_length_450_cov_0.987342_1   -          ORF10a.faa           -            1.4e-05   34.2   1.6   1.6e-05   34.0   1.6   1.0   1   0   0   1   1   1   1 # 2 # 262 # -1 # ID=2901646_1;partial=10;start_type=ATG;rbs_motif=GGGGGT;rbs_spacer=8bp;gc_cont=0.628
Torrens_NODE_1032319_length_736_cov_1.966226_2   -          ORF10a.faa           -             0.0011   28.1   3.8    0.0013   27.9   3.8   1.0   1   0   0   1   1   1   1 # 376 # 648 # 1 # ID=1032319_2;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.615
Torrens_NODE_2983944_length_445_cov_0.994872_1   -          ORF10a.faa           -              0.018   24.2   9.8     0.028   23.7   9.8   1.3   1   1   0   1   1   1   0 # 96 # 371 # 1 # ID=2983944_1;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.634
Torrens_NODE_2509917_length_480_cov_0.920000_1   -          ORF10a.faa           -              0.043   23.0   1.8     0.054   22.7   1.8   1.1   1   0   0   1   1   1   0 # 4 # 303 # -1 # ID=2509917_1;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.630
Torrens_NODE_3618042_length_416_cov_0.922438_2   -          ORF10a.faa           -              0.099   21.9   5.6      0.15   21.3   5.6   1.3   1   1   0   1   1   1   0 # 126 # 389 # -1 # ID=3618042_2;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.610
Torrens_NODE_5732442_length_349_cov_1.091837_1   -          ORF10a.faa           -               0.45   19.8   0.1      0.45   19.8   0.1   1.0   1   0   0   1   1   1   0 # 1 # 141 # -1 # ID=5732442_1;partial=10;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.603
Torrens_NODE_2937560_length_448_cov_0.862595_1   -          ORF10a.faa           -               0.53   19.5   0.1      0.63   19.3   0.1   1.1   1   0   0   1   1   1   0 # 1 # 261 # 1 # ID=2937560_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.674
Torrens_NODE_4567383_length_383_cov_1.219512_1   -          ORF10a.faa           -               0.56   19.5   2.5      0.76   19.0   2.5   1.2   1   0   0   1   1   1   0 # 1 # 300 # 1 # ID=4567383_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.637
Torrens_NODE_4281034_length_392_cov_1.418398_1   -          ORF10a.faa           -               0.66   19.2   2.6       5.9   16.2   1.2   1.9   1   1   1   2   2   2   0 # 2 # 205 # -1 # ID=4281034_1;partial=10;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.627
Torrens_NODE_6394769_length_330_cov_1.272727_2   -          ORF10a.faa           -               0.79   19.0   1.6      0.94   18.7   1.6   1.1   1   0   0   1   1   1   0 # 90 # 329 # 1 # ID=6394769_2;partial=01;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.637
Torrens_NODE_1567941_length_605_cov_1.400000_2   -          ORF10a.faa           -                1.2   18.4   5.8         2   17.7   5.3   1.6   1   1   1   2   2   2   0 # 147 # 413 # 1 # ID=1567941_2;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.599
