acc,organism_name,organism_acc,orf
AQM75274.1,Halorubrum lacusprofundi_R1S1,KX687704,ORF10
WP_088901260.1,Halorubrum lacusprofundi_HL1RP11,JAJNEG010000027,ORF10
WP_004048516.1,Halorubrum saccharovorum DSM 1137_DSM 1137,AOJE01000051,ORF10
WP_157884856.1,Halorubrum aethiopicum_SAH-A6,LOAJ01000002,ORF10
WP_013876076.1,Halopiger xanaduensis SH-6_SH-6,NC_015659,ORF10
WP_276257232.1,Halovivax sp. TS33_TS33,CP119801,ORF10
WP_226043415.1,Natrinema sp. DC36_DC36,CP084476,ORF10
WP_049967304.1,Natrinema thermotolerans A29_A29,JDTG01000019,ORF10
QCC57193.1,Natrinema thermotolerans_A29,CP031299,ORF10
QCW05316.1,Natrinema pallidum_BOL6-1,CP040639,ORF10
WP_238705388.1,Natrinema pallidum_BOL6-1,CP040639,ORF10
WP_193364773.1,Natrinema versiforme JCM 10478_JCM 10478,AOID01000019,ORF10
ELY68834.1,Natrinema versiforme JCM 10478_JCM 10478,AOID01000019,ORF10
WP_006111378.1,Natrialba asiatica DSM 12278_DSM 12278,AOIO01000049,ORF10
WP_006671472.1,Halobiforma nitratireducens JCM 10879_JCM 10879,AOMA01000019,ORF10
APX98690.1,Natronorubrum daqingense_JX313T,CP019330,ORF10
WP_139327085.1,Natronorubrum daqingense_JX313,CP019330,ORF10
WP_006665477.1,Natrialba aegyptia DSM 13077_DSM 13077,AOIP01000022,ORF10
WP_247005178.1,Halosolutus gelatinilyticus_SQT-29-1,CP095494,ORF10
WP_253439246.1,Halovivax sp. AGai3-5_AGai3-5,CP099999,ORF10
WP_076148799.1,Natrinema saccharevitans_AB14,LWLN01000003,ORF10
WP_090312398.1,"Natronorubrum texcoconense_B4,CECT 8067,JCM 17497",FNFE01000011,ORF10
WP_139327060.1,Natronorubrum daqingense_JX313,CP019329,ORF10
APX98545.1,Natronorubrum daqingense_JX313T,CP019329,ORF10
WP_092699153.1,Halovenus aranensis_IBRC-M10015,FNFC01000002,ORF10
WP_250586007.1,Natronocalculus amylovorans_AArc-St2,JAKRVX010000010,ORF10
WP_119817606.1,Halalkaliarchaeum desulfuricum_AArc-Sl,CP025066,ORF10
WP_012946150.1,Haloterrigena turkmenica DSM 5511_DSM 5511,NC_013748,ORF10
WP_254810601.1,Saliphagus sp. WLHSJ1_WLHSJ1,CP101158,ORF10
WP_156709146.1,Natronomonas sp. CBA1123_CBA1123,WPCC01000021,ORF10
WP_174682897.1,Haloterrigena gelatinilytica_SYSU A558-1,JABUQZ010000003,ORF10
WP_049991467.1,Natrinema salifodinae_CGMCC 1.12284,FOIS01000007,ORF10
WP_254156789.1,Saliphagus sp. WLHS1_WLHS1,CP100355,ORF10
WP_179918452.1,Halosimplex pelagicum_R2,CP058909,ORF10
WP_135823077.1,Halostella litorea_DLLS-108,SJER01000008,ORF10
WP_227134582.1,Halorubellus salinus_GX3,JAJCVI010000007,ORF10
WP_007273986.1,Haloferax sulfurifontis_CCM 7217,BMCI01000010,ORF10
WP_253521918.1,Halorussus sp. XZYJT10_XZYJT10,CP100004,ORF10
WP_253521854.1,Halorussus sp. XZYJT10_XZYJT10,CP100004,ORF10
WP_162994408.1,Halostella sp. JP-L12_JP-L12,JAAOHU010000009,ORF10
WP_103428371.1,Salinigranum rubrum_GX10,CP026314,ORF10
WP_049980256.1,Halolamina rubra_CBA1107,BBJN01000020,ORF10
WP_143077006.1,Halolamina pelagica_CGMCC 1.10329,FOXI01000019,ORF10
WP_074880345.1,Halolamina sp. R1-12_R1-12,JAANTI010000009,ORF10
WP_222606886.1,Halobaculum magnesiiphilum_NBRC 109044,CP081958,ORF10
WP_135306369.1,Halomicroarcula amylolytica_LR21,SRIF01000015,ORF10
WP_121538590.1,Haloarcula sp. Atlit-120R_Atlit-120R,QPLN01000011,ORF10
WP_170097793.1,Haloarcula argentinensis_pws5,WOWA01000007,ORF10
WP_123619166.1,Halorubrum sp. CSM-61_CSM-61,RJJW01000001,ORF10
WP_166975914.1,"","",ORF10
WP_255149778.1,Halosegnis sp. ZY10_ZY10,CP101161,ORF10
WP_227132330.1,Halorubellus salinus_GX3,JAJCVI010000002,ORF10
AQM75281.1,Halorubrum lacusprofundi_R1S1,KX687704,ORF17
WP_176580077.1,Halorubrum lacusprofundi_R1S1,KX687704,ORF17
WP_088901266.1,Halorubrum lacusprofundi_HL1RP11,JAJNEG010000028,ORF17
WP_004048507.1,Halorubrum saccharovorum DSM 1137_DSM 1137,AOJE01000051,ORF17
WP_066418790.1,Halorubrum aethiopicum_SAH-A6,LOAJ01000002,ORF17
WP_254810608.1,Saliphagus sp. WLHSJ1_WLHSJ1,CP101158,ORF17
WP_012946156.1,Haloterrigena turkmenica DSM 5511_DSM 5511,NC_013748,ORF17
WP_049967309.1,Natrinema thermotolerans A29_A29,JDTG01000019,ORF17
WP_049904836.1,Natrialba asiatica DSM 12278_DSM 12278,AOIO01000049,ORF17
ELY97150.1,Natrialba asiatica DSM 12278_DSM 12278,AOIO01000049,ORF17
WP_006665481.1,Natrialba aegyptia DSM 13077_DSM 13077,AOIP01000022,ORF17
WP_226043409.1,Natrinema sp. DC36_DC36,CP084476,ORF17
WP_013876072.1,Halopiger xanaduensis SH-6_SH-6,NC_015659,ORF17
WP_253521865.1,Halorussus sp. XZYJT10_XZYJT10,CP100004,ORF17
WP_049980259.1,Halolamina rubra_CBA1107,BBJN01000020,ORF17
WP_074880331.1,Halolamina sp. R1-12_R1-12,JAANTI010000009,ORF17
WP_158205899.1,Halomarina oriensis_JCM 16495,WSZK01000033,ORF17
WP_255149782.1,Halosegnis sp. ZY10_ZY10,CP101161,ORF17
WP_227132335.1,Halorubellus salinus_GX3,JAJCVI010000002,ORF17
WP_123619172.1,Halorubrum sp. CSM-61_CSM-61,RJJW01000001,ORF17
WP_007273979.1,Haloferax sulfurifontis_CCM 7217,BMCI01000011,ORF17
WP_115806018.1,Haloferax sp. Atlit-4N_Atlit-4N,PSYY01000019,ORF17
WP_166975944.1,"","",ORF17
WP_135306361.1,Halomicroarcula amylolytica_LR21,SRIF01000015,ORF17
WP_247005036.1,Halosolutus gelatinilyticus_SQT-29-1,CP095494,ORF17
WP_276257225.1,Halovivax sp. TS33_TS33,CP119801,ORF17
WP_121819976.1,Halostella sp. JP-L12_JP-L12,JAAOHU010000009,ORF17
WP_135823082.1,Halostella litorea_DLLS-108,SJER01000008,ORF17
WP_227134588.1,Halorubellus salinus_GX3,JAJCVI010000007,ORF17
ELZ14411.1,Natrinema thermotolerans DSM 11552_DSM 11552,AOIR01000042,ORF17
WP_253439235.1,Halovivax sp. AGai3-5_AGai3-5,CP099999,ORF17
ELY68829.1,Natrinema versiforme JCM 10478_JCM 10478,AOID01000019,ORF17
WP_152423108.1,Natrinema versiforme JCM 10478_JCM 10478,AOID01000019,ORF17
WP_076148803.1,Natrinema saccharevitans_AB14,LWLN01000003,ORF17
WP_211137181.1,Natronorubrum daqingense_JX313,CP019329,ORF17
APX98541.1,Natronorubrum daqingense_JX313T,CP019329,ORF17
WP_245724314.1,"Natronorubrum texcoconense_B4,CECT 8067,JCM 17497",FNFE01000011,ORF17
SDL08969.1,"Natronorubrum texcoconense_B4,CECT 8067,JCM 17497",FNFE01000011,ORF17
WP_007139925.1,Halobiforma lacisalsi AJ5_AJ5,AOLZ01000012,ORF17
WP_010546856.1,Halobiforma lacisalsi AJ5_AJ5,CP019286,ORF17
ELZ40643.1,Halorubrum saccharovorum DSM 1137_DSM 1137,AOJE01000025,ORF17
WP_049909105.1,Halorubrum saccharovorum DSM 1137_DSM 1137,AOJE01000025,ORF17
AQM75285.1,Halorubrum lacusprofundi_R1S1,KX687704,ORF21
WP_176580079.1,Halorubrum lacusprofundi_R1S1,KX687704,ORF21
WP_088901270.1,Halorubrum lacusprofundi_HLS1,KX906370,ORF21
WP_004048502.1,Halorubrum saccharovorum DSM 1137_DSM 1137,AOJE01000051,ORF21
WP_066418780.1,Halorubrum aethiopicum_SAH-A6,LOAJ01000002,ORF21
WP_254810612.1,Saliphagus sp. WLHSJ1_WLHSJ1,CP101158,ORF21
WP_004047791.1,Halorubrum saccharovorum DSM 1137_DSM 1137,AOJE01000025,ORF21
WP_227132342.1,Halorubellus salinus_GX3,JAJCVI010000002,ORF21
WP_255149786.1,Halosegnis sp. ZY10_ZY10,CP101161,ORF21
ELZ14415.1,Natrinema thermotolerans DSM 11552_DSM 11552,AOIR01000042,ORF21
WP_012946160.1,Haloterrigena turkmenica DSM 5511_DSM 5511,NC_013748,ORF21
WP_006665485.1,Natrialba aegyptia DSM 13077_DSM 13077,AOIP01000022,ORF21
WP_006111399.1,Natrialba asiatica DSM 12278_DSM 12278,AOIO01000049,ORF21
WP_226043405.1,Natrinema sp. DC36_DC36,CP084476,ORF21
WP_049967313.1,Natrinema thermotolerans A29_A29,JDTG01000019,ORF21
WP_013876068.1,Halopiger xanaduensis SH-6_SH-6,NC_015659,ORF21
WP_253521878.1,Halorussus sp. XZYJT10_XZYJT10,CP100004,ORF21
WP_049980263.1,Halolamina rubra_CBA1107,BBJN01000020,ORF21
