#                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession    qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- --------------------  ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
5                    -            114 MerB                 PIRSF001458   211   0.00031   12.1   0.1   1   1   6.4e-06   0.00036   11.9   0.1    14    73    35    97    12   105 0.82 -
30                   -            344 COX10                PIRSF001773   456     0.007    7.2   7.5   1   2   1.9e-05     0.001    9.9   3.1   155   200    13    64     4    73 0.88 -
30                   -            344 COX10                PIRSF001773   456     0.007    7.2   7.5   2   2     0.048       2.7   -1.4   0.1    51    97    89   135    70   173 0.52 -
1                    -            420 Resolvase_Rsv        PIRSF004576   247     1e-05   16.8   0.0   1   2    0.0072       0.2    2.7   0.0    50    97   133   180   119   195 0.90 -
1                    -            420 Resolvase_Rsv        PIRSF004576   247     1e-05   16.8   0.0   2   2   1.4e-05   0.00039   11.6   0.1   167   207   255   294   208   317 0.78 -
23                   -            420 Resolvase_Rsv        PIRSF004576   247   0.00015   13.0   0.0   1   1   8.7e-06   0.00024   12.3   0.0    46   110   221   285   215   301 0.91 -
45                   -            174 VAMP-5_synaptobrevin PIRSF005409   113   0.00037   12.3   1.3   1   3      0.39        22   -3.0   0.0    49    64    18    33    14    37 0.71 -
45                   -            174 VAMP-5_synaptobrevin PIRSF005409   113   0.00037   12.3   1.3   2   3   0.00035      0.02    6.8   0.3    44    68    41    65    39    72 0.86 -
45                   -            174 VAMP-5_synaptobrevin PIRSF005409   113   0.00037   12.3   1.3   3   3    0.0029      0.16    3.8   0.0    11    46    94   131    88   136 0.73 -
45                   -            174 Ifb-2                PIRSF005546   615   5.1e-05   13.7   3.6   1   1   1.3e-06     7e-05   13.2   3.6   182   230    16    64    12    80 0.90 -
3                    -            594 CooC                 PIRSF005647   250   7.3e-05   14.2   0.3   1   4     0.011      0.59    1.4   0.0    24    43     9    28     5    30 0.83 -
3                    -            594 CooC                 PIRSF005647   250   7.3e-05   14.2   0.3   2   4   8.3e-05    0.0046    8.3   0.0     5    40    39    77    38    86 0.81 -
3                    -            594 CooC                 PIRSF005647   250   7.3e-05   14.2   0.3   3   4      0.24        13   -3.0   0.5   214   246   378   410   371   413 0.76 -
3                    -            594 CooC                 PIRSF005647   250   7.3e-05   14.2   0.3   4   4      0.15       8.6   -2.4   0.0   150   194   516   559   512   575 0.77 -
45                   -            174 SMC                  PIRSF005719  1196   9.2e-07   18.4   1.1   1   1   3.6e-08     1e-06   18.3   1.1   883   937    17    71    11   129 0.48 -
3                    -            594 SMC                  PIRSF005719  1196   0.00014   11.1  30.7   1   1   3.4e-06   9.6e-05   11.7  19.2   727   839   375   485   369   592 0.84 -
45                   -            174 UCP006158_SH3        PIRSF006158   210   2.5e-05   15.6   1.2   1   1   7.5e-07   4.2e-05   14.9   1.2   125   173    15    63    11    72 0.88 -
54                   -            303 RNAmts_UCP006607     PIRSF006607   254   4.3e-05   15.1   0.0   1   1   1.2e-06   6.6e-05   14.5   0.0    33    78    99   148    78   168 0.77 -
49                   -            537 Bpr                  PIRSF015477  1433   8.7e-10   28.5  21.3   1   1   2.1e-11   1.2e-09   28.0  21.3   216   496   219   486   200   498 0.73 -
45                   -            174 TRAF                 PIRSF015614   495   0.00056   10.5   0.1   1   1   1.3e-05   0.00074   10.1   0.1   293   338    16    61     6    73 0.85 -
51                   -            357 Gdnf                 PIRSF016238   241    0.0015   10.4   3.3   1   1   4.2e-05    0.0023    9.8   3.3    37   130   257   355   222   357 0.66 -
