	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	heme_regulatory_motif_count
AOIR01000042.1_AOIR01000042.1_1	AOIR01000042.1	AOIR01000042.1	1	3	1613	-1	D										AMP-binding enzyme [PF00501.31]; Acetyl-coenzyme A synthetase N-terminus [PF16177.8]	0
AOIR01000042.1_AOIR01000042.1_2	AOIR01000042.1	AOIR01000042.1	2	1781	2281	-1	E											0
AOIR01000042.1_AOIR01000042.1_3	AOIR01000042.1	AOIR01000042.1	3	2333	2818	-1	C	K07090	uncharacterized protein								Universal stress protein family [PF00582.29]	0
AOIR01000042.1_AOIR01000042.1_4	AOIR01000042.1	AOIR01000042.1	4	2907	4211	-1	E											0
AOIR01000042.1_AOIR01000042.1_5	AOIR01000042.1	AOIR01000042.1	5	4420	4965	1	E											0
AOIR01000042.1_AOIR01000042.1_6	AOIR01000042.1	AOIR01000042.1	6	5062	5772	-1	C	K02019	molybdate transport system regulatory protein								TOBE domain [PF03459.20]	0
AOIR01000042.1_AOIR01000042.1_7	AOIR01000042.1	AOIR01000042.1	7	5791	6594	-1	C	K06857	tungstate transport system ATP-binding protein [EC:7.3.2.6]								ABC transporter [PF00005.30]	0
AOIR01000042.1_AOIR01000042.1_8	AOIR01000042.1	AOIR01000042.1	8	6644	7315	-1	C	K05773	tungstate transport system permease protein									0
AOIR01000042.1_AOIR01000042.1_9	AOIR01000042.1	AOIR01000042.1	9	7355	8305	-1	C	K05772	tungstate transport system substrate-binding protein								PBP superfamily domain [PF12849.10]	0
AOIR01000042.1_AOIR01000042.1_10	AOIR01000042.1	AOIR01000042.1	10	8467	9288	-1	E											0
AOIR01000042.1_AOIR01000042.1_11	AOIR01000042.1	AOIR01000042.1	11	9349	10134	-1	E											0
AOIR01000042.1_AOIR01000042.1_12	AOIR01000042.1	AOIR01000042.1	12	10176	10673	-1	E											0
AOIR01000042.1_AOIR01000042.1_13	AOIR01000042.1	AOIR01000042.1	13	10670	11782	-1	E											0
AOIR01000042.1_AOIR01000042.1_14	AOIR01000042.1	AOIR01000042.1	14	11899	13182	-1	D										PQQ-like domain [PF13360.9]	0
AOIR01000042.1_AOIR01000042.1_15	AOIR01000042.1	AOIR01000042.1	15	13179	13550	-1	D										Protein of unknown function (DUF3209) [PF11483.11]	0
AOIR01000042.1_AOIR01000042.1_16	AOIR01000042.1	AOIR01000042.1	16	13597	14829	-1	C	K03795	sirohydrochlorin cobaltochelatase [EC:4.99.1.3]								CbiX [PF01903.20]; Thioredoxin-like [2Fe-2S] ferredoxin [PF01257.22]; Sucrase/ferredoxin-like [PF06999.15]	0
AOIR01000042.1_AOIR01000042.1_17	AOIR01000042.1	AOIR01000042.1	17	14831	15535	-1	E											0
AOIR01000042.1_AOIR01000042.1_18	AOIR01000042.1	AOIR01000042.1	18	15532	15798	-1	D										4Fe-4S single cluster domain [PF13459.9]	0
AOIR01000042.1_AOIR01000042.1_19	AOIR01000042.1	AOIR01000042.1	19	15805	16845	-1	C	K05934	precorrin-3B C17-methyltransferase / cobalt-factor III methyltransferase [EC:2.1.1.131 2.1.1.272]								Tetrapyrrole (Corrin/Porphyrin) Methylases [PF00590.23]	0
AOIR01000042.1_AOIR01000042.1_20	AOIR01000042.1	AOIR01000042.1	20	16856	17728	-1	D										Tetrapyrrole (Corrin/Porphyrin) Methylases [PF00590.23]	0
AOIR01000042.1_AOIR01000042.1_21	AOIR01000042.1	AOIR01000042.1	21	17725	18714	-1	C	K02189	cobalt-precorrin 5A hydrolase [EC:3.7.1.12]								Cobalamin synthesis G C-terminus [PF01890.19]; Cobalamin synthesis G N-terminal [PF11760.11]	0
AOIR01000042.1_AOIR01000042.1_22	AOIR01000042.1	AOIR01000042.1	22	18716	19636	-1	C	K05936	precorrin-4/cobalt-precorrin-4 C11-methyltransferase [EC:2.1.1.133 2.1.1.271]								Tetrapyrrole (Corrin/Porphyrin) Methylases [PF00590.23]	0
AOIR01000042.1_AOIR01000042.1_23	AOIR01000042.1	AOIR01000042.1	23	19633	20436	-1	C	K03394	precorrin-2/cobalt-factor-2 C20-methyltransferase [EC:2.1.1.130 2.1.1.151]								Tetrapyrrole (Corrin/Porphyrin) Methylases [PF00590.23]	0
AOIR01000042.1_AOIR01000042.1_24	AOIR01000042.1	AOIR01000042.1	24	20433	21038	-1	C	K02191	cobalt-precorrin-6B (C15)-methyltransferase [EC:2.1.1.196]								Protein-L-isoaspartate(D-aspartate) O-methyltransferase (PCMT) [PF01135.22]	0
AOIR01000042.1_AOIR01000042.1_25	AOIR01000042.1	AOIR01000042.1	25	21223	22038	-1	C	K00059	3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]								Enoyl-(Acyl carrier protein) reductase [PF13561.9]; short chain dehydrogenase [PF00106.28]; KR domain [PF08659.13]; NAD dependent epimerase/dehydratase family [PF01370.24]	0
AOIR01000042.1_AOIR01000042.1_26	AOIR01000042.1	AOIR01000042.1	26	22078	23439	-1	C	K02224	cobyrinic acid a,c-diamide synthase [EC:6.3.5.9 6.3.5.11]	MER0196631	C26	MER0196631 - family C26 non-peptidase homologues (Haloterrigena turkmenica) [C26.UNW]#C26#{peptidase unit: 184-437}~source ADB59893~	True	0.823	425.0	2.224e-130	CobB/CobQ-like glutamine amidotransferase domain [PF07685.17]; AAA domain [PF13500.9]	0
AOIR01000042.1_AOIR01000042.1_27	AOIR01000042.1	AOIR01000042.1	27	23550	24116	1	D										Domain of unknown function (DUF1802) [PF08819.14]	0
AOIR01000042.1_AOIR01000042.1_28	AOIR01000042.1	AOIR01000042.1	28	24174	24341	1	E											0
AOIR01000042.1_AOIR01000042.1_29	AOIR01000042.1	AOIR01000042.1	29	24459	24680	1	E											0
AOIR01000042.1_AOIR01000042.1_30	AOIR01000042.1	AOIR01000042.1	30	24750	25541	-1	C	K03399	cobalt-precorrin-7 (C5)-methyltransferase [EC:2.1.1.289]								Tetrapyrrole (Corrin/Porphyrin) Methylases [PF00590.23]	0
AOIR01000042.1_AOIR01000042.1_31	AOIR01000042.1	AOIR01000042.1	31	25538	26284	-1	C	K06042	precorrin-8X/cobalt-precorrin-8 methylmutase [EC:5.4.99.61 5.4.99.60]								Precorrin-8X methylmutase [PF02570.18]	0
AOIR01000042.1_AOIR01000042.1_32	AOIR01000042.1	AOIR01000042.1	32	26348	30238	-1	C	K02230	cobaltochelatase CobN [EC:6.6.1.2]								CobN/Magnesium Chelatase [PF02514.19]	0
AOIR01000042.1_AOIR01000042.1_33	AOIR01000042.1	AOIR01000042.1	33	30273	32606	1	C	K03404	magnesium chelatase subunit D [EC:6.6.1.1]	MER0227251	S16	MER0227251 - family S16 non-peptidase homologues (Methanothermus fervidus) [S16.UNW]#S16#{peptidase unit: 5-192}~source YP_004003725~	False	0.546	193.0	1.332e-48	Magnesium chelatase, subunit ChlI [PF01078.24]; von Willebrand factor type A domain [PF13519.9]; von Willebrand factor type A domain [PF00092.31]; AAA domain (dynein-related subfamily) [PF07728.17]; AAA lid domain [PF17863.4]; von Willebrand factor type A domain [PF13768.9]; MCM P-loop domain [PF00493.26]	0
AOIR01000042.1_AOIR01000042.1_34	AOIR01000042.1	AOIR01000042.1	34	32721	34274	1	C	K14611	solute carrier family 23 (nucleobase transporter), member 1								Permease family [PF00860.23]	0
AOIR01000042.1_AOIR01000042.1_35	AOIR01000042.1	AOIR01000042.1	35	34386	35210	1	D			MER0381476	S33	MER0381476 - family S33 unassigned peptidases (Natrinema pellirubrum) [S33.UPW]#S33#{peptidase unit: 10-271}~source ZP_08964207~	True	0.939	518.0	7.291e-166	alpha/beta hydrolase fold [PF00561.23]; Serine aminopeptidase, S33 [PF12146.11]; Alpha/beta hydrolase family [PF12697.10]	0
AOIR01000042.1_AOIR01000042.1_36	AOIR01000042.1	AOIR01000042.1	36	35358	36011	1	D										MaoC like domain [PF01575.22]; N-terminal half of MaoC dehydratase [PF13452.9]	0
AOIR01000042.1_AOIR01000042.1_37	AOIR01000042.1	AOIR01000042.1	37	36139	37464	1	D			MER0240687	S09X	MER0240687 - family S9 non-peptidase homologues (Methanobacterium sp. AL-21) [S09.UNW]#S09X#{peptidase unit: 304-511}~source YP_004291150~	False	0.242	85.0	1.308e-15	PQQ-like domain [PF13360.9]; PQQ-like domain [PF13570.9]; PQQ enzyme repeat [PF01011.24]	0
AOIR01000042.1_AOIR01000042.1_38	AOIR01000042.1	AOIR01000042.1	38	37636	37947	1	E											0
AOIR01000042.1_AOIR01000042.1_39	AOIR01000042.1	AOIR01000042.1	39	38074	38166	-1	E											0
AOIR01000042.1_AOIR01000042.1_40	AOIR01000042.1	AOIR01000042.1	40	39198	39758	1	E											0
AOIR01000042.1_AOIR01000042.1_41	AOIR01000042.1	AOIR01000042.1	41	40212	41303	1	E											0
AOIR01000042.1_AOIR01000042.1_42	AOIR01000042.1	AOIR01000042.1	42	41446	41805	-1	E											0
AOIR01000042.1_AOIR01000042.1_43	AOIR01000042.1	AOIR01000042.1	43	41965	45603	1	E											0
AOIR01000042.1_AOIR01000042.1_44	AOIR01000042.1	AOIR01000042.1	44	45596	47278	1	D			MER0972348	S08A	MER0972348 - subfamily S8A unassigned peptidases (Haloterrigena thermotolerans) [S08.UPA]#S08A#{peptidase unit: 161-459}~source M0BTP3~	True	0.903	565.0	1.052e-176	Subtilase family [PF00082.25]	0
AOIR01000042.1_AOIR01000042.1_45	AOIR01000042.1	AOIR01000042.1	45	47278	48096	1	E											0
AOIR01000042.1_AOIR01000042.1_46	AOIR01000042.1	AOIR01000042.1	46	48263	49249	1	E											0
AOIR01000042.1_AOIR01000042.1_47	AOIR01000042.1	AOIR01000042.1	47	49396	50106	1	E											0
AOIR01000042.1_AOIR01000042.1_48	AOIR01000042.1	AOIR01000042.1	48	50106	50543	1	E											0
AOIR01000042.1_AOIR01000042.1_49	AOIR01000042.1	AOIR01000042.1	49	50522	51436	1	E											0
AOIR01000042.1_AOIR01000042.1_50	AOIR01000042.1	AOIR01000042.1	50	51442	51699	1	E											0
AOIR01000042.1_AOIR01000042.1_51	AOIR01000042.1	AOIR01000042.1	51	51699	51965	1	E											0
AOIR01000042.1_AOIR01000042.1_52	AOIR01000042.1	AOIR01000042.1	52	52065	52313	1	E											0
AOIR01000042.1_AOIR01000042.1_53	AOIR01000042.1	AOIR01000042.1	53	52310	52891	1	E											0
AOIR01000042.1_AOIR01000042.1_54	AOIR01000042.1	AOIR01000042.1	54	52891	53916	1	E											0
AOIR01000042.1_AOIR01000042.1_55	AOIR01000042.1	AOIR01000042.1	55	53919	55250	1	E											0
AOIR01000042.1_AOIR01000042.1_56	AOIR01000042.1	AOIR01000042.1	56	55253	56785	1	E											0
AOIR01000042.1_AOIR01000042.1_57	AOIR01000042.1	AOIR01000042.1	57	56852	59248	1	E											0
AOIR01000042.1_AOIR01000042.1_58	AOIR01000042.1	AOIR01000042.1	58	59502	59756	-1	E											0
AOIR01000042.1_AOIR01000042.1_59	AOIR01000042.1	AOIR01000042.1	59	60046	60204	1	E											0
AOIR01000042.1_AOIR01000042.1_60	AOIR01000042.1	AOIR01000042.1	60	60255	60635	1	E											0
