V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,ORF
WP_157884856.1,96,Phobius,TRANSMEMBRANE,Region of a membrane-bound protein predicted to be embedded in the membrane.,25,47,-,-,-,ORF10a
WP_157884856.1,96,Phobius,CYTOPLASMIC_DOMAIN,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",48,66,-,-,-,ORF10a
WP_157884856.1,96,Phobius,NON_CYTOPLASMIC_DOMAIN,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",85,96,-,-,-,ORF10a
WP_157884856.1,96,Phobius,NON_CYTOPLASMIC_DOMAIN,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",1,24,-,-,-,ORF10a
WP_157884856.1,96,TMHMM,TMhelix,Region of a membrane-bound protein predicted to be embedded in the membrane.,27,49,-,-,-,ORF10a
WP_157884856.1,96,Phobius,TRANSMEMBRANE,Region of a membrane-bound protein predicted to be embedded in the membrane.,67,84,-,-,-,ORF10a
WP_004048516.1,96,Phobius,NON_CYTOPLASMIC_DOMAIN,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",1,25,-,-,-,ORF10a
WP_004048516.1,96,Phobius,CYTOPLASMIC_DOMAIN,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",50,96,-,-,-,ORF10a
WP_004048516.1,96,TMHMM,TMhelix,Region of a membrane-bound protein predicted to be embedded in the membrane.,26,48,-,-,-,ORF10a
WP_004048516.1,96,Phobius,TRANSMEMBRANE,Region of a membrane-bound protein predicted to be embedded in the membrane.,26,49,-,-,-,ORF10a
WP_088901260.1,98,Phobius,CYTOPLASMIC_DOMAIN,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",50,68,-,-,-,ORF10a
WP_088901260.1,98,Phobius,TRANSMEMBRANE,Region of a membrane-bound protein predicted to be embedded in the membrane.,20,49,-,-,-,ORF10a
WP_088901260.1,98,Phobius,NON_CYTOPLASMIC_DOMAIN,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",87,98,-,-,-,ORF10a
WP_088901260.1,98,TMHMM,TMhelix,Region of a membrane-bound protein predicted to be embedded in the membrane.,28,50,-,-,-,ORF10a
WP_088901260.1,98,Phobius,NON_CYTOPLASMIC_DOMAIN,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",1,19,-,-,-,ORF10a
WP_088901260.1,98,Phobius,TRANSMEMBRANE,Region of a membrane-bound protein predicted to be embedded in the membrane.,69,86,-,-,-,ORF10a
WP_276257232.1,372,SignalP_EUK,SignalP-noTM,SignalP-noTM,1,30,-,-,-,ORF10b
WP_276257232.1,372,SignalP_GRAM_POSITIVE,SignalP-TM,SignalP-TM,1,30,-,-,-,ORF10b
WP_276257232.1,372,TMHMM,TMhelix,Region of a membrane-bound protein predicted to be embedded in the membrane.,7,29,-,-,-,ORF10b
WP_276257232.1,372,SignalP_GRAM_NEGATIVE,SignalP-noTM,SignalP-noTM,1,24,-,-,-,ORF10b
WP_276257232.1,372,TMHMM,TMhelix,Region of a membrane-bound protein predicted to be embedded in the membrane.,341,363,-,-,-,ORF10b
WP_226043415.1,368,SignalP_GRAM_NEGATIVE,SignalP-noTM,SignalP-noTM,1,30,-,-,-,ORF10b
WP_226043415.1,368,SignalP_GRAM_NEGATIVE,SignalP-noTM,SignalP-noTM,1,31,-,-,-,ORF10b
WP_226043415.1,368,Phobius,TRANSMEMBRANE,Region of a membrane-bound protein predicted to be embedded in the membrane.,336,361,-,-,-,ORF10b
WP_226043415.1,368,Phobius,SIGNAL_PEPTIDE,Signal peptide region,1,31,-,-,-,ORF10b
WP_226043415.1,368,Phobius,SIGNAL_PEPTIDE_N_REGION,N-terminal region of a signal peptide.,1,14,-,-,-,ORF10b
WP_226043415.1,368,Phobius,SIGNAL_PEPTIDE_C_REGION,C-terminal region of a signal peptide.,27,31,-,-,-,ORF10b
WP_226043415.1,368,TMHMM,TMhelix,Region of a membrane-bound protein predicted to be embedded in the membrane.,338,360,-,-,-,ORF10b
WP_226043415.1,368,Phobius,CYTOPLASMIC_DOMAIN,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",362,368,-,-,-,ORF10b
WP_226043415.1,368,Phobius,SIGNAL_PEPTIDE_H_REGION,Hydrophobic region of a signal peptide.,15,26,-,-,-,ORF10b
WP_226043415.1,368,TMHMM,TMhelix,Region of a membrane-bound protein predicted to be embedded in the membrane.,7,29,-,-,-,ORF10b
WP_226043415.1,368,Phobius,NON_CYTOPLASMIC_DOMAIN,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",32,335,-,-,-,ORF10b
WP_226043415.1,368,SignalP_GRAM_POSITIVE,SignalP-TM,SignalP-TM,1,31,-,-,-,ORF10b
WP_238705388.1,366,Phobius,SIGNAL_PEPTIDE,Signal peptide region,1,31,-,-,-,ORF10b
WP_238705388.1,366,Phobius,SIGNAL_PEPTIDE_H_REGION,Hydrophobic region of a signal peptide.,8,19,-,-,-,ORF10b
WP_238705388.1,366,SignalP_GRAM_NEGATIVE,SignalP-noTM,SignalP-noTM,1,31,-,-,-,ORF10b
WP_238705388.1,366,SignalP_GRAM_POSITIVE,SignalP-TM,SignalP-TM,1,31,-,-,-,ORF10b
WP_238705388.1,366,Phobius,NON_CYTOPLASMIC_DOMAIN,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",32,366,-,-,-,ORF10b
WP_238705388.1,366,Phobius,SIGNAL_PEPTIDE_C_REGION,C-terminal region of a signal peptide.,20,31,-,-,-,ORF10b
WP_238705388.1,366,Phobius,SIGNAL_PEPTIDE_N_REGION,N-terminal region of a signal peptide.,1,7,-,-,-,ORF10b
WP_238705388.1,366,TMHMM,TMhelix,Region of a membrane-bound protein predicted to be embedded in the membrane.,7,29,-,-,-,ORF10b
WP_238705388.1,366,SignalP_GRAM_NEGATIVE,SignalP-noTM,SignalP-noTM,1,31,-,-,-,ORF10b
WP_049967304.1,366,TMHMM,TMhelix,Region of a membrane-bound protein predicted to be embedded in the membrane.,335,357,-,-,-,ORF10b
WP_049967304.1,366,Phobius,SIGNAL_PEPTIDE_C_REGION,C-terminal region of a signal peptide.,20,37,-,-,-,ORF10b
WP_049967304.1,366,Phobius,SIGNAL_PEPTIDE_H_REGION,Hydrophobic region of a signal peptide.,8,19,-,-,-,ORF10b
WP_049967304.1,366,SignalP_EUK,SignalP-noTM,SignalP-noTM,1,24,-,-,-,ORF10b
WP_049967304.1,366,Phobius,SIGNAL_PEPTIDE,Signal peptide region,1,37,-,-,-,ORF10b
WP_049967304.1,366,Phobius,CYTOPLASMIC_DOMAIN,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",358,366,-,-,-,ORF10b
WP_049967304.1,366,Phobius,NON_CYTOPLASMIC_DOMAIN,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",38,333,-,-,-,ORF10b
WP_049967304.1,366,SignalP_EUK,SignalP-noTM,SignalP-noTM,1,20,-,-,-,ORF10b
WP_049967304.1,366,SignalP_GRAM_POSITIVE,SignalP-TM,SignalP-TM,1,31,-,-,-,ORF10b
WP_049967304.1,366,Phobius,SIGNAL_PEPTIDE_N_REGION,N-terminal region of a signal peptide.,1,7,-,-,-,ORF10b
WP_049967304.1,366,Phobius,TRANSMEMBRANE,Region of a membrane-bound protein predicted to be embedded in the membrane.,334,357,-,-,-,ORF10b
WP_049967304.1,366,TMHMM,TMhelix,Region of a membrane-bound protein predicted to be embedded in the membrane.,7,29,-,-,-,ORF10b
WP_013876076.1,340,Phobius,SIGNAL_PEPTIDE,Signal peptide region,1,31,-,-,-,ORF10b
WP_013876076.1,340,SignalP_GRAM_POSITIVE,SignalP-TM,SignalP-TM,1,32,-,-,-,ORF10b
WP_013876076.1,340,Phobius,SIGNAL_PEPTIDE_H_REGION,Hydrophobic region of a signal peptide.,8,19,-,-,-,ORF10b
WP_013876076.1,340,SignalP_EUK,SignalP-noTM,SignalP-noTM,1,32,-,-,-,ORF10b
WP_013876076.1,340,Phobius,SIGNAL_PEPTIDE_C_REGION,C-terminal region of a signal peptide.,20,31,-,-,-,ORF10b
WP_013876076.1,340,SignalP_EUK,SignalP-noTM,SignalP-noTM,1,25,-,-,-,ORF10b
WP_013876076.1,340,Phobius,SIGNAL_PEPTIDE_N_REGION,N-terminal region of a signal peptide.,1,7,-,-,-,ORF10b
WP_013876076.1,340,Phobius,NON_CYTOPLASMIC_DOMAIN,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",32,340,-,-,-,ORF10b
WP_013876076.1,340,TMHMM,TMhelix,Region of a membrane-bound protein predicted to be embedded in the membrane.,7,29,-,-,-,ORF10b
QCW05316.1,354,Phobius,SIGNAL_PEPTIDE,Signal peptide region,1,19,-,-,-,ORF10b
QCW05316.1,354,Phobius,SIGNAL_PEPTIDE_C_REGION,C-terminal region of a signal peptide.,15,19,-,-,-,ORF10b
QCW05316.1,354,SignalP_GRAM_POSITIVE,SignalP-TM,SignalP-TM,1,19,-,-,-,ORF10b
QCW05316.1,354,SignalP_GRAM_NEGATIVE,SignalP-noTM,SignalP-noTM,1,19,-,-,-,ORF10b
QCW05316.1,354,Phobius,SIGNAL_PEPTIDE_N_REGION,N-terminal region of a signal peptide.,1,2,-,-,-,ORF10b
QCW05316.1,354,Phobius,SIGNAL_PEPTIDE_H_REGION,Hydrophobic region of a signal peptide.,3,14,-,-,-,ORF10b
QCW05316.1,354,Phobius,NON_CYTOPLASMIC_DOMAIN,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",20,354,-,-,-,ORF10b
QCW05316.1,354,SignalP_GRAM_NEGATIVE,SignalP-noTM,SignalP-noTM,1,19,-,-,-,ORF10b
QCC57193.1,354,TMHMM,TMhelix,Region of a membrane-bound protein predicted to be embedded in the membrane.,323,345,-,-,-,ORF10b
QCC57193.1,354,SignalP_GRAM_POSITIVE,SignalP-TM,SignalP-TM,1,19,-,-,-,ORF10b
QCC57193.1,354,Phobius,SIGNAL_PEPTIDE,Signal peptide region,1,25,-,-,-,ORF10b
QCC57193.1,354,Phobius,TRANSMEMBRANE,Region of a membrane-bound protein predicted to be embedded in the membrane.,322,345,-,-,-,ORF10b
QCC57193.1,354,Phobius,SIGNAL_PEPTIDE_H_REGION,Hydrophobic region of a signal peptide.,2,13,-,-,-,ORF10b
QCC57193.1,354,Phobius,NON_CYTOPLASMIC_DOMAIN,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",26,321,-,-,-,ORF10b
QCC57193.1,354,Phobius,CYTOPLASMIC_DOMAIN,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",346,354,-,-,-,ORF10b
QCC57193.1,354,SignalP_GRAM_NEGATIVE,SignalP-noTM,SignalP-noTM,1,19,-,-,-,ORF10b
QCC57193.1,354,Phobius,SIGNAL_PEPTIDE_N_REGION,N-terminal region of a signal peptide.,1,1,-,-,-,ORF10b
QCC57193.1,354,Phobius,SIGNAL_PEPTIDE_C_REGION,C-terminal region of a signal peptide.,14,25,-,-,-,ORF10b
QCC57193.1,354,SignalP_GRAM_NEGATIVE,SignalP-noTM,SignalP-noTM,1,19,-,-,-,ORF10b
WP_006111378.1,342,Phobius,NON_CYTOPLASMIC_DOMAIN,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",32,342,-,-,-,ORF10b
WP_006111378.1,342,Phobius,SIGNAL_PEPTIDE,Signal peptide region,1,31,-,-,-,ORF10b
WP_006111378.1,342,Phobius,SIGNAL_PEPTIDE_H_REGION,Hydrophobic region of a signal peptide.,8,19,-,-,-,ORF10b
WP_006111378.1,342,SignalP_EUK,SignalP-noTM,SignalP-noTM,1,30,-,-,-,ORF10b
WP_006111378.1,342,Phobius,SIGNAL_PEPTIDE_C_REGION,C-terminal region of a signal peptide.,20,31,-,-,-,ORF10b
WP_006111378.1,342,Phobius,SIGNAL_PEPTIDE_N_REGION,N-terminal region of a signal peptide.,1,7,-,-,-,ORF10b
WP_006111378.1,342,SignalP_GRAM_POSITIVE,SignalP-TM,SignalP-TM,1,31,-,-,-,ORF10b
WP_006111378.1,342,SignalP_EUK,SignalP-noTM,SignalP-noTM,1,23,-,-,-,ORF10b
WP_006111378.1,342,TMHMM,TMhelix,Region of a membrane-bound protein predicted to be embedded in the membrane.,9,31,-,-,-,ORF10b
WP_193364773.1,371,Phobius,NON_CYTOPLASMIC_DOMAIN,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",32,342,-,-,-,ORF10b
WP_193364773.1,371,SignalP_GRAM_NEGATIVE,SignalP-noTM,SignalP-noTM,1,20,-,-,-,ORF10b
WP_193364773.1,371,Phobius,TRANSMEMBRANE,Region of a membrane-bound protein predicted to be embedded in the membrane.,343,365,-,-,-,ORF10b
WP_193364773.1,371,Phobius,SIGNAL_PEPTIDE,Signal peptide region,1,31,-,-,-,ORF10b
WP_193364773.1,371,SignalP_GRAM_NEGATIVE,SignalP-noTM,SignalP-noTM,1,31,-,-,-,ORF10b
WP_193364773.1,371,Phobius,SIGNAL_PEPTIDE_H_REGION,Hydrophobic region of a signal peptide.,8,19,-,-,-,ORF10b
WP_193364773.1,371,Phobius,SIGNAL_PEPTIDE_C_REGION,C-terminal region of a signal peptide.,20,31,-,-,-,ORF10b
WP_193364773.1,371,Phobius,SIGNAL_PEPTIDE_N_REGION,N-terminal region of a signal peptide.,1,7,-,-,-,ORF10b
WP_193364773.1,371,Phobius,CYTOPLASMIC_DOMAIN,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",366,371,-,-,-,ORF10b
WP_193364773.1,371,SignalP_GRAM_POSITIVE,SignalP-TM,SignalP-TM,1,31,-,-,-,ORF10b
WP_193364773.1,371,TMHMM,TMhelix,Region of a membrane-bound protein predicted to be embedded in the membrane.,7,29,-,-,-,ORF10b
WP_193364773.1,371,TMHMM,TMhelix,Region of a membrane-bound protein predicted to be embedded in the membrane.,343,365,-,-,-,ORF10b
WP_006665477.1,344,Phobius,SIGNAL_PEPTIDE,Signal peptide region,1,31,-,-,-,ORF10b
WP_006665477.1,344,Phobius,SIGNAL_PEPTIDE_H_REGION,Hydrophobic region of a signal peptide.,8,19,-,-,-,ORF10b
WP_006665477.1,344,SignalP_EUK,SignalP-noTM,SignalP-noTM,1,26,-,-,-,ORF10b
WP_006665477.1,344,Phobius,SIGNAL_PEPTIDE_C_REGION,C-terminal region of a signal peptide.,20,31,-,-,-,ORF10b
WP_006665477.1,344,Phobius,NON_CYTOPLASMIC_DOMAIN,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",32,344,-,-,-,ORF10b
WP_006665477.1,344,SignalP_EUK,SignalP-noTM,SignalP-noTM,1,31,-,-,-,ORF10b
WP_006665477.1,344,Phobius,SIGNAL_PEPTIDE_N_REGION,N-terminal region of a signal peptide.,1,7,-,-,-,ORF10b
WP_006665477.1,344,SignalP_GRAM_POSITIVE,SignalP-TM,SignalP-TM,1,31,-,-,-,ORF10b
WP_006665477.1,344,TMHMM,TMhelix,Region of a membrane-bound protein predicted to be embedded in the membrane.,9,31,-,-,-,ORF10b
WP_092699153.1,367,Phobius,TRANSMEMBRANE,Region of a membrane-bound protein predicted to be embedded in the membrane.,336,356,-,-,-,ORF10b
WP_092699153.1,367,Phobius,CYTOPLASMIC_DOMAIN,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",357,367,-,-,-,ORF10b
WP_092699153.1,367,Phobius,NON_CYTOPLASMIC_DOMAIN,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",34,335,-,-,-,ORF10b
WP_092699153.1,367,Phobius,SIGNAL_PEPTIDE_N_REGION,N-terminal region of a signal peptide.,1,12,-,-,-,ORF10b
WP_092699153.1,367,TMHMM,TMhelix,Region of a membrane-bound protein predicted to be embedded in the membrane.,334,356,-,-,-,ORF10b
WP_092699153.1,367,Phobius,SIGNAL_PEPTIDE,Signal peptide region,1,33,-,-,-,ORF10b
WP_092699153.1,367,Phobius,SIGNAL_PEPTIDE_C_REGION,C-terminal region of a signal peptide.,25,33,-,-,-,ORF10b
WP_092699153.1,367,SignalP_GRAM_NEGATIVE,SignalP-TM,SignalP-TM,1,33,-,-,-,ORF10b
WP_092699153.1,367,Phobius,SIGNAL_PEPTIDE_H_REGION,Hydrophobic region of a signal peptide.,13,24,-,-,-,ORF10b
WP_092699153.1,367,SignalP_GRAM_NEGATIVE,SignalP-TM,SignalP-TM,1,33,-,-,-,ORF10b
WP_092699153.1,367,TMHMM,TMhelix,Region of a membrane-bound protein predicted to be embedded in the membrane.,13,35,-,-,-,ORF10b
WP_253439246.1,354,Phobius,NON_CYTOPLASMIC_DOMAIN,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",32,326,-,-,-,ORF10b
WP_253439246.1,354,TMHMM,TMhelix,Region of a membrane-bound protein predicted to be embedded in the membrane.,325,347,-,-,-,ORF10b
WP_253439246.1,354,SignalP_EUK,SignalP-TM,SignalP-TM,1,24,-,-,-,ORF10b
WP_253439246.1,354,Phobius,TRANSMEMBRANE,Region of a membrane-bound protein predicted to be embedded in the membrane.,327,347,-,-,-,ORF10b
WP_253439246.1,354,Phobius,SIGNAL_PEPTIDE,Signal peptide region,1,31,-,-,-,ORF10b
WP_253439246.1,354,Phobius,SIGNAL_PEPTIDE_H_REGION,Hydrophobic region of a signal peptide.,8,19,-,-,-,ORF10b
WP_253439246.1,354,SignalP_GRAM_NEGATIVE,SignalP-noTM,SignalP-noTM,1,26,-,-,-,ORF10b
WP_253439246.1,354,Phobius,CYTOPLASMIC_DOMAIN,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",348,354,-,-,-,ORF10b
WP_253439246.1,354,Phobius,SIGNAL_PEPTIDE_C_REGION,C-terminal region of a signal peptide.,20,31,-,-,-,ORF10b
WP_253439246.1,354,Phobius,SIGNAL_PEPTIDE_N_REGION,N-terminal region of a signal peptide.,1,7,-,-,-,ORF10b
WP_253439246.1,354,TMHMM,TMhelix,Region of a membrane-bound protein predicted to be embedded in the membrane.,7,29,-,-,-,ORF10b
WP_253439246.1,354,SignalP_EUK,SignalP-TM,SignalP-TM,1,31,-,-,-,ORF10b
ELY68834.1,359,TMHMM,TMhelix,Region of a membrane-bound protein predicted to be embedded in the membrane.,331,353,-,-,-,ORF10b
ELY68834.1,359,Phobius,TRANSMEMBRANE,Region of a membrane-bound protein predicted to be embedded in the membrane.,331,353,-,-,-,ORF10b
ELY68834.1,359,Phobius,SIGNAL_PEPTIDE_H_REGION,Hydrophobic region of a signal peptide.,2,13,-,-,-,ORF10b
ELY68834.1,359,SignalP_GRAM_POSITIVE,SignalP-TM,SignalP-TM,1,19,-,-,-,ORF10b
ELY68834.1,359,SignalP_GRAM_NEGATIVE,SignalP-noTM,SignalP-noTM,1,19,-,-,-,ORF10b
ELY68834.1,359,Phobius,SIGNAL_PEPTIDE_N_REGION,N-terminal region of a signal peptide.,1,1,-,-,-,ORF10b
ELY68834.1,359,Phobius,NON_CYTOPLASMIC_DOMAIN,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",19,330,-,-,-,ORF10b
ELY68834.1,359,Phobius,SIGNAL_PEPTIDE_C_REGION,C-terminal region of a signal peptide.,14,18,-,-,-,ORF10b
ELY68834.1,359,SignalP_GRAM_NEGATIVE,SignalP-noTM,SignalP-noTM,1,19,-,-,-,ORF10b
ELY68834.1,359,Phobius,SIGNAL_PEPTIDE,Signal peptide region,1,18,-,-,-,ORF10b
ELY68834.1,359,Phobius,CYTOPLASMIC_DOMAIN,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",354,359,-,-,-,ORF10b
WP_247005178.1,341,SignalP_EUK,SignalP-noTM,SignalP-noTM,1,23,-,-,-,ORF10b
WP_247005178.1,341,Phobius,SIGNAL_PEPTIDE,Signal peptide region,1,31,-,-,-,ORF10b
WP_247005178.1,341,Phobius,SIGNAL_PEPTIDE_H_REGION,Hydrophobic region of a signal peptide.,8,19,-,-,-,ORF10b
WP_247005178.1,341,SignalP_EUK,SignalP-noTM,SignalP-noTM,1,26,-,-,-,ORF10b
WP_247005178.1,341,Phobius,SIGNAL_PEPTIDE_C_REGION,C-terminal region of a signal peptide.,20,31,-,-,-,ORF10b
WP_247005178.1,341,Phobius,SIGNAL_PEPTIDE_N_REGION,N-terminal region of a signal peptide.,1,7,-,-,-,ORF10b
WP_247005178.1,341,Phobius,NON_CYTOPLASMIC_DOMAIN,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",32,341,-,-,-,ORF10b
WP_247005178.1,341,TMHMM,TMhelix,Region of a membrane-bound protein predicted to be embedded in the membrane.,9,31,-,-,-,ORF10b
WP_247005178.1,341,SignalP_GRAM_POSITIVE,SignalP-TM,SignalP-TM,1,31,-,-,-,ORF10b
WP_076148799.1,379,SignalP_EUK,SignalP-noTM,SignalP-noTM,1,26,-,-,-,ORF10b
WP_076148799.1,379,Phobius,CYTOPLASMIC_DOMAIN,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",373,379,-,-,-,ORF10b
WP_076148799.1,379,Phobius,SIGNAL_PEPTIDE,Signal peptide region,1,31,-,-,-,ORF10b
WP_076148799.1,379,Phobius,SIGNAL_PEPTIDE_H_REGION,Hydrophobic region of a signal peptide.,8,19,-,-,-,ORF10b
WP_076148799.1,379,Phobius,NON_CYTOPLASMIC_DOMAIN,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",32,350,-,-,-,ORF10b
WP_076148799.1,379,Phobius,SIGNAL_PEPTIDE_C_REGION,C-terminal region of a signal peptide.,20,31,-,-,-,ORF10b
WP_076148799.1,379,SignalP_EUK,SignalP-noTM,SignalP-noTM,1,24,-,-,-,ORF10b
WP_076148799.1,379,Phobius,SIGNAL_PEPTIDE_N_REGION,N-terminal region of a signal peptide.,1,7,-,-,-,ORF10b
WP_076148799.1,379,TMHMM,TMhelix,Region of a membrane-bound protein predicted to be embedded in the membrane.,9,31,-,-,-,ORF10b
WP_076148799.1,379,SignalP_GRAM_POSITIVE,SignalP-TM,SignalP-TM,1,31,-,-,-,ORF10b
WP_076148799.1,379,Phobius,TRANSMEMBRANE,Region of a membrane-bound protein predicted to be embedded in the membrane.,351,372,-,-,-,ORF10b
WP_076148799.1,379,TMHMM,TMhelix,Region of a membrane-bound protein predicted to be embedded in the membrane.,351,373,-,-,-,ORF10b
WP_090312398.1,335,Phobius,SIGNAL_PEPTIDE,Signal peptide region,1,20,-,-,-,ORF10b
WP_090312398.1,335,Phobius,SIGNAL_PEPTIDE_H_REGION,Hydrophobic region of a signal peptide.,4,15,-,-,-,ORF10b
WP_090312398.1,335,SignalP_EUK,SignalP-noTM,SignalP-noTM,1,15,-,-,-,ORF10b
WP_090312398.1,335,Phobius,SIGNAL_PEPTIDE_N_REGION,N-terminal region of a signal peptide.,1,3,-,-,-,ORF10b
WP_090312398.1,335,Phobius,NON_CYTOPLASMIC_DOMAIN,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",21,335,-,-,-,ORF10b
