	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	heme_regulatory_motif_count
SRIF01000015.1_SRIF01000015.1_1	SRIF01000015.1	SRIF01000015.1	1	2	211	-1	E											0
SRIF01000015.1_SRIF01000015.1_2	SRIF01000015.1	SRIF01000015.1	2	610	1062	-1	E											0
SRIF01000015.1_SRIF01000015.1_3	SRIF01000015.1	SRIF01000015.1	3	1264	1644	-1	E											0
SRIF01000015.1_SRIF01000015.1_4	SRIF01000015.1	SRIF01000015.1	4	1641	2453	-1	C	K03496	chromosome partitioning protein								AAA domain [PF13614.9]; ATPase MipZ [PF09140.14]; NUBPL iron-transfer P-loop NTPase [PF10609.12]; VirC1 protein [PF07015.14]; Cellulose biosynthesis protein BcsQ [PF06564.15]; CobQ/CobB/MinD/ParA nucleotide binding domain [PF01656.26]; 4Fe-4S iron sulfur cluster binding proteins, NifH/frxC family [PF00142.21]; Anion-transporting ATPase [PF02374.18]	0
SRIF01000015.1_SRIF01000015.1_5	SRIF01000015.1	SRIF01000015.1	5	2714	3850	1	D										Phage integrase family [PF00589.25]	0
SRIF01000015.1_SRIF01000015.1_6	SRIF01000015.1	SRIF01000015.1	6	3933	4202	1	E											0
SRIF01000015.1_SRIF01000015.1_7	SRIF01000015.1	SRIF01000015.1	7	4225	4491	-1	E											0
SRIF01000015.1_SRIF01000015.1_8	SRIF01000015.1	SRIF01000015.1	8	4641	4949	1	D										Transcriptional regulator PadR-like family [PF03551.17]	0
SRIF01000015.1_SRIF01000015.1_9	SRIF01000015.1	SRIF01000015.1	9	4949	5200	1	E											0
SRIF01000015.1_SRIF01000015.1_10	SRIF01000015.1	SRIF01000015.1	10	5200	5613	1	E											0
SRIF01000015.1_SRIF01000015.1_11	SRIF01000015.1	SRIF01000015.1	11	5610	6071	1	E											0
SRIF01000015.1_SRIF01000015.1_12	SRIF01000015.1	SRIF01000015.1	12	6068	6247	1	E											0
SRIF01000015.1_SRIF01000015.1_13	SRIF01000015.1	SRIF01000015.1	13	6244	6624	1	E											0
SRIF01000015.1_SRIF01000015.1_14	SRIF01000015.1	SRIF01000015.1	14	6621	6767	1	E											0
SRIF01000015.1_SRIF01000015.1_15	SRIF01000015.1	SRIF01000015.1	15	6760	7275	1	E											0
SRIF01000015.1_SRIF01000015.1_16	SRIF01000015.1	SRIF01000015.1	16	7268	8518	1	E											0
SRIF01000015.1_SRIF01000015.1_17	SRIF01000015.1	SRIF01000015.1	17	8523	9071	1	E											0
SRIF01000015.1_SRIF01000015.1_18	SRIF01000015.1	SRIF01000015.1	18	9072	9263	1	E											0
SRIF01000015.1_SRIF01000015.1_19	SRIF01000015.1	SRIF01000015.1	19	9260	9496	1	E											0
SRIF01000015.1_SRIF01000015.1_20	SRIF01000015.1	SRIF01000015.1	20	9496	9636	1	E											0
SRIF01000015.1_SRIF01000015.1_21	SRIF01000015.1	SRIF01000015.1	21	9629	10030	1	E											0
SRIF01000015.1_SRIF01000015.1_22	SRIF01000015.1	SRIF01000015.1	22	10027	10743	1	E											0
SRIF01000015.1_SRIF01000015.1_23	SRIF01000015.1	SRIF01000015.1	23	10736	11218	1	E											0
SRIF01000015.1_SRIF01000015.1_24	SRIF01000015.1	SRIF01000015.1	24	11205	11792	1	E											0
SRIF01000015.1_SRIF01000015.1_25	SRIF01000015.1	SRIF01000015.1	25	11789	12322	1	E											0
SRIF01000015.1_SRIF01000015.1_26	SRIF01000015.1	SRIF01000015.1	26	12315	13091	1	E											0
SRIF01000015.1_SRIF01000015.1_27	SRIF01000015.1	SRIF01000015.1	27	13088	13627	1	E											0
SRIF01000015.1_SRIF01000015.1_28	SRIF01000015.1	SRIF01000015.1	28	13627	13932	1	E											0
SRIF01000015.1_SRIF01000015.1_29	SRIF01000015.1	SRIF01000015.1	29	13929	14336	1	E											0
SRIF01000015.1_SRIF01000015.1_30	SRIF01000015.1	SRIF01000015.1	30	14333	14737	1	E											0
SRIF01000015.1_SRIF01000015.1_31	SRIF01000015.1	SRIF01000015.1	31	14706	15026	1	E											0
SRIF01000015.1_SRIF01000015.1_32	SRIF01000015.1	SRIF01000015.1	32	15023	15568	1	E											0
SRIF01000015.1_SRIF01000015.1_33	SRIF01000015.1	SRIF01000015.1	33	15568	15912	1	E											0
SRIF01000015.1_SRIF01000015.1_34	SRIF01000015.1	SRIF01000015.1	34	15909	16013	1	E											0
SRIF01000015.1_SRIF01000015.1_35	SRIF01000015.1	SRIF01000015.1	35	16209	16484	1	E											0
SRIF01000015.1_SRIF01000015.1_36	SRIF01000015.1	SRIF01000015.1	36	16477	16905	1	E											0
SRIF01000015.1_SRIF01000015.1_37	SRIF01000015.1	SRIF01000015.1	37	16902	17108	1	E											0
SRIF01000015.1_SRIF01000015.1_38	SRIF01000015.1	SRIF01000015.1	38	17101	17292	1	E											0
SRIF01000015.1_SRIF01000015.1_39	SRIF01000015.1	SRIF01000015.1	39	17289	17450	1	E											0
SRIF01000015.1_SRIF01000015.1_40	SRIF01000015.1	SRIF01000015.1	40	17447	18121	1	E											0
SRIF01000015.1_SRIF01000015.1_41	SRIF01000015.1	SRIF01000015.1	41	18148	18333	1	E											0
SRIF01000015.1_SRIF01000015.1_42	SRIF01000015.1	SRIF01000015.1	42	18333	19343	1	E											0
SRIF01000015.1_SRIF01000015.1_43	SRIF01000015.1	SRIF01000015.1	43	19340	19747	1	E											0
SRIF01000015.1_SRIF01000015.1_44	SRIF01000015.1	SRIF01000015.1	44	19737	20147	1	E											0
SRIF01000015.1_SRIF01000015.1_45	SRIF01000015.1	SRIF01000015.1	45	20144	20644	1	E											0
SRIF01000015.1_SRIF01000015.1_46	SRIF01000015.1	SRIF01000015.1	46	20641	21039	1	E											0
SRIF01000015.1_SRIF01000015.1_47	SRIF01000015.1	SRIF01000015.1	47	21036	21845	1	E											0
SRIF01000015.1_SRIF01000015.1_48	SRIF01000015.1	SRIF01000015.1	48	21838	22173	1	E											0
SRIF01000015.1_SRIF01000015.1_49	SRIF01000015.1	SRIF01000015.1	49	22493	22711	1	E											0
