cluster,cluster_annotation,contig,presence,gene_id,occurances,nr_annot
Cluster 16,"",AOIO01000049.1,1,AOIO01000049.1_91,40,S8 family serine peptidase [Natrialba asiatica]
Cluster 16,"",AOIR01000042.1,1,AOIR01000042.1_44,40,peptidase S8 and S53 subtilisin kexin sedolisin [Natrinema thermotolerans DSM 11552]
Cluster 16,"",LOAJ01000002.1,1,LOAJ01000002.1_60,40,S8 family serine peptidase [Halorubrum aethiopicum]
Cluster 16,"",Gairdner_NODE_167,1,Gairdner_NODE_167_length_41210_cov_9.888325_31,40,MULTISPECIES: S8/S53 family peptidase [Halostella]
Cluster 16,"",LWLN01000003.1,1,LWLN01000003.1_14,40,S8 family serine peptidase [Natrinema saccharevitans]
Cluster 16,"",RJJW01000001.1,1,RJJW01000001.1_29,40,S8 family serine peptidase [Halorubrum sp. CSM-61]
Cluster 16,"",KX687704.1,1,KX687704.1_8,40,S8 family serine peptidase [Halorubrum lacusprofundi]
Cluster 16,"",KX906370.1,1,KX906370.1_89,40,S8 family serine peptidase [Halorubrum lacusprofundi]
Cluster 16,"",SJER01000008.1,1,SJER01000008.1_128,40,S8 family serine peptidase [Halostella litorea]
Cluster 16,"",QKNW01000002.1,1,QKNW01000002.1_40,40,S8 family serine peptidase [Halosegnis longus]
Cluster 16,"",Eyresouth_NODE_101,1,Eyresouth_NODE_101_length_48437_cov_7.17035_10,40,S8 family serine peptidase [Halovivax sp. AGai3-5]
Cluster 16,"",Frome_NODE_383,1,Frome_NODE_383_length_24936_cov_4.316346_2,40,S8 family peptidase [Phormidium yuhuli]
Cluster 16,"",JAJCVI010000007.1,1,JAJCVI010000007.1_14,40,S8 family serine peptidase [Halorubellus salinus]
Cluster 16,"",WSZK01000033.1,1,WSZK01000033.1_35,40,S8 family serine peptidase [Halomarina oriensis]
Cluster 16,"",SRIF01000015.1,1,SRIF01000015.1_78,40,S8 family serine peptidase [Halomicroarcula amylolytica]
Cluster 16,"",BBJN01000020.1,1,BBJN01000020.1_33,40,S8 family serine peptidase [Halolamina rubra]
Cluster 16,"",CP101158.1,1,CP101158.1_75,40,S8 family serine peptidase [Saliphagus sp. WLHSJ1]
Cluster 16,"",CP101161.1,1,CP101161.1_3056,40,S8 family serine peptidase [Halosegnis sp. ZY10]
Cluster 16,"",FOXI01000018.1,1,FOXI01000018.1_54,40,S8 family serine peptidase [Halolamina pelagica]
Cluster 16,"",CP095494.1,1,CP095494.1_35,40,S8 family serine peptidase [Halosolutus gelatinilyticus]
Cluster 16,"",JAJCVI010000002.1,1,JAJCVI010000002.1_558,40,S8 family serine peptidase [Halorubellus salinus]
Cluster 16,"",AOLZ01000012.1,1,AOLZ01000012.1_20,40,S8 family serine peptidase [Halobiforma lacisalsi]
Cluster 16,"",CP019286.1,1,CP019286.1_49,40,S8 family serine peptidase [Halobiforma lacisalsi]
Cluster 16,"",JDTG01000019.1,1,JDTG01000019.1_82,40,S8 family serine peptidase [Natrinema thermotolerans]
Cluster 16,"",CP119801.1,1,CP119801.1_44,40,S8 family serine peptidase [Halovivax sp. TS33]
Cluster 16,"",Gairdner_NODE_107,1,Gairdner_NODE_107_length_49922_cov_74.384603_13,40,MULTISPECIES: S8 family peptidase [Streptomyces]
Cluster 16,"",NC_015659.1,1,NC_015659.1_101,40,S8 family serine peptidase [Halopiger xanaduensis]
Cluster 16,"",NC_013748.1,1,NC_013748.1_10,40,S8 family serine peptidase [Haloterrigena turkmenica]
Cluster 16,"",CP084476.1,1,CP084476.1_75,40,S8 family serine peptidase [Natrinema sp. DC36]
Cluster 16,"",JAAOHU010000009.1,1,JAAOHU010000009.1_3,40,MULTISPECIES: S8/S53 family peptidase [Halostella]
Cluster 16,"",AOIP01000022.1,1,AOIP01000022.1_22,40,S8 family serine peptidase [Natrialba aegyptia]
Cluster 16,"",CP099999.1,1,CP099999.1_40,40,S8 family serine peptidase [Halovivax sp. AGai3-5]
Cluster 16,"",CP019329.1,1,CP019329.1_79,40,S8 family serine peptidase [Natronorubrum daqingense]
Cluster 16,"",AOJE01000025.1,1,AOJE01000025.1_28,40,S8 family serine peptidase [Halorubrum saccharovorum]
Cluster 16,"",FNFE01000011.1,1,FNFE01000011.1_20,40,S8 family serine peptidase [Natronorubrum texcoconense]
Cluster 16,"",JAANTI010000009.1,1,JAANTI010000009.1_1,40,"S8 family serine peptidase, partial [Halolamina sp. R1-12]"
Cluster 16,"",CP031299.1,1,CP031299.1_9,40,S8 family serine peptidase [Natrinema thermotolerans]
Cluster 16,"",CP100004.1,1,CP100004.1_1,40,S8 family serine peptidase [Halorussus sp. XZYJT10]
Cluster 16,"",AOJE01000051.1,1,AOJE01000051.1_48,40,S8 family serine peptidase [Halorubrum saccharovorum]
Cluster 16,"",Eyre_NODE_236,1,Eyre_NODE_236_length_33155_cov_19.932_44,40,S8 family serine peptidase [Natronomonas sp. CBA1123]
