orf#,start,end,strand,contig,id,annot,score,evalue,aln_length
32,26348,30238,FALSE,AOIR01000042.1,AOIR01000042.1_32,,,,
33,30273,32606,TRUE,AOIR01000042.1,AOIR01000042.1_33,,,,
34,32721,34274,TRUE,AOIR01000042.1,AOIR01000042.1_34,,,,
35,34386,35210,TRUE,AOIR01000042.1,AOIR01000042.1_35,,,,
36,35358,36011,TRUE,AOIR01000042.1,AOIR01000042.1_36,,,,
37,36139,37464,TRUE,AOIR01000042.1,AOIR01000042.1_37,ORF6.faa,70.3,5.1e-22,254
38,37636,37947,TRUE,AOIR01000042.1,AOIR01000042.1_38,,,,
39,38074,38166,FALSE,AOIR01000042.1,AOIR01000042.1_39,,,,
40,39198,39758,TRUE,AOIR01000042.1,AOIR01000042.1_40,,,,
41,40212,41303,TRUE,AOIR01000042.1,AOIR01000042.1_41,,,,
42,41446,41805,FALSE,AOIR01000042.1,AOIR01000042.1_42,,,,
43,41965,45603,TRUE,AOIR01000042.1,AOIR01000042.1_43,ORF6.faa,846.7,2.3e-256,1172
44,45596,47278,TRUE,AOIR01000042.1,AOIR01000042.1_44,,,,
45,47278,48096,TRUE,AOIR01000042.1,AOIR01000042.1_45,ORF8.faa,143.6,3.5e-44,248
46,48263,49249,TRUE,AOIR01000042.1,AOIR01000042.1_46,ORF10.faa,96.2,1.3e-29,317
47,49396,50106,TRUE,AOIR01000042.1,AOIR01000042.1_47,,,,
48,50106,50543,TRUE,AOIR01000042.1,AOIR01000042.1_48,,,,
49,50522,51436,TRUE,AOIR01000042.1,AOIR01000042.1_49,ORF17.faa,329,1.4e-100,296
50,51442,51699,TRUE,AOIR01000042.1,AOIR01000042.1_50,,,,
51,51699,51965,TRUE,AOIR01000042.1,AOIR01000042.1_51,,,,
52,52065,52313,TRUE,AOIR01000042.1,AOIR01000042.1_52,,,,
53,52310,52891,TRUE,AOIR01000042.1,AOIR01000042.1_53,ORF21.faa,194.7,7.7e-60,172
54,52891,53916,TRUE,AOIR01000042.1,AOIR01000042.1_54,,,,
55,53919,55250,TRUE,AOIR01000042.1,AOIR01000042.1_55,ORF23.faa,467.8,1.6e-142,430
56,55253,56785,TRUE,AOIR01000042.1,AOIR01000042.1_56,ORF24.faa,487.1,3e-148,498
57,56852,59248,TRUE,AOIR01000042.1,AOIR01000042.1_57,,,,
58,59502,59756,FALSE,AOIR01000042.1,AOIR01000042.1_58,,,,
59,60046,60204,TRUE,AOIR01000042.1,AOIR01000042.1_59,,,,
60,60255,60635,TRUE,AOIR01000042.1,AOIR01000042.1_60,,,,
61,61478,61825,FALSE,AOIR01000042.1,AOIR01000042.1_61,,,,
37,24773,25243,FALSE,CP050018.1,CP050018.1_37,,,,
38,25391,26203,FALSE,CP050018.1,CP050018.1_38,,,,
39,26243,26719,FALSE,CP050018.1,CP050018.1_39,,,,
40,26939,27139,TRUE,CP050018.1,CP050018.1_40,,,,
41,27328,27978,TRUE,CP050018.1,CP050018.1_41,,,,
42,27991,31485,TRUE,CP050018.1,CP050018.1_42,ORF6.faa,971.3,9.4e-294,1150
43,31492,33045,TRUE,CP050018.1,CP050018.1_43,,,,
44,33042,33755,TRUE,CP050018.1,CP050018.1_44,ORF8.faa,141.9,1.9e-43,234
45,33755,33889,TRUE,CP050018.1,CP050018.1_45,,,,
46,33876,34895,TRUE,CP050018.1,CP050018.1_46,,,,
47,34898,36022,TRUE,CP050018.1,CP050018.1_47,,,,
48,36019,36252,TRUE,CP050018.1,CP050018.1_48,,,,
49,36374,37423,TRUE,CP050018.1,CP050018.1_49,ORF10.faa,190.8,3.9e-58,332
50,37667,38458,TRUE,CP050018.1,CP050018.1_50,,,,
51,38573,39220,TRUE,CP050018.1,CP050018.1_51,,,,
52,39227,39730,TRUE,CP050018.1,CP050018.1_52,,,,
53,39733,40239,TRUE,CP050018.1,CP050018.1_53,,,,
54,40242,40499,TRUE,CP050018.1,CP050018.1_54,,,,
55,40506,41234,TRUE,CP050018.1,CP050018.1_55,,,,
56,41231,41617,TRUE,CP050018.1,CP050018.1_56,,,,
57,41617,42021,TRUE,CP050018.1,CP050018.1_57,,,,
58,42025,42372,TRUE,CP050018.1,CP050018.1_58,,,,
59,42468,42689,TRUE,CP050018.1,CP050018.1_59,,,,
60,42674,43606,TRUE,CP050018.1,CP050018.1_60,ORF17.faa,372.9,1e-113,291
61,43603,43830,TRUE,CP050018.1,CP050018.1_61,,,,
62,43830,44147,TRUE,CP050018.1,CP050018.1_62,,,,
63,44187,45278,TRUE,CP050018.1,CP050018.1_63,,,,
64,45278,45610,TRUE,CP050018.1,CP050018.1_64,,,,
65,45615,46319,TRUE,CP050018.1,CP050018.1_65,ORF21.faa,218.3,8.1e-67,199
