#                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession    qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- --------------------  ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
5                    -            343 DNA_pol_III_b        PIRSF000804   372   1.2e-05   15.8   0.3   1   1   4.9e-07   2.1e-05   15.0   0.3    44   136    51   140    42   149 0.85 -
31                   -            356 Glycophorin          PIRSF002466   145     7e-05   14.3   0.1   1   2   1.9e-05   0.00082   10.8   0.0    82   112    12    42     9    52 0.89 -
31                   -            356 Glycophorin          PIRSF002466   145     7e-05   14.3   0.1   2   2     0.024         1    0.8   0.1    33    65   284   316   249   324 0.79 -
8                    -            422 Resolvase_Rsv        PIRSF004576   247   6.5e-05   13.8   0.0   1   1   2.4e-06   0.00011   13.1   0.0    46   109   221   284   215   299 0.92 -
10                   -            106 HTH_arch             PIRSF004955   266   9.2e-08   22.8   0.0   1   1   2.3e-09     1e-07   22.7   0.0    12    61    24    74    17    95 0.83 -
42                   -            594 CooC                 PIRSF005647   250   0.00018   12.5   0.9   1   4      0.01      0.46    1.4   0.1    25    43    10    28     5    30 0.83 -
42                   -            594 CooC                 PIRSF005647   250   0.00018   12.5   0.9   2   4   0.00026     0.011    6.7   0.0     5    39    39    76    38    88 0.79 -
42                   -            594 CooC                 PIRSF005647   250   0.00018   12.5   0.9   3   4     0.071       3.1   -1.3   0.2   214   246   378   410   324   413 0.63 -
42                   -            594 CooC                 PIRSF005647   250   0.00018   12.5   0.9   4   4     0.089       3.9   -1.7   0.0   150   194   516   559   511   578 0.79 -
42                   -            594 SMC                  PIRSF005719  1196   0.00033    9.6  33.5   1   1   7.4e-07   3.3e-05   12.9  16.1   727   833   375   479   368   484 0.90 -
31                   -            356 UCP006158_SH3        PIRSF006158   210    0.0096    6.8   7.7   1   1   0.00046      0.02    5.8   7.7    87   150   248   311   246   333 0.81 -
6                    -            255 UCP014872            PIRSF014872   527   1.8e-05   15.0   0.0   1   1   4.6e-07     2e-05   14.8   0.0   255   293   132   169    46   182 0.87 -
31                   -            356 Gdnf                 PIRSF016238   241    0.0003   12.3   3.8   1   1   1.2e-05   0.00051   11.6   3.8    37   130   256   354   221   356 0.64 -
42                   -            594 UCP016662_Toprim     PIRSF016662   295    0.0001   13.3  28.2   1   2   3.7e-06   0.00016   12.6   1.0   133   190   288   345   263   357 0.83 -
42                   -            594 UCP016662_Toprim     PIRSF016662   295    0.0001   13.3  28.2   2   2     0.013      0.58    1.0  20.1   137   199   383   439   371   497 0.46 -
31                   -            356 NT5C2                PIRSF017434   488   0.00044   10.4   5.0   1   1   1.4e-05   0.00062    9.9   5.0   349   420   250   319   247   329 0.90 -
33                   -            250 UCP018748            PIRSF018748   177   6.9e-05   13.9   0.1   1   1   2.3e-06    0.0001   13.4   0.1     4    50    63   107    60   157 0.83 -
24                   -            260 Necrosis-inducing_protein PIRSF029958   300   0.00012   13.0   0.6   1   1   4.2e-06   0.00018   12.4   0.6   146   197    79   132    60   164 0.71 -
30                   -            632 UCP030042            PIRSF030042   136   0.00055   11.5   0.9   1   3     0.053       2.3   -0.2   0.2    13    42    22    50    18    59 0.69 -
30                   -            632 UCP030042            PIRSF030042   136   0.00055   11.5   0.9   2   3      0.24        10   -2.3   0.0    43    59   116   132   103   171 0.61 -
30                   -            632 UCP030042            PIRSF030042   136   0.00055   11.5   0.9   3   3   8.9e-05    0.0039    8.8   0.0    78   133   332   386   313   389 0.85 -
10                   -            106 UCP030050_HTH        PIRSF030050   307   6.2e-07   20.4   0.0   1   1   1.7e-08   7.3e-07   20.1   0.0    10    71    12    75     8    89 0.86 -
30                   -            632 LiaF_YvqF            PIRSF031509   239   0.00013   13.2   0.1   1   2   6.2e-05    0.0027    8.8   0.0    29   128    69   172    64   177 0.72 -
30                   -            632 LiaF_YvqF            PIRSF031509   239   0.00013   13.2   0.1   2   2    0.0087      0.38    1.8   0.0    25    52   361   387   339   428 0.72 -
40                   -            174 UCP032209            PIRSF032209   163   4.8e-51  163.9   0.0   1   1   1.3e-52   5.8e-51  163.6   0.0     9   162    12   164     7   165 0.97 -
41                   -            122 MHYT_LytTR           PIRSF036615   402   0.00053   10.5   0.0   1   1   1.4e-05   0.00061   10.3   0.0   151   206    60   118    55   121 0.88 -
24                   -            260 UCP036704            PIRSF036704    69   0.00027   12.8   1.2   1   1   2.3e-05   0.00051   12.0   1.2    11    38     3    27     1    45 0.71 -
20                   -            335 UCP036704            PIRSF036704    69   0.00075   11.4   5.4   1   1   0.00011    0.0024    9.8   5.4     8    41   116   146   110   159 0.62 -
6                    -            255 Vpr-related_protease PIRSF037844  1408   1.6e-14   43.9   3.9   1   2   5.1e-13   2.2e-11   33.4   2.0   320   419     3   102     1   117 0.86 -
6                    -            255 Vpr-related_protease PIRSF037844  1408   1.6e-14   43.9   3.9   2   2   3.8e-06   0.00017   10.6   0.0   612   636   153   177   136   212 0.88 -
6                    -            255 Subtilase_Euglen     PIRSF037850  1492   3.4e-08   22.5   0.2   1   2   7.7e-10   3.4e-08   22.5   0.2   284   387     1   105     1   137 0.81 -
6                    -            255 Subtilase_Euglen     PIRSF037850  1492   3.4e-08   22.5   0.2   2   2     0.061       2.7   -3.6   0.1   472   483   156   167   155   174 0.90 -
6                    -            255 Subtilisin_cyano     PIRSF037851   596   1.8e-27   87.3   5.8   1   1   4.8e-29   2.1e-27   87.0   5.8   201   404     3   219     1   235 0.81 -
6                    -            255 Subtilisin_rel_SAV5721 PIRSF037852  1246   1.4e-18   57.3  14.1   1   1   3.7e-20   1.6e-18   57.1  14.1   293   529     3   243     1   249 0.76 -
6                    -            255 DhpA                 PIRSF037854  1106   8.1e-16   48.2   8.5   1   1   2.2e-17   9.7e-16   47.9   8.5   279   499     1   224     1   229 0.80 -
6                    -            255 EpiP_NisP_MutP       PIRSF037875   479   1.4e-06   18.5   0.0   1   2   3.6e-07   1.6e-05   14.9   0.0   218   264     2    51     1    65 0.84 -
6                    -            255 EpiP_NisP_MutP       PIRSF037875   479   1.4e-06   18.5   0.0   2   2    0.0043      0.19    1.5   0.0   409   431   156   179   145   234 0.82 -
6                    -            255 Subtilisin_rel_fervidolysin PIRSF037882   726   2.7e-07   20.7   1.3   1   1   3.3e-08   1.5e-06   18.3   1.3   257   380     3   150     1   177 0.70 -
6                    -            255 Subtilisin_rel_SRU_0565 PIRSF037892   558   2.4e-10   31.3   1.3   1   1   1.5e-11   6.4e-10   29.9   1.3   347   489    20   167     2   174 0.69 -
6                    -            255 Subtilisin_rel_Maqu_2796 PIRSF037893   851     4e-16   49.6  10.8   1   1   1.7e-17   7.3e-16   48.8  10.8   391   613     2   215     1   227 0.73 -
6                    -            255 Subtilisin_rel_Sama_2696 PIRSF037895  1601   6.8e-13   38.2   5.6   1   2   2.7e-11   1.2e-09   27.5   1.7   363   481     3   114     1   141 0.76 -
6                    -            255 Subtilisin_rel_Sama_2696 PIRSF037895  1601   6.8e-13   38.2   5.6   2   2   8.3e-07   3.6e-05   12.6   0.1   678   693   155   170   151   176 0.83 -
6                    -            255 Subtilisin_rel_Sputw3181_3341 PIRSF037898  1285   1.7e-06   17.3   6.3   1   2   4.2e-06   0.00018   10.5   0.7   284   390     2   101     1   104 0.78 -
6                    -            255 Subtilisin_rel_Sputw3181_3341 PIRSF037898  1285   1.7e-06   17.3   6.3   2   2     6e-06   0.00027   10.0   0.6   554   605   135   178   115   223 0.64 -
6                    -            255 Subtilisin_rel_PfSUB_1 PIRSF037900   602   3.5e-06   17.3   0.0   1   2     0.079       3.5   -2.6   0.0   370   441     8    81     3   105 0.75 -
6                    -            255 Subtilisin_rel_PfSUB_1 PIRSF037900   602   3.5e-06   17.3   0.0   2   2   1.5e-07   6.8e-06   16.3   0.0   496   533   134   170   127   229 0.64 -
6                    -            255 Subtilisin_rel_Nmul_A1891 PIRSF037901   603     4e-12   36.8   5.9   1   1   7.6e-13   3.4e-11   33.7   5.9   215   404     3   217     1   234 0.74 -
6                    -            255 Subtilisin_rel_Ava_4226 PIRSF037902  1454   8.4e-10   28.0   3.4   1   1   2.2e-11   9.8e-10   27.8   3.4  1172  1335     2   174     1   201 0.76 -
6                    -            255 Subtilisin_rel_TK1689 PIRSF037907   654   3.3e-16   50.0   7.6   1   1     1e-17   4.4e-16   49.5   7.6   218   404     1   184     1   219 0.77 -
31                   -            356 AMP-prot_trans       PIRSF038925   370   5.4e-05   13.5   1.0   1   1   1.7e-06   7.6e-05   13.0   1.0    59   119   250   316   243   338 0.80 -
#
# Program:         hmmsearch
# Version:         3.3 (Nov 2019)
# Pipeline mode:   SEARCH
# Query file:      data/pirsf/3.10/sf_hmm_all
# Target file:     /home/dlueckin/projects/pR1SE_australian_lakes/G_annotate_complete_relatives/scripts/../interpro_tmp/Eyre_NODE_236_length_33155_cov_19.932.fasta.faa/hpc-node2_20230626_111308529_jk6g//jobPIRSF/000000000001_000000000044.fasta
# Option settings: bin/hmmer/hmmer3/3.3/hmmsearch -o /home/dlueckin/projects/pR1SE_australian_lakes/G_annotate_complete_relatives/scripts/../interpro_tmp/Eyre_NODE_236_length_33155_cov_19.932.fasta.faa/hpc-node2_20230626_111308529_jk6g//jobPIRSF/000000000001_000000000044.raw.out --domtblout /home/dlueckin/projects/pR1SE_australian_lakes/G_annotate_complete_relatives/scripts/../interpro_tmp/Eyre_NODE_236_length_33155_cov_19.932.fasta.faa/hpc-node2_20230626_111308529_jk6g//jobPIRSF/000000000001_000000000044.raw.domtblout.out --acc -E 0.01 --cpu 1 data/pirsf/3.10/sf_hmm_all /home/dlueckin/projects/pR1SE_australian_lakes/G_annotate_complete_relatives/scripts/../interpro_tmp/Eyre_NODE_236_length_33155_cov_19.932.fasta.faa/hpc-node2_20230626_111308529_jk6g//jobPIRSF/000000000001_000000000044.fasta 
# Current dir:     /bioinf/home/dlueckin/dbs/interproscan-5.62-94.0
# Date:            Mon Jun 26 11:14:00 2023
# [ok]
