cluster,cluster_annotation,contig,presence,gene_id,occurances
Cluster 0,ORF6,SJER01000008.1,1,SJER01000008.1_127,4
Cluster 0,ORF6,JAJCVI010000007.1,1,JAJCVI010000007.1_13,4
Cluster 0,ORF6,CP031299.1,1,CP031299.1_6,4
Cluster 0,ORF6,FOXI01000018.1,1,FOXI01000018.1_55,4
Cluster 1,ORF6,LOAJ01000002.1,1,LOAJ01000002.1_61,33
Cluster 1,ORF6,QKNW01000002.1,1,QKNW01000002.1_41,33
Cluster 1,ORF6,Gairdner_NODE_167,1,Gairdner_NODE_167_length_41210_cov_9.888325_32,33
Cluster 1,ORF6,BBJN01000020.1,1,BBJN01000020.1_32,33
Cluster 1,ORF6,JAJCVI010000002.1,1,JAJCVI010000002.1_557,33
Cluster 1,ORF6,KX687704.1,1,KX687704.1_7,33
Cluster 1,ORF6,KX906370.1,1,KX906370.1_88,33
Cluster 1,ORF6,CP100004.1,1,CP100004.1_3,33
Cluster 1,ORF6,CP101161.1,1,CP101161.1_3055,33
Cluster 1,ORF6,JDTG01000019.1,1,JDTG01000019.1_67,33
Cluster 1,ORF6,AOJE01000051.1,1,AOJE01000051.1_50,33
Cluster 1,ORF6,JAAOHU010000009.1,1,JAAOHU010000009.1_4,33
Cluster 1,ORF6,CP101158.1,1,CP101158.1_74,33
Cluster 1,ORF6,JDTG01000019.1,1,JDTG01000019.1_81,33
Cluster 1,ORF6,AOLZ01000012.1,1,AOLZ01000012.1_19,33
Cluster 1,ORF6,CP019286.1,1,CP019286.1_50,33
Cluster 1,ORF6,AOIP01000022.1,1,AOIP01000022.1_21,33
Cluster 1,ORF6,SRIF01000015.1,1,SRIF01000015.1_79,33
Cluster 1,ORF6,AOIR01000042.1,1,AOIR01000042.1_43,33
Cluster 1,ORF6,CP099999.1,1,CP099999.1_41,33
Cluster 1,ORF6,CP095494.1,1,CP095494.1_33,33
Cluster 1,ORF6,LWLN01000003.1,1,LWLN01000003.1_13,33
Cluster 1,ORF6,CP019329.1,1,CP019329.1_80,33
Cluster 1,ORF6,NC_013748.1,1,NC_013748.1_9,33
Cluster 1,ORF6,NC_015659.1,1,NC_015659.1_102,33
Cluster 1,ORF6,FNFE01000011.1,1,FNFE01000011.1_19,33
Cluster 1,ORF6,AOIO01000049.1,1,AOIO01000049.1_89,33
Cluster 1,ORF6,CP095494.1,1,CP095494.1_34,33
Cluster 1,ORF6,WSZK01000033.1,1,WSZK01000033.1_36,33
Cluster 1,ORF6,CP119801.1,1,CP119801.1_45,33
Cluster 1,ORF6,CP084476.1,1,CP084476.1_77,33
Cluster 1,ORF6,RJJW01000001.1,1,RJJW01000001.1_28,33
Cluster 1,ORF6,CP031299.1,1,CP031299.1_7,33
Cluster 2,ORF6,Gairdner_NODE_107,1,Gairdner_NODE_107_length_49922_cov_74.384603_12,3
Cluster 2,ORF6,Eyresouth_NODE_101,1,Eyresouth_NODE_101_length_48437_cov_7.17035_9,3
Cluster 2,ORF6,Frome_NODE_383,1,Frome_NODE_383_length_24936_cov_4.316346_1,3
Cluster 3,"",JAJCVI010000007.1,1,JAJCVI010000007.1_7,1
Cluster 4,"",AOIR01000042.1,1,AOIR01000042.1_32,1
Cluster 5,"",BBJN01000020.1,1,BBJN01000020.1_25,1
Cluster 6,"",AOJE01000025.1,1,AOJE01000025.1_13,3
Cluster 6,"",CP019329.1,1,CP019329.1_48,3
Cluster 6,"",CP019329.1,1,CP019329.1_95,3
Cluster 7,"",LOAJ01000002.1,1,LOAJ01000002.1_66,4
Cluster 7,"",CP084476.1,1,CP084476.1_91,4
Cluster 7,"",KX906370.1,1,KX906370.1_82,4
Cluster 7,"",KX687704.1,1,KX687704.1_1,4
Cluster 8,ORF6,AOJE01000025.1,1,AOJE01000025.1_27,1
Cluster 9,"",NC_013748.1,1,NC_013748.1_36,1
Cluster 10,"",CP101158.1,1,CP101158.1_104,1
Cluster 11,"",CP095494.1,1,CP095494.1_20,1
Cluster 12,"",RJJW01000001.1,1,RJJW01000001.1_21,3
Cluster 12,"",RJJW01000001.1,1,RJJW01000001.1_15,3
Cluster 12,"",RJJW01000001.1,1,RJJW01000001.1_23,3
Cluster 13,"",QKNW01000002.1,1,QKNW01000002.1_20,1
Cluster 14,"",KX687704.1,1,KX687704.1_26,40
Cluster 14,"",LOAJ01000002.1,1,LOAJ01000002.1_44,40
Cluster 14,"",KX906370.1,1,KX906370.1_107,40
Cluster 14,"",LWLN01000003.1,1,LWLN01000003.1_29,40
Cluster 14,"",AOLZ01000012.1,1,AOLZ01000012.1_35,40
Cluster 14,"",CP019286.1,1,CP019286.1_34,40
Cluster 14,"",CP101158.1,1,CP101158.1_93,40
Cluster 14,"",Eyre_NODE_236,1,Eyre_NODE_236_length_33155_cov_19.932_26,40
Cluster 14,"",Eyresouth_NODE_101,1,Eyresouth_NODE_101_length_48437_cov_7.17035_28,40
Cluster 14,"",Frome_NODE_383,1,Frome_NODE_383_length_24936_cov_4.316346_20,40
Cluster 14,"",JAAOHU010000009.1,1,JAAOHU010000009.1_54,40
Cluster 14,"",CP019329.1,1,CP019329.1_57,40
Cluster 14,"",CP095494.1,1,CP095494.1_52,40
Cluster 14,"",SRIF01000015.1,1,SRIF01000015.1_56,40
Cluster 14,"",SJER01000008.1,1,SJER01000008.1_144,40
Cluster 14,"",CP119801.1,1,CP119801.1_26,40
Cluster 14,"",FNFE01000011.1,1,FNFE01000011.1_39,40
Cluster 14,"",CP099999.1,1,CP099999.1_26,40
Cluster 14,"",RJJW01000001.1,1,RJJW01000001.1_46,40
Cluster 14,"",WSZK01000033.1,1,WSZK01000033.1_21,40
Cluster 14,"",CP084476.1,1,CP084476.1_52,40
Cluster 14,"",AOIR01000042.1,1,AOIR01000042.1_57,40
Cluster 14,"",CP101161.1,1,CP101161.1_3069,40
Cluster 14,"",CP100004.1,1,CP100004.1_22,40
Cluster 14,"",BBJN01000020.1,1,BBJN01000020.1_48,40
