	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	heme_regulatory_motif_count
AOIO01000049.1_AOIO01000049.1_1	AOIO01000049.1	AOIO01000049.1	1	55	1038	1	C	K07795	putative tricarboxylic transport membrane protein								Tripartite tricarboxylate transporter family receptor [PF03401.17]	0
AOIO01000049.1_AOIO01000049.1_2	AOIO01000049.1	AOIO01000049.1	2	1187	2161	-1	D										Luciferase-like monooxygenase [PF00296.23]	0
AOIO01000049.1_AOIO01000049.1_3	AOIO01000049.1	AOIO01000049.1	3	2433	3320	1	D										NAD binding domain of 6-phosphogluconate dehydrogenase [PF03446.18]; NADP oxidoreductase coenzyme F420-dependent [PF03807.20]; Domain of unknown function (DUF1932) [PF09130.14]	0
AOIO01000049.1_AOIO01000049.1_4	AOIO01000049.1	AOIO01000049.1	4	3423	4082	1	E											0
AOIO01000049.1_AOIO01000049.1_5	AOIO01000049.1	AOIO01000049.1	5	4086	5570	1	C	K07793	putative tricarboxylic transport membrane protein								Tripartite tricarboxylate transporter TctA family [PF01970.19]	0
AOIO01000049.1_AOIO01000049.1_6	AOIO01000049.1	AOIO01000049.1	6	5767	6174	1	C	K07107	acyl-CoA thioester hydrolase [EC:3.1.2.-]								Thioesterase-like superfamily [PF13279.9]; Acyl-ACP thioesterase [PF01643.20]	0
AOIO01000049.1_AOIO01000049.1_7	AOIO01000049.1	AOIO01000049.1	7	6182	6661	1	D										N-terminal half of MaoC dehydratase [PF13452.9]	0
AOIO01000049.1_AOIO01000049.1_8	AOIO01000049.1	AOIO01000049.1	8	6658	7077	1	D										MaoC like domain [PF01575.22]; N-terminal half of MaoC dehydratase [PF13452.9]	0
AOIO01000049.1_AOIO01000049.1_9	AOIO01000049.1	AOIO01000049.1	9	7115	7912	1	D										Enoyl-(Acyl carrier protein) reductase [PF13561.9]; short chain dehydrogenase [PF00106.28]	0
AOIO01000049.1_AOIO01000049.1_10	AOIO01000049.1	AOIO01000049.1	10	7955	8389	-1	D										Universal stress protein family [PF00582.29]	0
AOIO01000049.1_AOIO01000049.1_11	AOIO01000049.1	AOIO01000049.1	11	8692	8952	1	C	K07107	acyl-CoA thioester hydrolase [EC:3.1.2.-]								Thioesterase-like superfamily [PF13279.9]	0
AOIO01000049.1_AOIO01000049.1_12	AOIO01000049.1	AOIO01000049.1	12	8912	9409	-1	E											0
AOIO01000049.1_AOIO01000049.1_13	AOIO01000049.1	AOIO01000049.1	13	9631	10305	1	D										Enolase C-terminal domain-like [PF13378.9]	0
AOIO01000049.1_AOIO01000049.1_14	AOIO01000049.1	AOIO01000049.1	14	10366	11571	-1	D										Major Facilitator Superfamily [PF07690.19]	0
AOIO01000049.1_AOIO01000049.1_15	AOIO01000049.1	AOIO01000049.1	15	11727	12527	-1	D										FAD binding domain [PF00890.27]	0
AOIO01000049.1_AOIO01000049.1_16	AOIO01000049.1	AOIO01000049.1	16	12789	13334	-1	D										FAD binding domain [PF00890.27]; FAD dependent oxidoreductase [PF12831.10]; HI0933-like protein [PF03486.17]; FAD dependent oxidoreductase [PF01266.27]	0
