#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
>NZ_CP101161.1_3055  -           1312 ORF6.faa             -           1255  1.5e-252  839.2  63.3   1   1  3.7e-254  1.4e-251  836.0  63.3    13  1236     3  1304     1  1310 0.81 # 2916139 # 2920074 # 1 # ID=1_3055;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.614
>NZ_CP101161.1_249   -           2510 ORF6.faa             -           1255   1.2e-33  114.1  39.8   1   7    0.0028       1.1    4.9  12.9    67   309     5   273     1   430 0.45 # 245057 # 252586 # -1 # ID=1_249;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.694
>NZ_CP101161.1_249   -           2510 ORF6.faa             -           1255   1.2e-33  114.1  39.8   2   7       3.3   1.3e+03   -5.3   5.9   158   291   557   650   498   741 0.47 # 245057 # 252586 # -1 # ID=1_249;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.694
>NZ_CP101161.1_249   -           2510 ORF6.faa             -           1255   1.2e-33  114.1  39.8   3   7        10   3.8e+03  -13.3  18.4    94   327   793  1015   777  1112 0.43 # 245057 # 252586 # -1 # ID=1_249;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.694
>NZ_CP101161.1_249   -           2510 ORF6.faa             -           1255   1.2e-33  114.1  39.8   4   7    0.0083       3.2    3.3   4.1   544   600  1228  1285  1205  1287 0.81 # 245057 # 252586 # -1 # ID=1_249;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.694
>NZ_CP101161.1_249   -           2510 ORF6.faa             -           1255   1.2e-33  114.1  39.8   5   7        10   3.8e+03  -12.1  22.0   113   430  1467  1853  1441  1872 0.29 # 245057 # 252586 # -1 # ID=1_249;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.694
>NZ_CP101161.1_249   -           2510 ORF6.faa             -           1255   1.2e-33  114.1  39.8   6   7   1.5e-23   5.8e-21   72.0   8.9    97   298  1952  2165  1926  2166 0.82 # 245057 # 252586 # -1 # ID=1_249;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.694
>NZ_CP101161.1_249   -           2510 ORF6.faa             -           1255   1.2e-33  114.1  39.8   7   7   1.9e-19   7.1e-17   58.5  22.9   108   392  2133  2429  2130  2486 0.64 # 245057 # 252586 # -1 # ID=1_249;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.694
>NZ_CP101161.1_949   -            406 ORF6.faa             -           1255     1e-15   54.7   0.0   1   2   1.4e-12   5.5e-10   35.7   0.0   107   346    48   280     3   300 0.42 # 894483 # 895700 # -1 # ID=1_949;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.760
>NZ_CP101161.1_949   -            406 ORF6.faa             -           1255     1e-15   54.7   0.0   2   2   4.6e-07   0.00018   17.4   0.0   152   250   302   400   281   404 0.67 # 894483 # 895700 # -1 # ID=1_949;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.760
>NZ_CP101161.1_628   -            434 ORF6.faa             -           1255   3.2e-13   46.4   0.0   1   2   1.6e-06   0.00062   15.6   0.0   128   263    96   243    76   248 0.71 # 612406 # 613707 # 1 # ID=1_628;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.743
>NZ_CP101161.1_628   -            434 ORF6.faa             -           1255   3.2e-13   46.4   0.0   2   2   7.3e-13   2.8e-10   36.6   0.0   123   301   223   400   204   432 0.72 # 612406 # 613707 # 1 # ID=1_628;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.743
>NZ_CP101161.1_2631  -            449 ORF6.faa             -           1255   1.4e-11   41.0   0.0   1   1   4.6e-14   1.7e-11   40.6   0.0   129   372   179   437   109   444 0.68 # 2520728 # 2522074 # 1 # ID=1_2631;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.742
>NZ_CP101161.1_1719  -            388 ORF6.faa             -           1255   3.4e-09   33.1   0.0   1   2   7.7e-05      0.03   10.0   0.0   129   185    68   126    12   138 0.74 # 1703373 # 1704536 # 1 # ID=1_1719;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.745
>NZ_CP101161.1_1719  -            388 ORF6.faa             -           1255   3.4e-09   33.1   0.0   2   2   3.8e-08   1.4e-05   21.0   0.0   134   276   167   308   145   372 0.77 # 1703373 # 1704536 # 1 # ID=1_1719;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.745
>NZ_CP101161.1_2411  -            394 ORF6.faa             -           1255   1.6e-08   30.8   0.0   1   1   6.5e-11   2.5e-08   30.2   0.0   118   327   135   347    17   388 0.75 # 2320122 # 2321303 # -1 # ID=1_2411;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.762
>NZ_CP101161.1_893   -            396 ORF6.faa             -           1255   2.9e-07   26.7   0.0   1   1   8.6e-10   3.3e-07   26.5   0.0   130   360    72   291    11   331 0.70 # 846507 # 847694 # -1 # ID=1_893;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.779
>NZ_CP101161.1_262   -            441 ORF6.faa             -           1255   0.00086   15.1   0.0   1   1   2.8e-06    0.0011   14.8   0.0   165   276   204   309   169   355 0.79 # 262684 # 264006 # -1 # ID=1_262;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.762
>NZ_CP101161.1_439   -            417 ORF6.faa             -           1255      0.35    6.5   5.9   1   1    0.0013      0.51    6.0   5.9   810   850   281   321   260   338 0.74 # 430544 # 431794 # 1 # ID=1_439;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.705
#
