	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	heme_regulatory_motif_count
SJER01000008.1_SJER01000008.1_1	SJER01000008.1	SJER01000008.1	1	3	737	1	E											0
SJER01000008.1_SJER01000008.1_2	SJER01000008.1	SJER01000008.1	2	734	1042	1	E											0
SJER01000008.1_SJER01000008.1_3	SJER01000008.1	SJER01000008.1	3	1063	1194	-1	E											0
SJER01000008.1_SJER01000008.1_4	SJER01000008.1	SJER01000008.1	4	1234	2442	-1	E											0
SJER01000008.1_SJER01000008.1_5	SJER01000008.1	SJER01000008.1	5	2675	2929	-1	E											0
SJER01000008.1_SJER01000008.1_6	SJER01000008.1	SJER01000008.1	6	2926	3333	-1	E											0
SJER01000008.1_SJER01000008.1_7	SJER01000008.1	SJER01000008.1	7	3330	3617	-1	E											0
SJER01000008.1_SJER01000008.1_8	SJER01000008.1	SJER01000008.1	8	3610	3759	-1	E											0
SJER01000008.1_SJER01000008.1_9	SJER01000008.1	SJER01000008.1	9	3756	3962	-1	E											0
SJER01000008.1_SJER01000008.1_10	SJER01000008.1	SJER01000008.1	10	3959	4372	-1	E											0
SJER01000008.1_SJER01000008.1_11	SJER01000008.1	SJER01000008.1	11	4369	4704	-1	E											0
SJER01000008.1_SJER01000008.1_12	SJER01000008.1	SJER01000008.1	12	4694	4966	-1	E											0
SJER01000008.1_SJER01000008.1_13	SJER01000008.1	SJER01000008.1	13	4963	5331	-1	E											0
SJER01000008.1_SJER01000008.1_14	SJER01000008.1	SJER01000008.1	14	5331	5621	-1	E											0
SJER01000008.1_SJER01000008.1_15	SJER01000008.1	SJER01000008.1	15	5611	6105	-1	E											0
SJER01000008.1_SJER01000008.1_16	SJER01000008.1	SJER01000008.1	16	6105	7013	-1	E											0
SJER01000008.1_SJER01000008.1_17	SJER01000008.1	SJER01000008.1	17	7014	7358	-1	E											0
SJER01000008.1_SJER01000008.1_18	SJER01000008.1	SJER01000008.1	18	7358	7789	-1	E											0
SJER01000008.1_SJER01000008.1_19	SJER01000008.1	SJER01000008.1	19	7789	7932	-1	E											0
SJER01000008.1_SJER01000008.1_20	SJER01000008.1	SJER01000008.1	20	7929	8297	-1	E											0
SJER01000008.1_SJER01000008.1_21	SJER01000008.1	SJER01000008.1	21	8278	9072	-1	E											0
SJER01000008.1_SJER01000008.1_22	SJER01000008.1	SJER01000008.1	22	9072	9260	-1	E											0
SJER01000008.1_SJER01000008.1_23	SJER01000008.1	SJER01000008.1	23	9257	9745	-1	E											0
SJER01000008.1_SJER01000008.1_24	SJER01000008.1	SJER01000008.1	24	9742	10071	-1	E											0
SJER01000008.1_SJER01000008.1_25	SJER01000008.1	SJER01000008.1	25	10074	10475	-1	E											0
SJER01000008.1_SJER01000008.1_26	SJER01000008.1	SJER01000008.1	26	10472	10717	-1	E											0
SJER01000008.1_SJER01000008.1_27	SJER01000008.1	SJER01000008.1	27	10714	11544	-1	D										Proliferating cell nuclear antigen, N-terminal domain [PF00705.21]	0
SJER01000008.1_SJER01000008.1_28	SJER01000008.1	SJER01000008.1	28	11541	11801	-1	E											0
SJER01000008.1_SJER01000008.1_29	SJER01000008.1	SJER01000008.1	29	11945	12253	1	E											0
SJER01000008.1_SJER01000008.1_30	SJER01000008.1	SJER01000008.1	30	12250	12600	1	D										ASCH domain [PF04266.17]	0
SJER01000008.1_SJER01000008.1_31	SJER01000008.1	SJER01000008.1	31	12643	13902	-1	D										MCM P-loop domain [PF00493.26]; MCM AAA-lid domain [PF17855.4]	0
SJER01000008.1_SJER01000008.1_32	SJER01000008.1	SJER01000008.1	32	13899	14564	-1	E											0
SJER01000008.1_SJER01000008.1_33	SJER01000008.1	SJER01000008.1	33	14561	15298	-1	E											0
SJER01000008.1_SJER01000008.1_34	SJER01000008.1	SJER01000008.1	34	15295	15978	-1	E											0
SJER01000008.1_SJER01000008.1_35	SJER01000008.1	SJER01000008.1	35	15978	16376	-1	E											0
SJER01000008.1_SJER01000008.1_36	SJER01000008.1	SJER01000008.1	36	16373	17269	-1	E											0
SJER01000008.1_SJER01000008.1_37	SJER01000008.1	SJER01000008.1	37	17257	17871	-1	E											0
SJER01000008.1_SJER01000008.1_38	SJER01000008.1	SJER01000008.1	38	17935	18408	-1	E											0
SJER01000008.1_SJER01000008.1_39	SJER01000008.1	SJER01000008.1	39	18405	18788	-1	E											0
SJER01000008.1_SJER01000008.1_40	SJER01000008.1	SJER01000008.1	40	18891	19163	1	E											0
SJER01000008.1_SJER01000008.1_41	SJER01000008.1	SJER01000008.1	41	19170	19682	-1	E											0
SJER01000008.1_SJER01000008.1_42	SJER01000008.1	SJER01000008.1	42	19821	19979	1	E											1
SJER01000008.1_SJER01000008.1_43	SJER01000008.1	SJER01000008.1	43	20042	20347	-1	E											0
SJER01000008.1_SJER01000008.1_44	SJER01000008.1	SJER01000008.1	44	20347	20742	-1	E											0
SJER01000008.1_SJER01000008.1_45	SJER01000008.1	SJER01000008.1	45	20817	21335	-1	E											0
SJER01000008.1_SJER01000008.1_46	SJER01000008.1	SJER01000008.1	46	21508	21852	1	E											0
SJER01000008.1_SJER01000008.1_47	SJER01000008.1	SJER01000008.1	47	21877	22140	1	E											0
SJER01000008.1_SJER01000008.1_48	SJER01000008.1	SJER01000008.1	48	22382	23191	1	C	K03496	chromosome partitioning protein								AAA domain [PF13614.9]; Cellulose biosynthesis protein BcsQ [PF06564.15]; CobQ/CobB/MinD/ParA nucleotide binding domain [PF01656.26]; VirC1 protein [PF07015.14]; NUBPL iron-transfer P-loop NTPase [PF10609.12]; ATPase MipZ [PF09140.14]; Anion-transporting ATPase [PF02374.18]	0
SJER01000008.1_SJER01000008.1_49	SJER01000008.1	SJER01000008.1	49	23188	23631	1	E											0
SJER01000008.1_SJER01000008.1_50	SJER01000008.1	SJER01000008.1	50	23625	23780	-1	E											0
SJER01000008.1_SJER01000008.1_51	SJER01000008.1	SJER01000008.1	51	23816	24181	-1	D										Helix-hairpin-helix motif [PF12826.10]; Helix-hairpin-helix domain [PF14520.9]	0
SJER01000008.1_SJER01000008.1_52	SJER01000008.1	SJER01000008.1	52	24178	24468	-1	E											0
SJER01000008.1_SJER01000008.1_53	SJER01000008.1	SJER01000008.1	53	24465	24944	-1	E											0
SJER01000008.1_SJER01000008.1_54	SJER01000008.1	SJER01000008.1	54	24941	25615	-1	D										Acetyltransferase (GNAT) domain [PF13673.10]; Acetyltransferase (GNAT) family [PF00583.28]	0
SJER01000008.1_SJER01000008.1_55	SJER01000008.1	SJER01000008.1	55	25612	26613	-1	E											0
SJER01000008.1_SJER01000008.1_56	SJER01000008.1	SJER01000008.1	56	26610	26849	-1	E											0
SJER01000008.1_SJER01000008.1_57	SJER01000008.1	SJER01000008.1	57	26846	27202	-1	E											0
SJER01000008.1_SJER01000008.1_58	SJER01000008.1	SJER01000008.1	58	27199	27522	-1	E											0
SJER01000008.1_SJER01000008.1_59	SJER01000008.1	SJER01000008.1	59	27519	27821	-1	E											0
SJER01000008.1_SJER01000008.1_60	SJER01000008.1	SJER01000008.1	60	27808	28242	-1	E											0
SJER01000008.1_SJER01000008.1_61	SJER01000008.1	SJER01000008.1	61	28239	28967	-1	E											0
SJER01000008.1_SJER01000008.1_62	SJER01000008.1	SJER01000008.1	62	28964	29323	-1	D										Transcriptional regulator PadR-like family [PF03551.17]	0
SJER01000008.1_SJER01000008.1_63	SJER01000008.1	SJER01000008.1	63	29320	30081	-1	E											0
SJER01000008.1_SJER01000008.1_64	SJER01000008.1	SJER01000008.1	64	30087	30293	-1	E											0
SJER01000008.1_SJER01000008.1_65	SJER01000008.1	SJER01000008.1	65	30280	30474	-1	E											0
SJER01000008.1_SJER01000008.1_66	SJER01000008.1	SJER01000008.1	66	30471	30806	-1	E											0
SJER01000008.1_SJER01000008.1_67	SJER01000008.1	SJER01000008.1	67	30803	31705	-1	C	K06223	DNA adenine methylase [EC:2.1.1.72]								D12 class N6 adenine-specific DNA methyltransferase [PF02086.18]	0
SJER01000008.1_SJER01000008.1_68	SJER01000008.1	SJER01000008.1	68	31705	32190	-1	E											0
SJER01000008.1_SJER01000008.1_69	SJER01000008.1	SJER01000008.1	69	32190	32864	-1	D										Phage integrase family [PF00589.25]	0
SJER01000008.1_SJER01000008.1_70	SJER01000008.1	SJER01000008.1	70	32861	33121	-1	E											0
SJER01000008.1_SJER01000008.1_71	SJER01000008.1	SJER01000008.1	71	33118	33282	-1	E											0
SJER01000008.1_SJER01000008.1_72	SJER01000008.1	SJER01000008.1	72	33275	33547	-1	E											0
SJER01000008.1_SJER01000008.1_73	SJER01000008.1	SJER01000008.1	73	33544	33981	-1	E											0
SJER01000008.1_SJER01000008.1_74	SJER01000008.1	SJER01000008.1	74	33978	34679	-1	E											0
SJER01000008.1_SJER01000008.1_75	SJER01000008.1	SJER01000008.1	75	34672	36555	-1	C	K00558	DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]								C-5 cytosine-specific DNA methylase [PF00145.20]	0
SJER01000008.1_SJER01000008.1_76	SJER01000008.1	SJER01000008.1	76	36552	37121	-1	D										DNA N-6-adenine-methyltransferase (Dam) [PF05869.14]	0
SJER01000008.1_SJER01000008.1_77	SJER01000008.1	SJER01000008.1	77	37127	37414	-1	E											0
SJER01000008.1_SJER01000008.1_78	SJER01000008.1	SJER01000008.1	78	37411	37776	-1	E											0
SJER01000008.1_SJER01000008.1_79	SJER01000008.1	SJER01000008.1	79	37773	38210	-1	E											0
SJER01000008.1_SJER01000008.1_80	SJER01000008.1	SJER01000008.1	80	38211	38348	-1	E											0
SJER01000008.1_SJER01000008.1_81	SJER01000008.1	SJER01000008.1	81	38338	39003	-1	E											0
SJER01000008.1_SJER01000008.1_82	SJER01000008.1	SJER01000008.1	82	39000	39287	-1	E											0
SJER01000008.1_SJER01000008.1_83	SJER01000008.1	SJER01000008.1	83	39284	39463	-1	E											0
SJER01000008.1_SJER01000008.1_84	SJER01000008.1	SJER01000008.1	84	39463	39891	-1	E											0
SJER01000008.1_SJER01000008.1_85	SJER01000008.1	SJER01000008.1	85	39891	40283	-1	E											0
SJER01000008.1_SJER01000008.1_86	SJER01000008.1	SJER01000008.1	86	41181	42035	-1	E											0
SJER01000008.1_SJER01000008.1_87	SJER01000008.1	SJER01000008.1	87	42032	42286	-1	E											0
SJER01000008.1_SJER01000008.1_88	SJER01000008.1	SJER01000008.1	88	42506	42826	-1	E											0
SJER01000008.1_SJER01000008.1_89	SJER01000008.1	SJER01000008.1	89	43238	43471	1	E											0
SJER01000008.1_SJER01000008.1_90	SJER01000008.1	SJER01000008.1	90	43694	44278	-1	E											0
SJER01000008.1_SJER01000008.1_91	SJER01000008.1	SJER01000008.1	91	44282	44794	-1	E											0
SJER01000008.1_SJER01000008.1_92	SJER01000008.1	SJER01000008.1	92	45243	45686	1	C	K09388	uncharacterized protein									0
SJER01000008.1_SJER01000008.1_93	SJER01000008.1	SJER01000008.1	93	45683	46528	-1	E											0
SJER01000008.1_SJER01000008.1_94	SJER01000008.1	SJER01000008.1	94	46676	47053	-1	E											0
SJER01000008.1_SJER01000008.1_95	SJER01000008.1	SJER01000008.1	95	47225	47473	1	E											0
SJER01000008.1_SJER01000008.1_96	SJER01000008.1	SJER01000008.1	96	47518	47886	1	D										Helix-turn-helix domain [PF12840.10]	0
SJER01000008.1_SJER01000008.1_97	SJER01000008.1	SJER01000008.1	97	48022	48267	-1	E											0
SJER01000008.1_SJER01000008.1_98	SJER01000008.1	SJER01000008.1	98	48318	48755	-1	E											0
SJER01000008.1_SJER01000008.1_99	SJER01000008.1	SJER01000008.1	99	48821	48958	-1	E											0
SJER01000008.1_SJER01000008.1_100	SJER01000008.1	SJER01000008.1	100	48994	49101	1	E											0
SJER01000008.1_SJER01000008.1_101	SJER01000008.1	SJER01000008.1	101	49106	49426	-1	E											0
SJER01000008.1_SJER01000008.1_102	SJER01000008.1	SJER01000008.1	102	49527	49730	-1	E											0
SJER01000008.1_SJER01000008.1_103	SJER01000008.1	SJER01000008.1	103	49950	50117	1	E											0
SJER01000008.1_SJER01000008.1_104	SJER01000008.1	SJER01000008.1	104	50324	51346	-1	D										AAA domain [PF13401.9]	0
SJER01000008.1_SJER01000008.1_105	SJER01000008.1	SJER01000008.1	105	51974	53161	1	C	K10725	archaeal cell division control protein 6								CDC6, C terminal winged helix domain [PF09079.14]; AAA domain [PF13401.9]; NB-ARC domain [PF00931.25]	0
SJER01000008.1_SJER01000008.1_106	SJER01000008.1	SJER01000008.1	106	53849	54106	1	D										Uncharacterised protein family (UPF0175) [PF03683.16]	0
SJER01000008.1_SJER01000008.1_107	SJER01000008.1	SJER01000008.1	107	54103	54624	1	E											0
SJER01000008.1_SJER01000008.1_108	SJER01000008.1	SJER01000008.1	108	54981	55427	1	E											0
SJER01000008.1_SJER01000008.1_109	SJER01000008.1	SJER01000008.1	109	55525	55689	1	E											0
SJER01000008.1_SJER01000008.1_110	SJER01000008.1	SJER01000008.1	110	55700	55843	-1	E											0
SJER01000008.1_SJER01000008.1_111	SJER01000008.1	SJER01000008.1	111	56468	59950	1	C	K07317	adenine-specific DNA-methyltransferase [EC:2.1.1.72]								MmeI, DNA-methyltransferase domain [PF20473.1]; MmeI, helicase spacer domain [PF20465.1]; Eco57I restriction-modification methylase [PF07669.14]; N-6 DNA Methylase [PF02384.19]	0
SJER01000008.1_SJER01000008.1_112	SJER01000008.1	SJER01000008.1	112	60669	61451	-1	E											0
SJER01000008.1_SJER01000008.1_113	SJER01000008.1	SJER01000008.1	113	61578	62141	-1	E											0
SJER01000008.1_SJER01000008.1_114	SJER01000008.1	SJER01000008.1	114	62272	62577	1	E											0
SJER01000008.1_SJER01000008.1_115	SJER01000008.1	SJER01000008.1	115	62652	62918	-1	E											0
SJER01000008.1_SJER01000008.1_116	SJER01000008.1	SJER01000008.1	116	63172	63327	-1	E											0
SJER01000008.1_SJER01000008.1_117	SJER01000008.1	SJER01000008.1	117	63367	63495	-1	E											0
SJER01000008.1_SJER01000008.1_118	SJER01000008.1	SJER01000008.1	118	63519	63632	-1	E											0
SJER01000008.1_SJER01000008.1_119	SJER01000008.1	SJER01000008.1	119	63887	64609	-1	E											0
SJER01000008.1_SJER01000008.1_120	SJER01000008.1	SJER01000008.1	120	65487	65885	1	E											0
SJER01000008.1_SJER01000008.1_121	SJER01000008.1	SJER01000008.1	121	66022	66351	1	E											0
SJER01000008.1_SJER01000008.1_122	SJER01000008.1	SJER01000008.1	122	66391	66816	-1	C	K23255	archaeal type IV pilus assembly protein PilA								Archaeal Type IV pilin, N-terminal [PF07790.14]	0
SJER01000008.1_SJER01000008.1_123	SJER01000008.1	SJER01000008.1	123	66816	67202	-1	C	K23255	archaeal type IV pilus assembly protein PilA								Archaeal Type IV pilin, N-terminal [PF07790.14]	0
SJER01000008.1_SJER01000008.1_124	SJER01000008.1	SJER01000008.1	124	67202	67585	-1	C	K23255	archaeal type IV pilus assembly protein PilA								Archaeal Type IV pilin, N-terminal [PF07790.14]	0
SJER01000008.1_SJER01000008.1_125	SJER01000008.1	SJER01000008.1	125	67877	68674	1	E											0
SJER01000008.1_SJER01000008.1_126	SJER01000008.1	SJER01000008.1	126	69254	69871	1	E											0
SJER01000008.1_SJER01000008.1_127	SJER01000008.1	SJER01000008.1	127	69886	74619	1	D										Carboxypeptidase regulatory-like domain [PF13620.9]	0
SJER01000008.1_SJER01000008.1_128	SJER01000008.1	SJER01000008.1	128	74635	76266	1	D			MER0196550	S08A	MER0196550 - subfamily S8A unassigned peptidases (Haloterrigena turkmenica) [S08.UPA]#S08A#{peptidase unit: 189-460}~source ADB63906~	False	151.0	2.9680000000000002e-36	0.366	Subtilase family [PF00082.25]	0
SJER01000008.1_SJER01000008.1_129	SJER01000008.1	SJER01000008.1	129	76276	77100	1	E											0
SJER01000008.1_SJER01000008.1_130	SJER01000008.1	SJER01000008.1	130	77208	77873	1	E											0
SJER01000008.1_SJER01000008.1_131	SJER01000008.1	SJER01000008.1	131	78245	79351	1	E											0
SJER01000008.1_SJER01000008.1_132	SJER01000008.1	SJER01000008.1	132	79531	79818	1	E											0
SJER01000008.1_SJER01000008.1_133	SJER01000008.1	SJER01000008.1	133	79863	80627	1	E											0
