	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	heme_regulatory_motif_count
CP119801.1_CP119801.1_1	CP119801.1	CP119801.1	1	88	945	1	D										AAA domain [PF13614.9]; VirC1 protein [PF07015.14]	0
CP119801.1_CP119801.1_2	CP119801.1	CP119801.1	2	947	1360	1	E											0
CP119801.1_CP119801.1_3	CP119801.1	CP119801.1	3	1479	1670	1	E											0
CP119801.1_CP119801.1_4	CP119801.1	CP119801.1	4	2106	2423	-1	E											0
CP119801.1_CP119801.1_5	CP119801.1	CP119801.1	5	2416	2937	-1	E											0
CP119801.1_CP119801.1_6	CP119801.1	CP119801.1	6	2937	3449	-1	E											0
CP119801.1_CP119801.1_7	CP119801.1	CP119801.1	7	3442	3828	-1	E											0
CP119801.1_CP119801.1_8	CP119801.1	CP119801.1	8	3825	4073	-1	E											0
CP119801.1_CP119801.1_9	CP119801.1	CP119801.1	9	4070	4429	-1	E											0
CP119801.1_CP119801.1_10	CP119801.1	CP119801.1	10	4426	4755	-1	E											0
CP119801.1_CP119801.1_11	CP119801.1	CP119801.1	11	4911	5099	-1	E											0
CP119801.1_CP119801.1_12	CP119801.1	CP119801.1	12	5205	5642	1	E											0
CP119801.1_CP119801.1_13	CP119801.1	CP119801.1	13	5850	6062	1	E											0
CP119801.1_CP119801.1_14	CP119801.1	CP119801.1	14	6110	6700	1	E											0
CP119801.1_CP119801.1_15	CP119801.1	CP119801.1	15	6707	6928	-1	E											0
CP119801.1_CP119801.1_16	CP119801.1	CP119801.1	16	6952	7248	1	E											0
CP119801.1_CP119801.1_17	CP119801.1	CP119801.1	17	7482	7712	1	E											0
CP119801.1_CP119801.1_18	CP119801.1	CP119801.1	18	7903	8532	1	E											0
CP119801.1_CP119801.1_19	CP119801.1	CP119801.1	19	8721	9887	1	E											0
CP119801.1_CP119801.1_20	CP119801.1	CP119801.1	20	9900	10064	-1	E											0
CP119801.1_CP119801.1_21	CP119801.1	CP119801.1	21	10127	10405	-1	E											0
CP119801.1_CP119801.1_22	CP119801.1	CP119801.1	22	10398	10595	-1	E											0
CP119801.1_CP119801.1_23	CP119801.1	CP119801.1	23	10592	11191	-1	E											0
CP119801.1_CP119801.1_24	CP119801.1	CP119801.1	24	11317	12867	1	E											0
CP119801.1_CP119801.1_25	CP119801.1	CP119801.1	25	13191	14150	-1	D										MCM OB domain [PF17207.6]	0
CP119801.1_CP119801.1_26	CP119801.1	CP119801.1	26	14157	16601	-1	E											0
CP119801.1_CP119801.1_27	CP119801.1	CP119801.1	27	16591	16899	-1	E											0
CP119801.1_CP119801.1_28	CP119801.1	CP119801.1	28	16899	18722	-1	E											0
CP119801.1_CP119801.1_29	CP119801.1	CP119801.1	29	18725	20104	-1	E											0
CP119801.1_CP119801.1_30	CP119801.1	CP119801.1	30	20118	21167	-1	E											0
CP119801.1_CP119801.1_31	CP119801.1	CP119801.1	31	21164	21895	-1	E											0
CP119801.1_CP119801.1_32	CP119801.1	CP119801.1	32	21900	22187	-1	E											0
CP119801.1_CP119801.1_33	CP119801.1	CP119801.1	33	22289	22579	-1	E											0
CP119801.1_CP119801.1_34	CP119801.1	CP119801.1	34	22576	22800	-1	E											0
CP119801.1_CP119801.1_35	CP119801.1	CP119801.1	35	22794	23711	-1	E											0
CP119801.1_CP119801.1_36	CP119801.1	CP119801.1	36	23708	24028	-1	E											0
CP119801.1_CP119801.1_37	CP119801.1	CP119801.1	37	24033	24362	-1	E											0
CP119801.1_CP119801.1_38	CP119801.1	CP119801.1	38	24369	24767	-1	E											0
CP119801.1_CP119801.1_39	CP119801.1	CP119801.1	39	24770	24973	-1	E											0
CP119801.1_CP119801.1_40	CP119801.1	CP119801.1	40	24973	25740	-1	E											0
CP119801.1_CP119801.1_41	CP119801.1	CP119801.1	41	25759	26175	-1	E											0
CP119801.1_CP119801.1_42	CP119801.1	CP119801.1	42	26274	27392	-1	E											0
CP119801.1_CP119801.1_43	CP119801.1	CP119801.1	43	27630	28409	-1	E											0
CP119801.1_CP119801.1_44	CP119801.1	CP119801.1	44	28412	29983	-1	D			MER0980774	S08A	MER0980774 - subfamily S8A unassigned peptidases (Natrinema versiforme) [S08.UPA]#S08A#{peptidase unit: 194-482}~source L9Y5A0~	True	366.0	7.314000000000002e-109	0.637	Subtilase family [PF00082.25]	0
