Organism Scientific Name	Organism Common Name	Organism Qualifier	Taxonomy id	Assembly Name	Assembly Accession	Source	Annotation	Level	Contig N50	Size	Submission Date	Gene Count	BioProject	BioSample
Halobacterium salinarum NRC-1		strain: NRC-1; ATCC 700922	64091	ASM680v1	GCA_000006805.1	GenBank	Annotation submitted by University of Massachusetts-Amherst, University of Washington	Complete Genome	2014239	2571010	2001-01-09	2509	PRJNA412908	SAMN02604216
Haloquadratum walsbyi DSM 16790		strain: DSM 16790 = HBSQ001	362976	ASM918v1	GCA_000009185.1	GenBank	Annotation submitted by Max Planck Institute	Complete Genome	3132494	3179361	2006-06-22	3487	PRJNA17185	SAMEA3138195
Haloarcula marismortui ATCC 43049		strain: ATCC 43049	272569	ASM1108v1	GCA_000011085.1	GenBank	Annotation submitted by Institute for Systems Biology	Complete Genome	3131724	4274642	2004-11-02	4301	PRJNA105	SAMN02603385
Halorubrum lacusprofundi ATCC 49239		strain: ATCC 49239	416348	ASM2220v1	GCA_000022205.1	GenBank	Annotation submitted by US DOE Joint Genome Institute (JGI-PGF)	Complete Genome	2735295	3692576	2009-02-04	3726	PRJNA412908	SAMN02598407
Halorhabdus utahensis DSM 12940		strain: DSM 12940	519442	ASM2394v1	GCA_000023945.1	GenBank	Annotation submitted by US DOE Joint Genome Institute (JGI-PGF)	Complete Genome	3116795	3116795	2009-08-27	3077	PRJNA29305	SAMN00002611
Halomicrobium mukohataei DSM 12286		strain: DSM 12286	485914	ASM2396v1	GCA_000023965.1	GenBank	Annotation submitted by US DOE Joint Genome Institute (JGI-PGF)	Complete Genome	3110487	3332349	2009-09-03	3475	PRJNA27945	SAMN00002610
Haloterrigena turkmenica DSM 5511		strain: DSM 5511	543526	ASM2532v1	GCA_000025325.1	GenBank	Annotation submitted by US DOE Joint Genome Institute (JGI-PGF)	Complete Genome	3889038	5440782	2010-01-19	5351	PRJNA30411	SAMN02598471
Natrialba magadii ATCC 43099		strain: ATCC 43099	547559	ASM2562v1	GCA_000025625.1	GenBank	Annotation submitted by US DOE Joint Genome Institute (JGI-PGF)	Complete Genome	3751858	4443643	2010-02-24	4354	PRJNA30691	SAMN02598473
Haloferax volcanii DS2		strain: DS2	309800	ASM2568v1	GCA_000025685.1	GenBank	Annotation submitted by TIGR	Complete Genome	2847757	4012900	2010-03-23	4157	PRJNA12524	SAMN02604027
Natronomonas pharaonis DSM 2160		strain: Gabara	348780	ASM2604v1	GCA_000026045.1	GenBank	Annotation submitted by Max Planck Institute	Complete Genome	2595221	2749696	2005-09-28	3028	PRJNA15742	SAMEA3138222
Halobacterium salinarum R1		strain: DSM 671 = R1	478009	ASM6902v1	GCA_000069025.1	GenBank	Annotation submitted by Max Planck Institute	Complete Genome	2000962	2668776	2008-02-12	3050	PRJNA106	SAMEA3138275
Halogeometricum borinquense DSM 11551		strain: PR 3	469382	ASM17299v2	GCA_000172995.2	GenBank	Annotation submitted by US DOE Joint Genome Institute (JGI-PGF)	Complete Genome	2820544	3944467	2010-11-22	3993	PRJNA20743	SAMN00002580
Haladaptatus paucihalophilus DX253		strain: DX253	797209	ASM18722v1	GCA_000187225.2	GenBank	Annotation submitted by Oklahoma State University	Contig	267250	4284805	2011-01-31	4491	PRJNA50445	SAMN02470763
Halalkalicoccus jeotgali B3		strain: B3	795797	ASM19689v1	GCA_000196895.1	GenBank	Annotation submitted by Kyung Hee University	Complete Genome	2809118	3698650	2010-06-23	3922	PRJNA49517	SAMN02603490
Halorhabdus tiamatea SARL4B		strain: SARL4B	1033806	HLRTI_V2	GCA_000215915.3	GenBank	Annotation submitted by King Abdullah University of Science and Technology (KAUS)	Contig	58136	3146564	2013-09-12	3325	PRJNA66979	SAMN02472187
Halopiger xanaduensis SH-6		strain: SH-6	797210	ASM21771v1	GCA_000217715.1	GenBank	Annotation submitted by US DOE Joint Genome Institute	Complete Genome	3668009	4355268	2011-06-09	4370	PRJNA56049	SAMN02232028
Haloarcula hispanica ATCC 33960		strain: CGMCC 1.2049	634497	ASM22390v1	GCA_000223905.1	GenBank	Annotation submitted by  Institute of Microbiology, Chinese Academy of Sciences	Complete Genome	2995271	3890005	2011-08-17	3924	PRJNA68523	SAMN02602960
halophilic archaeon DL31		strain: DL31	756883	ASM22447v1	GCA_000224475.1	GenBank	Annotation submitted by DOE Joint Genome Institute	Complete Genome	2913689	3643158	2011-08-26	3788	PRJNA52855	SAMN02232027
Halobiforma lacisalsi AJ5		strain: AJ5	358396	ASM22697v3	GCA_000226975.3	GenBank	NCBI Prokaryotic Genome Annotation Pipeline	Complete Genome	4161587	4381543	2017-01-23	4247	PRJNA16192	SAMN02470038
Natronobacterium gregoryi SP2		strain: SP2	797304	ASM23071v3	GCA_000230715.3	GenBank	Annotation submitted by DOE Joint Genome Institute	Complete Genome	3788356	3788356	2012-12-10	3835	PRJNA60135	SAMN02232042
Natrinema pellirubrum DSM 15624		strain: DSM 15624	797303	ASM23073v3	GCA_000230735.3	GenBank	Annotation submitted by JGI	Complete Genome	3790479	4354100	2012-12-27	4461	PRJNA52951	SAMN02261373
Halobacterium sp. DL1		strain: DL1	751944	ASM23095v3	GCA_000230955.3	GenBank	Annotation submitted by JGI	Complete Genome	2846968	3162560	2014-01-13	3345	PRJNA59739	SAMN02261380
Haloquadratum walsbyi C23		strain: DSM 16854 = C23	768065	ASM23786v1	GCA_000237865.1	GenBank	Annotation submitted by Max-Planck-Institute of Biochemistry	Complete Genome	3148033	3260476	2011-05-31	3592	PRJEA49335	SAMEA2272799
Halococcus hamelinensis 100A6		strain: 100A6	1132509	ASM25921v1	GCA_000259215.1	GenBank		Contig	18000	3383679	2012-04-18		PRJNA80845	SAMN02470884
Natrinema sp. J7-2		strain: J7-2	406552	ASM28169v1	GCA_000281695.1	GenBank	Annotation submitted by Nankai University	Complete Genome	3697626	3793615	2012-07-25	4360	PRJNA89473	SAMN02603638
Halogranum salarium B-1		strain: B-1	1210908	162.HSB1.1	GCA_000283335.1	GenBank	Annotation submitted by Korea Research Institute of Bioscience and Biotechnology	Contig	588306	4492306	2012-08-03	4890	PRJNA170600	SAMN02470186
Halorubrum sp. T3		strain: T3	1194088	ASM29661v1	GCA_000296615.1	GenBank		Scaffold	707005	3168011	2012-09-17		PRJNA170959	SAMN02470121
Haloferax mediterranei ATCC 33500		strain: CGMCC 1.2087	523841	ASM30676v2	GCA_000306765.2	GenBank	Annotation submitted by Institute of Microbiology, Chinese Academy of Sciences	Complete Genome	2948884	3904707	2014-05-27	3934	PRJNA43185	SAMN02603397
Haloferax sp. BAB-2207		strain: BAB-2207	1296625	Haloferax sp. BAB2207 V.1	GCA_000328285.1	GenBank	Annotation submitted by Gujarat Genomics Initiative	Contig	7193	3744707	2012-12-21	4134	PRJNA177651	SAMN02469860
Halovivax ruber XH-70		strain: XH-70	797302	ASM32852v1	GCA_000328525.1	GenBank	Annotation submitted by DOE Joint Genome Institute	Complete Genome	3223876	3223876	2012-12-27	3187	PRJNA59897	SAMN02232030
Natronococcus occultus SP4		strain: SP4	694430	ASM32868v1	GCA_000328685.1	GenBank	Annotation submitted by JGI	Complete Genome	4013216	4314118	2012-12-28	4371	PRJNA46985	SAMN02261263
Halococcus agarilyticus		strain: 197A	1232219	ASM33489v1	GCA_000334895.1	GenBank		Contig	147353	3476728	2013-01-29		PRJDB105	SAMD00011631
Haloarcula amylolytica JCM 13557		strain: JCM 13557	1227452	ASM33661v1	GCA_000336615.1	GenBank	Annotation submitted by University of California, Davis	Contig	242125	4225424	2013-02-04	4230	PRJNA174891	SAMN02471637
Haloarcula japonica DSM 6131		strain: DSM 6131	1227453	ASM33663v1	GCA_000336635.1	GenBank	Annotation submitted by University of California, Davis	Contig	324922	4280359	2013-02-04	4288	PRJNA174893	SAMN02471638
Halobiforma lacisalsi AJ5		strain: AJ5	358396	ASM33665v1	GCA_000336655.1	GenBank	Annotation submitted by University of California, Davis	Contig	152980	4338576	2013-02-04	4199	PRJNA174894	SAMN02471659
Halococcus hamelinensis 100A6		strain: 100A6	1132509	ASM33667v1	GCA_000336675.1	GenBank	Annotation submitted by University of California, Davis	Contig	135803	3419074	2013-02-04	3446	PRJNA174896	SAMN02471661
Halococcus morrhuae DSM 1307		strain: DSM 1307	931277	ASM33669v1	GCA_000336695.1	GenBank	Annotation submitted by University of California, Davis	Contig	70502	2991556	2013-02-04	3079	PRJNA174897	SAMN02471675
Halococcus thailandensis JCM 13552		strain: JCM 13552	1227457	ASM33671v1	GCA_000336715.1	GenBank	Annotation submitted by University of California, Davis	Contig	62289	4052434	2013-02-04	4093	PRJNA174900	SAMN02471640
Haloferax alexandrinus JCM 10717		strain: JCM 10717	1227458	ASM33673v1	GCA_000336735.1	GenBank	Annotation submitted by University of California, Davis	Contig	291695	3649262	2013-02-04	3684	PRJNA174901	SAMN02471657
Haloferax elongans ATCC BAA-1513		strain: ATCC BAA-1513	1230453	ASM33675v1	GCA_000336755.1	GenBank	Annotation submitted by University of California, Davis	Contig	341465	3952136	2013-02-04	3903	PRJNA174902	SAMN02471641
Haloferax gibbonsii ATCC 33959		strain: ATCC 33959	1227459	ASM33677v1	GCA_000336775.1	GenBank	Annotation submitted by University of California, Davis	Contig	232176	4057322	2013-02-04	4003	PRJNA174903	SAMN02471685
Haloferax lucentense DSM 14919		strain: DSM 14919	1230452	ASM33679v1	GCA_000336795.1	GenBank	Annotation submitted by University of California, Davis	Contig	221857	3619064	2013-02-04	3689	PRJNA174905	SAMN02471684
Haloferax prahovense DSM 18310		strain: DSM 18310	1227461	ASM33681v1	GCA_000336815.1	GenBank	Annotation submitted by University of California, Davis	Contig	256889	3998799	2013-02-04	3967	PRJNA174906	SAMN02471666
