organism_acc,ORF10,ORF17,ORF21,ORF23,ORF24,ORF6,ORF8,hits
AOID01000019,1,1,1,1,1,1,1,7
AOIO01000049,1,1,1,1,1,1,1,7
AOIP01000022,1,1,1,1,1,1,1,7
AOJE01000051,1,1,1,1,1,1,1,7
CP019329,1,1,1,1,1,1,1,7
CP084476,1,1,1,1,1,1,1,7
CP095494,1,1,1,1,1,1,1,7
CP099999,1,1,1,1,1,1,1,7
CP101158,1,1,1,1,1,1,1,7
CP119801,1,1,1,1,1,1,1,7
FNFE01000011,1,1,1,1,1,1,1,7
JDTG01000019,1,1,1,1,1,1,1,7
KX687704,1,1,1,1,1,1,1,7
LOAJ01000002,1,1,1,1,1,1,1,7
NC_013748,1,1,1,1,1,1,1,7
NC_015659,1,1,1,1,1,1,1,7
BBJN01000020,1,1,1,1,1,1,0,6
CP019286,0,1,1,1,1,1,1,6
CP100004,1,1,1,1,1,1,0,6
CP101161,1,1,1,1,1,1,0,6
JAAOHU010000009,1,1,1,1,1,0,1,6
JAJCVI010000002,1,1,1,1,1,1,0,6
LWLN01000003,1,1,1,1,1,1,0,6
RJJW01000001,1,1,1,1,1,1,0,6
SJER01000008,1,1,1,1,1,1,0,6
SRIF01000015,1,1,1,1,1,1,0,6
AOIR01000042,0,1,1,1,1,1,0,5
AOJE01000025,0,1,1,1,1,1,0,5
JAJCVI010000007,1,1,1,1,1,0,0,5
WSZK01000033,0,1,1,1,1,1,0,5
JAANTI010000009,1,1,1,1,0,0,0,4
QKNW01000002,0,0,1,1,1,1,0,4
AOMA01000019,1,0,0,0,0,1,1,3
BMCI01000011,0,1,1,0,1,0,0,3
CP019330,1,0,0,0,0,1,1,3
CP031299,1,0,0,0,1,1,0,3
CP040639,1,0,0,0,0,1,1,3
CP058334,0,0,1,1,1,0,0,3
CP100355,1,0,0,0,0,1,1,3
JABUQZ010000003,1,0,0,0,0,1,1,3
JAJNEG010000028,0,1,0,1,1,0,0,3
JAKRVX010000010,1,0,0,0,0,1,1,3
AOLZ01000012,0,1,0,0,0,1,0,2
BMCI01000010,1,0,0,0,0,1,0,2
CP025066,1,0,0,0,0,0,1,2
CP026314,1,0,0,0,0,1,0,2
CP058909,1,0,0,0,0,1,0,2
FNFC01000002,1,0,0,0,0,1,0,2
FOIS01000007,1,0,0,0,0,1,0,2
FOXI01000018,0,0,0,1,1,0,0,2
JAJNEG010000027,1,0,0,0,0,0,1,2
KX906370,0,0,1,0,0,1,0,2
PSYY01000019,0,1,1,0,0,0,0,2
QPLN01000011,1,0,0,0,0,1,0,2
WOWA01000007,1,0,0,0,0,1,0,2
WPCC01000021,1,0,0,0,0,1,0,2
