V1,annot,order,cluster,cluster_annot
SJER01000008.1_127,ORF6.faa,2,--- Cluster 0,ORF6.faa
JAJCVI010000007.1_13,ORF6.faa,3,--- Cluster 0,ORF6.faa
CP031299.1_6,ORF6.faa,4,--- Cluster 0,ORF6.faa
FOXI01000018.1_55,ORF6.faa,5,--- Cluster 0,ORF6.faa
LOAJ01000002.1_61,ORF6.faa,7,--- Cluster 1,ORF6.faa
QKNW01000002.1_41,ORF6.faa,8,--- Cluster 1,ORF6.faa
Gairdner_NODE_167_length_41210_cov_9.888325_32,ORF6.faa,9,--- Cluster 1,ORF6.faa
BBJN01000020.1_32,ORF6.faa,10,--- Cluster 1,ORF6.faa
JAJCVI010000002.1_557,ORF6.faa,11,--- Cluster 1,ORF6.faa
KX687704.1_7,ORF6.faa,12,--- Cluster 1,ORF6.faa
KX906370.1_88,ORF6.faa,13,--- Cluster 1,ORF6.faa
CP100004.1_3,ORF6.faa,14,--- Cluster 1,ORF6.faa
CP101161.1_3055,ORF6.faa,15,--- Cluster 1,ORF6.faa
JDTG01000019.1_67,ORF6.faa,16,--- Cluster 1,ORF6.faa
AOJE01000051.1_50,ORF6.faa,17,--- Cluster 1,ORF6.faa
JAAOHU010000009.1_4,ORF6.faa,18,--- Cluster 1,ORF6.faa
CP101158.1_74,ORF6.faa,19,--- Cluster 1,ORF6.faa
JDTG01000019.1_81,ORF6.faa,20,--- Cluster 1,ORF6.faa
AOLZ01000012.1_19,ORF6.faa,21,--- Cluster 1,ORF6.faa
CP019286.1_50,ORF6.faa,22,--- Cluster 1,ORF6.faa
AOIP01000022.1_21,ORF6.faa,23,--- Cluster 1,ORF6.faa
SRIF01000015.1_79,ORF6.faa,24,--- Cluster 1,ORF6.faa
AOIR01000042.1_43,ORF6.faa,25,--- Cluster 1,ORF6.faa
CP099999.1_41,ORF6.faa,26,--- Cluster 1,ORF6.faa
CP095494.1_33,ORF6.faa,27,--- Cluster 1,ORF6.faa
LWLN01000003.1_13,ORF6.faa,28,--- Cluster 1,ORF6.faa
CP019329.1_80,ORF6.faa,29,--- Cluster 1,ORF6.faa
NC_013748.1_9,ORF6.faa,30,--- Cluster 1,ORF6.faa
NC_015659.1_102,ORF6.faa,31,--- Cluster 1,ORF6.faa
