	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	heme_regulatory_motif_count
Gairdner_NODE_107_length_49922_cov_74.384603_Gairdner_NODE_107_length_49922_cov_74.384603_1	Gairdner_NODE_107_length_49922_cov_74.384603	Gairdner_NODE_107_length_49922_cov_74.384603	1	108	659	-1	E											0
Gairdner_NODE_107_length_49922_cov_74.384603_Gairdner_NODE_107_length_49922_cov_74.384603_2	Gairdner_NODE_107_length_49922_cov_74.384603	Gairdner_NODE_107_length_49922_cov_74.384603	2	1030	1275	1	E											0
Gairdner_NODE_107_length_49922_cov_74.384603_Gairdner_NODE_107_length_49922_cov_74.384603_3	Gairdner_NODE_107_length_49922_cov_74.384603	Gairdner_NODE_107_length_49922_cov_74.384603	3	1257	1505	-1	D										FaeA-like protein [PF04703.15]	0
Gairdner_NODE_107_length_49922_cov_74.384603_Gairdner_NODE_107_length_49922_cov_74.384603_4	Gairdner_NODE_107_length_49922_cov_74.384603	Gairdner_NODE_107_length_49922_cov_74.384603	4	1645	1932	1	E											0
Gairdner_NODE_107_length_49922_cov_74.384603_Gairdner_NODE_107_length_49922_cov_74.384603_5	Gairdner_NODE_107_length_49922_cov_74.384603	Gairdner_NODE_107_length_49922_cov_74.384603	5	2043	2279	1	E											0
Gairdner_NODE_107_length_49922_cov_74.384603_Gairdner_NODE_107_length_49922_cov_74.384603_6	Gairdner_NODE_107_length_49922_cov_74.384603	Gairdner_NODE_107_length_49922_cov_74.384603	6	2422	3027	1	E											0
Gairdner_NODE_107_length_49922_cov_74.384603_Gairdner_NODE_107_length_49922_cov_74.384603_7	Gairdner_NODE_107_length_49922_cov_74.384603	Gairdner_NODE_107_length_49922_cov_74.384603	7	3047	3319	-1	E											0
Gairdner_NODE_107_length_49922_cov_74.384603_Gairdner_NODE_107_length_49922_cov_74.384603_8	Gairdner_NODE_107_length_49922_cov_74.384603	Gairdner_NODE_107_length_49922_cov_74.384603	8	3593	4456	-1	E											0
Gairdner_NODE_107_length_49922_cov_74.384603_Gairdner_NODE_107_length_49922_cov_74.384603_9	Gairdner_NODE_107_length_49922_cov_74.384603	Gairdner_NODE_107_length_49922_cov_74.384603	9	4479	5072	-1	C	K23255	archaeal type IV pilus assembly protein PilA								Archaeal Type IV pilin, N-terminal [PF07790.14]	0
Gairdner_NODE_107_length_49922_cov_74.384603_Gairdner_NODE_107_length_49922_cov_74.384603_10	Gairdner_NODE_107_length_49922_cov_74.384603	Gairdner_NODE_107_length_49922_cov_74.384603	10	5088	5531	-1	C	K23255	archaeal type IV pilus assembly protein PilA								Archaeal Type IV pilin, N-terminal [PF07790.14]	0
