	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	heme_regulatory_motif_count
JAJCVI010000002.1_JAJCVI010000002.1_1	JAJCVI010000002.1	JAJCVI010000002.1	1	2	730	-1	C	K07496	putative transposase								Probable transposase [PF01385.22]					0
JAJCVI010000002.1_JAJCVI010000002.1_2	JAJCVI010000002.1	JAJCVI010000002.1	2	888	1334	-1	E															0
JAJCVI010000002.1_JAJCVI010000002.1_3	JAJCVI010000002.1	JAJCVI010000002.1	3	1420	1923	-1	D										Hsp20/alpha crystallin family [PF00011.24]					0
JAJCVI010000002.1_JAJCVI010000002.1_4	JAJCVI010000002.1	JAJCVI010000002.1	4	1920	2078	-1	E															0
JAJCVI010000002.1_JAJCVI010000002.1_5	JAJCVI010000002.1	JAJCVI010000002.1	5	2248	4029	1	D										Radical SAM superfamily [PF04055.24]					0
JAJCVI010000002.1_JAJCVI010000002.1_6	JAJCVI010000002.1	JAJCVI010000002.1	6	4174	4569	1	D										TRAM domain [PF01938.23]					0
JAJCVI010000002.1_JAJCVI010000002.1_7	JAJCVI010000002.1	JAJCVI010000002.1	7	4637	5500	1	C	K03709	DtxR family transcriptional regulator, Mn-dependent transcriptional regulator								Iron dependent repressor, N-terminal DNA binding domain [PF01325.22]; Iron dependent repressor, metal binding and dimerisation domain [PF02742.18]; FeoA domain [PF04023.17]					0
JAJCVI010000002.1_JAJCVI010000002.1_8	JAJCVI010000002.1	JAJCVI010000002.1	8	5497	6288	1	C	K23541	Ca2+/H+ antiporter, TMEM165/GDT1 family								Uncharacterized protein family UPF0016 [PF01169.22]					0
JAJCVI010000002.1_JAJCVI010000002.1_9	JAJCVI010000002.1	JAJCVI010000002.1	9	6370	7119	1	D										LysE type translocator [PF01810.21]					0
JAJCVI010000002.1_JAJCVI010000002.1_10	JAJCVI010000002.1	JAJCVI010000002.1	10	7188	7886	-1	C	K06950	uncharacterized protein								HD domain [PF01966.25]					0
JAJCVI010000002.1_JAJCVI010000002.1_11	JAJCVI010000002.1	JAJCVI010000002.1	11	8015	8806	1	D										tRNA synthetases class II (A) [PF01411.22]					0
JAJCVI010000002.1_JAJCVI010000002.1_12	JAJCVI010000002.1	JAJCVI010000002.1	12	8897	9973	1	D										Protein of unknown function (DUF3179) [PF11376.11]					0
JAJCVI010000002.1_JAJCVI010000002.1_13	JAJCVI010000002.1	JAJCVI010000002.1	13	10098	10277	-1	D										Family of unknown function (DUF5786) [PF19099.3]					0
JAJCVI010000002.1_JAJCVI010000002.1_14	JAJCVI010000002.1	JAJCVI010000002.1	14	10425	10922	1	E															0
