	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	heme_regulatory_motif_count
LOAJ01000002.1_LOAJ01000002.1_1	LOAJ01000002.1	LOAJ01000002.1	1	91	708	-1	D										Sodium Bile acid symporter family [PF01758.19]	0
LOAJ01000002.1_LOAJ01000002.1_2	LOAJ01000002.1	LOAJ01000002.1	2	909	2210	-1	D										Glutamate/Leucine/Phenylalanine/Valine dehydrogenase [PF00208.24]; Glu/Leu/Phe/Val dehydrogenase, dimerisation domain [PF02812.21]	0
LOAJ01000002.1_LOAJ01000002.1_3	LOAJ01000002.1	LOAJ01000002.1	3	2213	2356	-1	E											0
LOAJ01000002.1_LOAJ01000002.1_4	LOAJ01000002.1	LOAJ01000002.1	4	2470	5349	-1	C	K06930	HTH-type transcriptional regulator, bacterioopsin transcriptional activator and related proteins								GAF and HTH_10 associated domain [PF15915.8]; HTH DNA binding domain [PF04967.15]; GAF domain [PF13185.9]; Response regulator receiver domain [PF00072.27]; PAS fold [PF08448.13]; PAS domain [PF13426.10]; GAF domain [PF13492.9]	0
LOAJ01000002.1_LOAJ01000002.1_5	LOAJ01000002.1	LOAJ01000002.1	5	5608	6843	1	E											0
LOAJ01000002.1_LOAJ01000002.1_6	LOAJ01000002.1	LOAJ01000002.1	6	7030	8040	-1	D										Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase [PF02518.29]; PAS domain [PF14598.9]; PAS fold [PF08447.15]; PAS domain [PF13426.10]; PAS fold [PF08448.13]; His Kinase A (phospho-acceptor) domain [PF00512.28]; PAS fold [PF00989.28]	0
LOAJ01000002.1_LOAJ01000002.1_7	LOAJ01000002.1	LOAJ01000002.1	7	8338	9036	1	D										Rad51 [PF08423.14]	0
LOAJ01000002.1_LOAJ01000002.1_8	LOAJ01000002.1	LOAJ01000002.1	8	9036	9311	1	E											0
LOAJ01000002.1_LOAJ01000002.1_9	LOAJ01000002.1	LOAJ01000002.1	9	9367	9759	-1	E											0
LOAJ01000002.1_LOAJ01000002.1_10	LOAJ01000002.1	LOAJ01000002.1	10	9821	10069	1	E											0
