gene_id	gene_length	DB	annotation	hit_start	hit_end	evalue	contig	orf
AOIR01000042.1_25	271	SUPERFAMILY	NAD(P)-binding Rossmann-fold domains	29	269	1.17e-86	AOIR01000042.1	25
AOIR01000042.1_25	271	Pfam	Enoyl-(Acyl carrier protein) reductase	36	269	4.3e-66	AOIR01000042.1	25
AOIR01000042.1_25	271	FunFam	3-oxoacyl-[acyl-carrier protein] reductase	25	271	1.4e-82	AOIR01000042.1	25
AOIR01000042.1_25	271	SMART	This enzymatic domain is part of bacterial polyketide synthases and catalyses the first step in the reductive modification of the beta-carbonyl centres in the growing polyketide chain. It uses NADPH to reduce the keto group to a hydroxy group.	30	214	2.1e-06	AOIR01000042.1	25
AOIR01000042.1_25	271	PANTHER	3-OXOACYL-(ACYL-CARRIER-PROTEIN) REDUCTASE	27	270	2.4e-84	AOIR01000042.1	25
AOIR01000042.1_25	271	PRINTS	Glucose/ribitol dehydrogenase family signature	233	253	1.6e-41	AOIR01000042.1	25
AOIR01000042.1_25	271	PRINTS	Glucose/ribitol dehydrogenase family signature	153	169	1.6e-41	AOIR01000042.1	25
AOIR01000042.1_25	271	PRINTS	Glucose/ribitol dehydrogenase family signature	106	117	1.6e-41	AOIR01000042.1	25
AOIR01000042.1_25	271	PRINTS	Glucose/ribitol dehydrogenase family signature	179	198	1.6e-41	AOIR01000042.1	25
AOIR01000042.1_25	271	PRINTS	Glucose/ribitol dehydrogenase family signature	200	217	1.6e-41	AOIR01000042.1	25
AOIR01000042.1_25	271	PRINTS	Glucose/ribitol dehydrogenase family signature	31	48	1.6e-41	AOIR01000042.1	25
AOIR01000042.1_25	271	PRINTS	Short-chain dehydrogenase/reductase (SDR) superfamily signature	106	117	1e-14	AOIR01000042.1	25
AOIR01000042.1_25	271	PRINTS	Short-chain dehydrogenase/reductase (SDR) superfamily signature	179	198	1e-14	AOIR01000042.1	25
AOIR01000042.1_25	271	PRINTS	Short-chain dehydrogenase/reductase (SDR) superfamily signature	159	167	1e-14	AOIR01000042.1	25
AOIR01000042.1_25	271	CDD	BKR_SDR_c	30	269	2.63029e-121	AOIR01000042.1	25
AOIR01000042.1_97	695	PANTHER	UVRD / RECB / PCRA DNA HELICASE FAMILY MEMBER	41	350	1e-14	AOIR01000042.1	97
AOIR01000042.1_97	695	Pfam	AAA domain	38	298	1.3e-10	AOIR01000042.1	97
AOIR01000042.1_97	695	SUPERFAMILY	P-loop containing nucleoside triphosphate hydrolases	40	657	1.71e-34	AOIR01000042.1	97
AOIR01000042.1_8	223	PANTHER	PERMEASE COMPONENT OF TUNGSTATE ABC TRANSPORTER	12	223	5e-59	AOIR01000042.1	8
AOIR01000042.1_8	223	Pfam	Binding-protein-dependent transport system inner membrane component	35	217	3.2e-13	AOIR01000042.1	8
AOIR01000042.1_8	223	NCBIfam	ABC transporter permease	19	207	1.5e-64	AOIR01000042.1	8
AOIR01000042.1_8	223	CDD	TM_PBP2	16	177	6.74317e-13	AOIR01000042.1	8
AOIR01000042.1_8	223	SUPERFAMILY	MetI-like	6	220	3.27e-35	AOIR01000042.1	8
AOIR01000042.1_33	777	Pfam	AAA lid domain	270	339	2.8e-21	AOIR01000042.1	33
AOIR01000042.1_33	777	Pfam	Magnesium chelatase, subunit ChlI	125	193	1e-08	AOIR01000042.1	33
AOIR01000042.1_33	777	SUPERFAMILY	vWA-like	597	758	2.08e-23	AOIR01000042.1	33
AOIR01000042.1_33	777	Pfam	von Willebrand factor type A domain	601	701	4.3e-12	AOIR01000042.1	33
AOIR01000042.1_33	777	SUPERFAMILY	P-loop containing nucleoside triphosphate hydrolases	13	337	5.2e-54	AOIR01000042.1	33
AOIR01000042.1_33	777	SMART	VWA_4	598	765	1e-17	AOIR01000042.1	33
AOIR01000042.1_33	777	PANTHER	MAGNESIUM-CHELATASE SUBUNIT CHLI	10	419	1.9e-113	AOIR01000042.1	33
AOIR01000042.1_33	777	Gene3D	von Willebrand factor, type A domain	593	771	6e-21	AOIR01000042.1	33
AOIR01000042.1_14	427	SUPERFAMILY	Quinoprotein alcohol dehydrogenase-like	45	368	8.63e-19	AOIR01000042.1	14
AOIR01000042.1_16	410	Gene3D	Glutaredoxin	318	409	4.7e-25	AOIR01000042.1	16
AOIR01000042.1_16	410	PANTHER	SIROHYDROCHLORIN FERROCHELATASE, CHLOROPLASTIC	17	266	3.7e-41	AOIR01000042.1	16
AOIR01000042.1_16	410	Pfam	CbiX	152	255	3.5e-18	AOIR01000042.1	16
AOIR01000042.1_16	410	Pfam	CbiX	25	126	9.6e-21	AOIR01000042.1	16
AOIR01000042.1_16	410	CDD	CbiX_SirB_N	19	116	1.32665e-24	AOIR01000042.1	16
AOIR01000042.1_16	410	Pfam	Thioredoxin-like [2Fe-2S] ferredoxin	318	393	2.5e-07	AOIR01000042.1	16
AOIR01000042.1_16	410	CDD	TRX_Fd_family	320	395	2.41166e-23	AOIR01000042.1	16
AOIR01000042.1_16	410	CDD	CbiX_SirB_C	145	262	1.21526e-42	AOIR01000042.1	16
AOIR01000042.1_16	410	SUPERFAMILY	Chelatase	19	261	1.64e-39	AOIR01000042.1	16
AOIR01000042.1_16	410	SUPERFAMILY	Thioredoxin-like	319	406	1.05e-23	AOIR01000042.1	16
AOIR01000042.1_29	73	SUPERFAMILY	Rubredoxin-like	33	70	7.85e-06	AOIR01000042.1	29
AOIR01000042.1_26	453	NCBIfam	hydrogenobyrinic acid a,c-diamide synthase (glutamine-hydrolyzing)	5	438	4.6e-98	AOIR01000042.1	26
AOIR01000042.1_26	453	PANTHER	COBYRINATE A,C-DIAMIDE SYNTHASE	1	447	2e-115	AOIR01000042.1	26
AOIR01000042.1_26	453	Pfam	CobQ/CobB/MinD/ParA nucleotide binding domain	9	200	3.6e-11	AOIR01000042.1	26
AOIR01000042.1_26	453	Pfam	CobB/CobQ-like glutamine amidotransferase domain	250	439	1e-31	AOIR01000042.1	26
AOIR01000042.1_26	453	SUPERFAMILY	Class I glutamine amidotransferase-like	250	439	7.4e-28	AOIR01000042.1	26
AOIR01000042.1_26	453	SUPERFAMILY	P-loop containing nucleoside triphosphate hydrolases	1	204	6.76e-29	AOIR01000042.1	26
AOIR01000042.1_26	453	CDD	GATase1_CobB	251	445	3.79097e-75	AOIR01000042.1	26
AOIR01000042.1_19	346	NCBIfam	precorrin-3B C(17)-methyltransferase	94	341	6e-92	AOIR01000042.1	19
AOIR01000042.1_19	346	CDD	Precorrin_3B_C17_MT	94	340	1.62013e-119	AOIR01000042.1	19
AOIR01000042.1_19	346	SUPERFAMILY	Tetrapyrrole methylase	89	344	1.31e-53	AOIR01000042.1	19
