	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	heme_regulatory_motif_count
AOLZ01000012.1_AOLZ01000012.1_1	AOLZ01000012.1	AOLZ01000012.1	1	2	406	-1	E											0
AOLZ01000012.1_AOLZ01000012.1_2	AOLZ01000012.1	AOLZ01000012.1	2	643	903	-1	E											0
AOLZ01000012.1_AOLZ01000012.1_3	AOLZ01000012.1	AOLZ01000012.1	3	1077	1445	-1	E											0
AOLZ01000012.1_AOLZ01000012.1_4	AOLZ01000012.1	AOLZ01000012.1	4	1447	1653	1	E											0
AOLZ01000012.1_AOLZ01000012.1_5	AOLZ01000012.1	AOLZ01000012.1	5	1748	2764	1	D										Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase [PF02518.29]; PAS fold [PF08448.13]; PAS domain [PF13426.10]; PAS fold [PF00989.28]; PAS fold [PF08447.15]; PAS fold [PF12860.10]	0
AOLZ01000012.1_AOLZ01000012.1_6	AOLZ01000012.1	AOLZ01000012.1	6	3212	3769	1	C	K16937	thiosulfate dehydrogenase (quinone) large subunit [EC:1.8.5.2]								TQO small subunit DoxD [PF04173.16]	0
AOLZ01000012.1_AOLZ01000012.1_7	AOLZ01000012.1	AOLZ01000012.1	7	3992	4555	-1	E											0
AOLZ01000012.1_AOLZ01000012.1_8	AOLZ01000012.1	AOLZ01000012.1	8	4640	5812	-1	C	K07496	putative transposase								Putative transposase DNA-binding domain [PF07282.14]	0
AOLZ01000012.1_AOLZ01000012.1_9	AOLZ01000012.1	AOLZ01000012.1	9	5815	6204	-1	C	K07491	REP-associated tyrosine transposase								Transposase IS200 like [PF01797.19]	0
AOLZ01000012.1_AOLZ01000012.1_10	AOLZ01000012.1	AOLZ01000012.1	10	6348	7514	-1	D										Phage integrase family [PF00589.25]	0
AOLZ01000012.1_AOLZ01000012.1_11	AOLZ01000012.1	AOLZ01000012.1	11	7863	8897	-1	D										AAA domain [PF13401.9]; AAA ATPase domain [PF13191.9]; Bacterial dnaA  protein [PF00308.21]; NB-ARC domain [PF00931.25]	0
AOLZ01000012.1_AOLZ01000012.1_12	AOLZ01000012.1	AOLZ01000012.1	12	9350	9643	1	D										Transcriptional regulator PadR-like family [PF03551.17]	0
AOLZ01000012.1_AOLZ01000012.1_13	AOLZ01000012.1	AOLZ01000012.1	13	10377	11435	-1	C	K07496	putative transposase								Putative transposase DNA-binding domain [PF07282.14]	0
AOLZ01000012.1_AOLZ01000012.1_14	AOLZ01000012.1	AOLZ01000012.1	14	11467	11673	-1	E											0
AOLZ01000012.1_AOLZ01000012.1_15	AOLZ01000012.1	AOLZ01000012.1	15	11957	12154	-1	E											0
AOLZ01000012.1_AOLZ01000012.1_16	AOLZ01000012.1	AOLZ01000012.1	16	12460	13122	1	E											0
AOLZ01000012.1_AOLZ01000012.1_17	AOLZ01000012.1	AOLZ01000012.1	17	13280	15133	1	D										FG-GAP-like repeat [PF13517.9]	0
AOLZ01000012.1_AOLZ01000012.1_18	AOLZ01000012.1	AOLZ01000012.1	18	15136	15738	1	E											0
AOLZ01000012.1_AOLZ01000012.1_19	AOLZ01000012.1	AOLZ01000012.1	19	15743	19432	1	D										PQQ-like domain [PF13360.9]; Lactonase, 7-bladed beta-propeller [PF10282.12]; Anaphase-promoting complex subunit 4 WD40 domain [PF12894.10]	0
AOLZ01000012.1_AOLZ01000012.1_20	AOLZ01000012.1	AOLZ01000012.1	20	19445	21022	1	D			MER0983772	S08A	MER0983772 - subfamily S8A unassigned peptidases (Halobiforma lacisalsi) [S08.UPA]#S08A#{peptidase unit: 172-458}~source M0LZ30~	True	0.936	565.0	2.5049999999999998e-177	Subtilase family [PF00082.25]	0
AOLZ01000012.1_AOLZ01000012.1_21	AOLZ01000012.1	AOLZ01000012.1	21	21028	21840	1	E											0
AOLZ01000012.1_AOLZ01000012.1_22	AOLZ01000012.1	AOLZ01000012.1	22	21958	23379	1	E											0
AOLZ01000012.1_AOLZ01000012.1_23	AOLZ01000012.1	AOLZ01000012.1	23	23572	24282	1	E											0
AOLZ01000012.1_AOLZ01000012.1_24	AOLZ01000012.1	AOLZ01000012.1	24	24287	24478	1	E											0
AOLZ01000012.1_AOLZ01000012.1_25	AOLZ01000012.1	AOLZ01000012.1	25	24538	24795	1	E											0
AOLZ01000012.1_AOLZ01000012.1_26	AOLZ01000012.1	AOLZ01000012.1	26	24798	25061	1	E											0
AOLZ01000012.1_AOLZ01000012.1_27	AOLZ01000012.1	AOLZ01000012.1	27	25064	26422	1	E											0
AOLZ01000012.1_AOLZ01000012.1_28	AOLZ01000012.1	AOLZ01000012.1	28	26419	26730	1	E											0
AOLZ01000012.1_AOLZ01000012.1_29	AOLZ01000012.1	AOLZ01000012.1	29	26727	27032	1	E											0
AOLZ01000012.1_AOLZ01000012.1_30	AOLZ01000012.1	AOLZ01000012.1	30	27079	27318	1	E											0
AOLZ01000012.1_AOLZ01000012.1_31	AOLZ01000012.1	AOLZ01000012.1	31	27315	27983	1	E											0
AOLZ01000012.1_AOLZ01000012.1_32	AOLZ01000012.1	AOLZ01000012.1	32	27980	28975	1	E											0
AOLZ01000012.1_AOLZ01000012.1_33	AOLZ01000012.1	AOLZ01000012.1	33	28990	30336	1	E											0
AOLZ01000012.1_AOLZ01000012.1_34	AOLZ01000012.1	AOLZ01000012.1	34	30340	32361	1	E											0
AOLZ01000012.1_AOLZ01000012.1_35	AOLZ01000012.1	AOLZ01000012.1	35	32367	34847	1	E											0
AOLZ01000012.1_AOLZ01000012.1_36	AOLZ01000012.1	AOLZ01000012.1	36	34850	35788	1	D										MCM OB domain [PF17207.6]	0
AOLZ01000012.1_AOLZ01000012.1_37	AOLZ01000012.1	AOLZ01000012.1	37	36175	36984	1	E											0
AOLZ01000012.1_AOLZ01000012.1_38	AOLZ01000012.1	AOLZ01000012.1	38	36981	37220	1	E											0
AOLZ01000012.1_AOLZ01000012.1_39	AOLZ01000012.1	AOLZ01000012.1	39	37224	37724	1	E											0
AOLZ01000012.1_AOLZ01000012.1_40	AOLZ01000012.1	AOLZ01000012.1	40	37721	37903	1	E											0
AOLZ01000012.1_AOLZ01000012.1_41	AOLZ01000012.1	AOLZ01000012.1	41	37906	38268	1	C	K08982	putative membrane protein								Helix-hairpin-helix motif [PF12826.10]	0
AOLZ01000012.1_AOLZ01000012.1_42	AOLZ01000012.1	AOLZ01000012.1	42	38277	39269	-1	D										HEAT repeats [PF13646.9]	0
AOLZ01000012.1_AOLZ01000012.1_43	AOLZ01000012.1	AOLZ01000012.1	43	39376	39561	1	E											0
AOLZ01000012.1_AOLZ01000012.1_44	AOLZ01000012.1	AOLZ01000012.1	44	39568	39717	-1	E											0
AOLZ01000012.1_AOLZ01000012.1_45	AOLZ01000012.1	AOLZ01000012.1	45	39714	39890	-1	E											0
AOLZ01000012.1_AOLZ01000012.1_46	AOLZ01000012.1	AOLZ01000012.1	46	39953	41095	-1	D										Phage integrase family [PF00589.25]	0
AOLZ01000012.1_AOLZ01000012.1_47	AOLZ01000012.1	AOLZ01000012.1	47	41581	41775	-1	E											0
AOLZ01000012.1_AOLZ01000012.1_48	AOLZ01000012.1	AOLZ01000012.1	48	41972	42217	-1	E											0
AOLZ01000012.1_AOLZ01000012.1_49	AOLZ01000012.1	AOLZ01000012.1	49	42315	42755	-1	E											0
AOLZ01000012.1_AOLZ01000012.1_50	AOLZ01000012.1	AOLZ01000012.1	50	42973	43116	1	E											0
AOLZ01000012.1_AOLZ01000012.1_51	AOLZ01000012.1	AOLZ01000012.1	51	43142	45016	1	D										ABC-2 family transporter protein [PF12679.10]	0
AOLZ01000012.1_AOLZ01000012.1_52	AOLZ01000012.1	AOLZ01000012.1	52	45013	45921	-1	C	K01990	ABC-2 type transport system ATP-binding protein								ABC transporter [PF00005.30]; Domain of unknown function (DUF4162) [PF13732.9]	0
AOLZ01000012.1_AOLZ01000012.1_53	AOLZ01000012.1	AOLZ01000012.1	53	46262	47602	1	E											0
AOLZ01000012.1_AOLZ01000012.1_54	AOLZ01000012.1	AOLZ01000012.1	54	47673	48035	-1	D										ABC-2 family transporter protein [PF12679.10]; ABC-2 family transporter protein [PF12730.10]	0
