orf#,start,end,strand,contig,id,annot,score,evalue,aln_length,interpro_annot,interpro_evalue,DRAM_kegg,DRAM_pdfam,nr_annotation,nr_bitscore
89,73573,76854,TRUE,AOIO01000049.1,AOIO01000049.1_89,ORF6.faa,1100.7,0,1166,"",,"","","",
21,12848,16498,TRUE,AOIP01000022.1,AOIP01000022.1_21,ORF6.faa,1340.9,0,1183,Quinoprotein alcohol dehydrogenase-like,1.65e-68,"","","",
37,36139,37464,TRUE,AOIR01000042.1,AOIR01000042.1_37,ORF6.faa,70.3,5.1e-22,254,CELL SURFACE PROTEIN,8e-45,"","",PQQ-binding-like beta-propeller repeat protein [Natrinema thermotolerans],761
43,41965,45603,TRUE,AOIR01000042.1,AOIR01000042.1_43,ORF6.faa,846.7,2.3e-256,1172,Quinoprotein alcohol dehydrogenase-like,3.14e-15,"","",S8 family serine peptidase [Halobaculum magnesiiphilum],196
27,25073,28525,TRUE,AOJE01000025.1,AOJE01000025.1_27,ORF6.faa,726.5,3e-220,712,Quinoprotein alcohol dehydrogenase-like,2.12e-10,"","","",
50,40298,44122,FALSE,AOJE01000051.1,AOJE01000051.1_50,ORF6.faa,956.5,8e-290,1228,"",,"","",COPI-like protein [Halorubrum lacusprofundi],1578
19,15743,19432,TRUE,AOLZ01000012.1,AOLZ01000012.1_19,ORF6.faa,1247.8,0,1177,Quinoprotein alcohol dehydrogenase-like,7.06e-55,"","","",
32,23437,27639,TRUE,BBJN01000020.1,BBJN01000020.1_32,ORF6.faa,998.2,4.5e-302,1225,Fibronectin type III,1.91e-10,"","",fibronectin type III domain-containing protein [Halolamina rubra],2659
50,46771,50460,FALSE,CP019286.1,CP019286.1_50,ORF6.faa,1247.8,0,1177,Quinoprotein alcohol dehydrogenase-like,7.06e-55,"","","",
80,79722,83168,FALSE,CP019329.1,CP019329.1_80,ORF6.faa,1144,0,1176,"",,"","","",
4,1530,2291,TRUE,CP031299.1,CP031299.1_4,ORF6.faa,102.5,1.2e-31,260,Quinoprotein alcohol dehydrogenase-like,5.49e-41,"","","",
6,3167,4096,TRUE,CP031299.1,CP031299.1_6,ORF6.faa,324.2,1.5e-98,244,"",,"","","",
7,4428,4880,TRUE,CP031299.1,CP031299.1_7,ORF6.faa,133.9,4.1e-41,121,"",,"","","",
77,45779,48448,FALSE,CP084476.1,CP084476.1_77,ORF6.faa,1101.5,0,844,"",,"","","",
33,30694,34293,TRUE,CP095494.1,CP095494.1_33,ORF6.faa,1373.1,0,1179,YVTN repeat-like/Quinoprotein amine dehydrogenase,4.39e-36,"","","",
34,34303,37557,TRUE,CP095494.1,CP095494.1_34,ORF6.faa,1203.7,0,115,"",,"","",PQQ-binding-like beta-propeller repeat protein [Halosolutus gelatinilyticus],1164
41,24260,27889,FALSE,CP099999.1,CP099999.1_41,ORF6.faa,1034.7,0,1161,Quinoprotein alcohol dehydrogenase-like,1.14e-06,"","","",
3,1623,5567,TRUE,CP100004.1,CP100004.1_3,ORF6.faa,1166.6,0,1169,Quinoprotein alcohol dehydrogenase-like,3.34e-17,"","",carboxypeptidase regulatory-like domain-containing protein [Halorussus sp. XZYJT10],2562
74,49065,52772,TRUE,CP101158.1,CP101158.1_74,ORF6.faa,1055.7,0,1171,Quinoprotein alcohol dehydrogenase-like,1.18e-39,"","","",
