	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	heme_regulatory_motif_count
JAAOHU010000009.1_JAAOHU010000009.1_1	JAAOHU010000009.1	JAAOHU010000009.1	1	73	1050	-1	E											0
JAAOHU010000009.1_JAAOHU010000009.1_2	JAAOHU010000009.1	JAAOHU010000009.1	2	1130	1888	-1	E											0
JAAOHU010000009.1_JAAOHU010000009.1_3	JAAOHU010000009.1	JAAOHU010000009.1	3	1893	3440	-1	D			MER0983772	S08A	MER0983772 - subfamily S8A unassigned peptidases (Halobiforma lacisalsi) [S08.UPA]#S08A#{peptidase unit: 172-458}~source M0LZ30~	False	213.0	8.713000000000002e-57	0.417	Subtilase family [PF00082.25]	0
JAAOHU010000009.1_JAAOHU010000009.1_4	JAAOHU010000009.1	JAAOHU010000009.1	4	3437	7180	-1	D										PQQ-like domain [PF13360.9]; PQQ-like domain [PF13570.9]	0
JAAOHU010000009.1_JAAOHU010000009.1_5	JAAOHU010000009.1	JAAOHU010000009.1	5	7195	7689	-1	E											0
JAAOHU010000009.1_JAAOHU010000009.1_6	JAAOHU010000009.1	JAAOHU010000009.1	6	7709	8461	-1	E											0
JAAOHU010000009.1_JAAOHU010000009.1_7	JAAOHU010000009.1	JAAOHU010000009.1	7	8751	8939	1	E											0
JAAOHU010000009.1_JAAOHU010000009.1_8	JAAOHU010000009.1	JAAOHU010000009.1	8	9024	9347	-1	E											0
JAAOHU010000009.1_JAAOHU010000009.1_9	JAAOHU010000009.1	JAAOHU010000009.1	9	9344	9709	-1	E											0
JAAOHU010000009.1_JAAOHU010000009.1_10	JAAOHU010000009.1	JAAOHU010000009.1	10	9803	10045	1	E											0
JAAOHU010000009.1_JAAOHU010000009.1_11	JAAOHU010000009.1	JAAOHU010000009.1	11	10035	10262	1	E											0
JAAOHU010000009.1_JAAOHU010000009.1_12	JAAOHU010000009.1	JAAOHU010000009.1	12	10267	10566	-1	E											0
JAAOHU010000009.1_JAAOHU010000009.1_13	JAAOHU010000009.1	JAAOHU010000009.1	13	10712	11089	1	E											0
JAAOHU010000009.1_JAAOHU010000009.1_14	JAAOHU010000009.1	JAAOHU010000009.1	14	11186	11470	-1	E											0
JAAOHU010000009.1_JAAOHU010000009.1_15	JAAOHU010000009.1	JAAOHU010000009.1	15	11505	11855	-1	C	K07451	5-methylcytosine-specific restriction enzyme A [EC:3.1.21.-]								HNH endonuclease [PF01844.26]	1
JAAOHU010000009.1_JAAOHU010000009.1_16	JAAOHU010000009.1	JAAOHU010000009.1	16	11893	12186	-1	E											0
JAAOHU010000009.1_JAAOHU010000009.1_17	JAAOHU010000009.1	JAAOHU010000009.1	17	12445	12852	1	E											0
