contig,integrase_orf,integrase_annotation
AOID01000019.1,,""
AOIO01000049.1,"",""
AOIP01000022.1,45,phage integrase family--intergrase catalytic core
AOIR01000042.1,41,intergrase catalytic core
AOJE01000025.1,11,"phage integrase family--intergrase catalytic core--phage integrase, n-terminal sam-like domain"
AOJE01000038.1,"",""
AOJE01000051.1,"41,1","phage integrase family--intergrase catalytic core,intergrase catalytic core"
AOLZ01000012.1,"10,46","phage integrase family--intergrase catalytic core,intergrase catalytic core--phage integrase family"
AOMA01000019.1,"",""
AP017558.1,,""
BBJN01000020.1,70,intergrase catalytic core--phage integrase family
BMCI01000010.1,"",""
BMCI01000011.1,18,phage integrase family--intergrase catalytic core
CP019286.1,"60,23","phage integrase family--intergrase catalytic core,intergrase catalytic core--phage integrase family"
CP019329.1,45,intergrase catalytic core
CP019330.1,,""
CP025066.1,,""
CP026314.1,11,phage integrase family--intergrase catalytic core
CP031299.1,40,phage integrase family--intergrase catalytic core
CP040639.1,37,intergrase catalytic core--phage integrase family
CP058334.1,,""
CP058909.1,,""
CP081958.1,,""
CP084476.1,"69,42","phage integrase family--intergrase catalytic core,intergrase catalytic core--phage integrase family"
CP095494.1,"63,69","phage integrase family--intergrase catalytic core,phage integrase family--intergrase catalytic core"
CP099999.1,5,intergrase catalytic core--phage integrase family
CP100004.1,39,intergrase catalytic core
CP100355.1,,""
CP101158.1,"102,109","intergrase catalytic core,intergrase catalytic core--phage integrase family"
CP101161.1,3053,"phage integrase family--phage integrase, n-terminal sam-like domain--intergrase catalytic core"
CP104003.1,,""
CP119801.1,19,intergrase catalytic core--phage integrase sam-like domain--phage integrase family
Eyre_NODE_236_length_33155_cov_19.932,23,phage integrase family--intergrase catalytic core
Eyresouth_NODE_101_length_48437_cov_7.17035,"3,31","intergrase catalytic core--phage integrase family,intergrase catalytic core--phage integrase family"
Eyresouth_NODE_218_length_34093_cov_9.73377,1,phage integrase family--intergrase catalytic core
FNFC01000002.1,181,ser_recombinase
FNFE01000011.1,44,phage integrase family--intergrase catalytic core--phage integrase sam-like domain
FOIS01000007.1,45,intergrase catalytic core--phage integrase family
FOXI01000018.1,33,phage integrase family--intergrase catalytic core
FOXI01000019.1,27,intergrase catalytic core--phage integrase family
Frome_NODE_208_length_31991_cov_42.105993,"",""
Frome_NODE_383_length_24936_cov_4.316346,23,intergrase catalytic core--phage integrase family
Gairdner_NODE_107_length_49922_cov_74.384603,"51,35","phage integrase family--intergrase catalytic core,intergrase catalytic core--phage integrase family"
Gairdner_NODE_118_length_47723_cov_5.388856,46,intergrase catalytic core--phage integrase family
Gairdner_NODE_144_length_43966_cov_7.457380,9,intergrase catalytic core--phage integrase family
Gairdner_NODE_1649_length_16492_cov_7.650423,12,intergrase catalytic core--phage integrase family
Gairdner_NODE_167_length_41210_cov_9.888325,"5,8","putative large serine recombinase; chain b, domain 2--ser_recombinase--recombinase,ser_recombinase--recombinase--putative large serine recombinase; chain b, domain 2"
Gairdner_NODE_200_length_38460_cov_9.422054,44,phage integrase family--intergrase catalytic core
Gairdner_NODE_217_length_37248_cov_7.812599,1,phage integrase family--intergrase catalytic core
Gairdner_NODE_2803_length_13236_cov_7.077763,15,phage integrase family--intergrase catalytic core
Gairdner_NODE_4298_length_11003_cov_3.762240,10,ser_recombinase
Gairdner_NODE_74_length_59309_cov_8.317565,,""
JAANTI010000009.1,21,intergrase catalytic core--phage integrase family
JAAOHU010000009.1,51,phage integrase sam-like domain--intergrase catalytic core--phage integrase family
JABUQZ010000003.1,,""
JAJCVI010000002.1,"552,534","intergrase catalytic core--phage integrase family,intergrase catalytic core"
JAJCVI010000007.1,"",""
JAJNEG010000027.1,"",""
JAJNEG010000028.1,"",""
JAKRVX010000010.1,30,phage integrase family--intergrase catalytic core
JAQLTW010000001.1,,""
JDTG01000019.1,113,phage integrase family--intergrase catalytic core
Kenyon_NODE_596_length_16493_cov_7.34451,"",""
KX687704.1,34,intergrase catalytic core
KX906370.1,"",""
LOAJ01000002.1,"",""
LWLN01000003.1,42,phage integrase family--intergrase catalytic core
NC_013748.1,37,intergrase catalytic core--phage integrase family
NC_015659.1,78,phage integrase family--intergrase catalytic core
NXNI01000003.1,"",""
PSYY01000010.1,"",""
QKNW01000002.1,"",""
QPLN01000011.1,"",""
RJJW01000001.1,62,intergrase catalytic core
SJER01000008.1,149,intergrase catalytic core--phage integrase family
SRIF01000015.1,75,intergrase catalytic core--phage integrase family
Torrens_NODE_2029_length_12012_cov_23.663126,"",""
Tyrell_NODE_42_length_52436_cov_43.400050,,""
WOWA01000007.1,"",""
WPCC01000021.1,"1,43","phage integrase family--intergrase catalytic core,phage integrase family--intergrase catalytic core"
WSZK01000033.1,9,intergrase catalytic core
