gene_id	gene_length	DB	annotation	hit_start	hit_end	evalue	contig	orf	manual_min_orf	manual_max_orf
AOIO01000049.1_75	230	Pfam	Putative transposase DNA-binding domain	131	196	2.1e-12	AOIO01000049.1	75	84	114
AOIO01000049.1_104	110	Gene3D	Jelly Rolls	3	108	5.3e-16	AOIO01000049.1	104	84	114
AOIO01000049.1_113	315	PANTHER	DNA REPLICATION LICENSING FACTOR MCM FAMILY MEMBER	9	270	3.2e-25	AOIO01000049.1	113	84	114
AOIP01000022.1_46	398	Pfam	Putative DNA-binding domain	24	153	3.7e-10	AOIP01000022.1	46	16	40
AOIP01000022.1_37	315	PANTHER	DNA REPLICATION LICENSING FACTOR MCM FAMILY MEMBER	9	243	5.3e-26	AOIP01000022.1	37	16	40
AOIR01000042.1_68	223	Pfam	DNA polymerase family B, exonuclease domain	74	115	9.2e-07	AOIR01000042.1	68	32	61
AOJE01000051.1_5	1279	Pfam	MmeI, helicase spacer domain	297	453	8.5e-08	AOJE01000051.1	5	16	53
AOJE01000051.1_31	419	Pfam	Putative transposase DNA-binding domain	311	378	3.5e-18	AOJE01000051.1	31	16	53
AOJE01000051.1_31	419	NCBIfam	RNA-guided endonuclease TnpB family protein	13	376	3.6e-44	AOJE01000051.1	31	16	53
AOJE01000051.1_2	206	Pfam	HNH endonuclease	131	181	5.5e-10	AOJE01000051.1	2	16	53
AOJE01000051.1_17	415	CDD	Cdc6_C	307	393	4.52373e-13	AOJE01000051.1	17	16	53
AOJE01000051.1_17	415	Pfam	CDC6, C terminal winged helix domain	315	394	1.1e-12	AOJE01000051.1	17	16	53
AOJE01000051.1_17	415	NCBIfam	orc1/cdc6 family replication initiation protein	13	386	6.9e-111	AOJE01000051.1	17	16	53
AOJE01000051.1_17	415	FunFam	ORC1-type DNA replication protein	205	297	3.6e-24	AOJE01000051.1	17	16	53
AOLZ01000012.1_36	312	FunFam	DNA helicase	109	156	1.4e-07	AOLZ01000012.1	36	14	39
AOLZ01000012.1_36	312	PANTHER	DNA REPLICATION LICENSING FACTOR MCM FAMILY MEMBER	67	225	1.6e-21	AOLZ01000012.1	36	14	39
AOLZ01000012.1_56	223	SUPERFAMILY	Restriction endonuclease-like	3	124	3.75e-11	AOLZ01000012.1	56	14	39
AOLZ01000012.1_13	352	NCBIfam	RNA-guided endonuclease TnpB family protein	54	341	1.1e-44	AOLZ01000012.1	13	14	39
AOLZ01000012.1_13	352	Pfam	Putative transposase DNA-binding domain	275	341	1.8e-20	AOLZ01000012.1	13	14	39
AOLZ01000012.1_8	390	NCBIfam	RNA-guided endonuclease TnpB family protein	89	337	6e-35	AOLZ01000012.1	8	14	39
AOLZ01000012.1_8	390	Pfam	Putative transposase DNA-binding domain	269	337	1e-15	AOLZ01000012.1	8	14	39
AOLZ01000012.1_57	959	Pfam	HTH DNA binding domain	891	942	2.2e-15	AOLZ01000012.1	57	14	39
AOLZ01000012.1_57	959	SUPERFAMILY	Sigma3 and sigma4 domains of RNA polymerase sigma factors	882	945	7.52e-06	AOLZ01000012.1	57	14	39
BBJN01000020.1_59	200	SUPERFAMILY	lambda repressor-like DNA-binding domains	11	58	1.63e-07	BBJN01000020.1	59	27	51
BMCI01000010.1_57	185	Pfam	HNH endonuclease	5	45	3.9e-07	BMCI01000010.1	57	58	68
BMCI01000010.1_50	572	Pfam	Helicase HerA, central domain	15	78	5.4e-10	BMCI01000010.1	50	58	68
BMCI01000010.1_50	572	PANTHER	HELICASE MJ1565-RELATED	101	236	2e-26	BMCI01000010.1	50	58	68
BMCI01000011.1_15	325	PANTHER	DNA REPLICATION LICENSING FACTOR MCM FAMILY MEMBER	33	275	3.6e-14	BMCI01000011.1	15	1	17
BMCI01000011.1_23	238	Pfam	Homing endonuclease associated repeat	68	118	2.3e-15	BMCI01000011.1	23	1	17
BMCI01000011.1_23	238	Pfam	Homing endonuclease associated repeat	1	54	1.9e-09	BMCI01000011.1	23	1	17
BMCI01000011.1_34	228	Pfam	Homing endonuclease associated repeat	62	115	7.5e-15	BMCI01000011.1	34	1	17
BMCI01000011.1_34	228	Pfam	Homing endonuclease associated repeat	126	177	2.5e-18	BMCI01000011.1	34	1	17
BMCI01000011.1_34	228	Pfam	Homing endonuclease associated repeat	3	56	2.9e-19	BMCI01000011.1	34	1	17
CP019286.1_72	144	PANTHER	23S RRNA-SPECIFIC ENDONUCLEASE VAPC20	4	130	3.6e-35	CP019286.1	72	30	55
CP019286.1_33	312	PANTHER	DNA REPLICATION LICENSING FACTOR MCM FAMILY MEMBER	67	226	1.2e-21	CP019286.1	33	30	55
CP019286.1_33	312	FunFam	DNA helicase	109	156	1.4e-07	CP019286.1	33	30	55
CP019286.1_56	352	NCBIfam	RNA-guided endonuclease TnpB family protein	54	341	1.1e-44	CP019286.1	56	30	55
CP019286.1_56	352	Pfam	Putative transposase DNA-binding domain	275	341	1.8e-20	CP019286.1	56	30	55
CP019286.1_62	390	NCBIfam	RNA-guided endonuclease TnpB family protein	89	337	6e-35	CP019286.1	62	30	55
CP019286.1_62	390	Pfam	Putative transposase DNA-binding domain	269	337	1e-15	CP019286.1	62	30	55
CP019286.1_13	426	Pfam	CDC6, C terminal winged helix domain	325	405	7.2e-08	CP019286.1	13	30	55
CP019329.1_55	321	PANTHER	DNA REPLICATION LICENSING FACTOR MCM FAMILY MEMBER	27	270	2.8e-23	CP019329.1	55	55	85
CP019329.1_89	233	Pfam	Putative transposase DNA-binding domain	132	196	4.8e-12	CP019329.1	89	55	85
CP019329.1_98	226	Gene3D	Beta Polymerase, domain 2	106	221	2.1e-11	CP019329.1	98	55	85
CP019329.1_43	228	Pfam	Iron dependent repressor, N-terminal DNA binding domain	2	62	1.4e-17	CP019329.1	43	55	85
CP019329.1_85	132	Pfam	Homing endonuclease associated repeat	77	129	1.2e-19	CP019329.1	85	55	85
