	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	heme_regulatory_motif_count
KX906370.1_KX906370.1_1	KX906370.1	KX906370.1	1	2	79	-1	E															0
KX906370.1_KX906370.1_2	KX906370.1	KX906370.1	2	349	525	1	E															0
KX906370.1_KX906370.1_3	KX906370.1	KX906370.1	3	571	894	1	E															0
KX906370.1_KX906370.1_4	KX906370.1	KX906370.1	4	884	1309	1	E															0
KX906370.1_KX906370.1_5	KX906370.1	KX906370.1	5	1478	1873	-1	E															0
KX906370.1_KX906370.1_6	KX906370.1	KX906370.1	6	2035	2859	1	E															0
KX906370.1_KX906370.1_7	KX906370.1	KX906370.1	7	2874	3125	-1	E															0
KX906370.1_KX906370.1_8	KX906370.1	KX906370.1	8	3310	3816	-1	E															0
KX906370.1_KX906370.1_9	KX906370.1	KX906370.1	9	4091	5845	1	C	K07495	putative transposase													0
KX906370.1_KX906370.1_10	KX906370.1	KX906370.1	10	6330	7631	1	E															0
KX906370.1_KX906370.1_11	KX906370.1	KX906370.1	11	7628	8197	1	E															0
KX906370.1_KX906370.1_12	KX906370.1	KX906370.1	12	8453	9403	1	E															0
KX906370.1_KX906370.1_13	KX906370.1	KX906370.1	13	9396	9884	1	E															0
KX906370.1_KX906370.1_14	KX906370.1	KX906370.1	14	9881	10630	1	E															0
KX906370.1_KX906370.1_15	KX906370.1	KX906370.1	15	10623	10901	1	E															0
KX906370.1_KX906370.1_16	KX906370.1	KX906370.1	16	10888	11136	1	E															0
KX906370.1_KX906370.1_17	KX906370.1	KX906370.1	17	11133	11648	1	E															0
KX906370.1_KX906370.1_18	KX906370.1	KX906370.1	18	11645	11989	1	E															0
KX906370.1_KX906370.1_19	KX906370.1	KX906370.1	19	11989	12501	1	E															0
KX906370.1_KX906370.1_20	KX906370.1	KX906370.1	20	12498	12914	1	E															0
KX906370.1_KX906370.1_21	KX906370.1	KX906370.1	21	12904	13290	1	D										Domain of unknown function (DUF5658) [PF18902.3]					0
KX906370.1_KX906370.1_22	KX906370.1	KX906370.1	22	13290	13859	1	E															0
KX906370.1_KX906370.1_23	KX906370.1	KX906370.1	23	13856	14470	1	E															0
KX906370.1_KX906370.1_24	KX906370.1	KX906370.1	24	14474	14980	-1	E															0
KX906370.1_KX906370.1_25	KX906370.1	KX906370.1	25	15027	15434	-1	E															0
KX906370.1_KX906370.1_26	KX906370.1	KX906370.1	26	15529	15876	-1	E															0
KX906370.1_KX906370.1_27	KX906370.1	KX906370.1	27	15873	16424	-1	C	K07451	5-methylcytosine-specific restriction enzyme A [EC:3.1.21.-]								HNH endonuclease [PF01844.26]					1
KX906370.1_KX906370.1_28	KX906370.1	KX906370.1	28	16421	17059	-1	D										DNA N-6-adenine-methyltransferase (Dam) [PF05869.14]					0
KX906370.1_KX906370.1_29	KX906370.1	KX906370.1	29	17056	17397	-1	E															0
KX906370.1_KX906370.1_30	KX906370.1	KX906370.1	30	17394	17864	-1	E															0
KX906370.1_KX906370.1_31	KX906370.1	KX906370.1	31	17852	18463	-1	E															0
KX906370.1_KX906370.1_32	KX906370.1	KX906370.1	32	18713	19171	-1	E															0
KX906370.1_KX906370.1_33	KX906370.1	KX906370.1	33	19215	19640	-1	E															0
KX906370.1_KX906370.1_34	KX906370.1	KX906370.1	34	19637	20668	-1	D										AAA domain [PF13614.9]; VirC1 protein [PF07015.14]					0
KX906370.1_KX906370.1_35	KX906370.1	KX906370.1	35	20924	22165	-1	C	K07496	putative transposase								Putative transposase DNA-binding domain [PF07282.14]; Probable transposase [PF01385.22]; Helix-turn-helix domain [PF12323.11]					0
KX906370.1_KX906370.1_36	KX906370.1	KX906370.1	36	22169	22309	-1	D										Putative transposon-encoded protein (DUF2080) [PF09853.12]					0
KX906370.1_KX906370.1_37	KX906370.1	KX906370.1	37	22540	22959	-1	C	K23255	archaeal type IV pilus assembly protein PilA								Archaeal Type IV pilin, N-terminal [PF07790.14]					0
KX906370.1_KX906370.1_38	KX906370.1	KX906370.1	38	23211	23978	1	E															0
KX906370.1_KX906370.1_39	KX906370.1	KX906370.1	39	24111	24845	1	E															0
KX906370.1_KX906370.1_40	KX906370.1	KX906370.1	40	24842	24970	1	E															0
KX906370.1_KX906370.1_41	KX906370.1	KX906370.1	41	25079	25822	1	E															0
KX906370.1_KX906370.1_42	KX906370.1	KX906370.1	42	25823	26206	1	E															0
KX906370.1_KX906370.1_43	KX906370.1	KX906370.1	43	26206	26991	1	D										C-5 cytosine-specific DNA methylase [PF00145.20]					0
KX906370.1_KX906370.1_44	KX906370.1	KX906370.1	44	26992	27576	1	E															0
KX906370.1_KX906370.1_45	KX906370.1	KX906370.1	45	27576	28475	1	D										C-5 cytosine-specific DNA methylase [PF00145.20]					0
KX906370.1_KX906370.1_46	KX906370.1	KX906370.1	46	28702	29775	-1	E															0
KX906370.1_KX906370.1_47	KX906370.1	KX906370.1	47	29884	30615	1	C	K22885	dTDP-4-amino-4,6-dideoxyglucose formyltransferase [EC:2.3.1.-]								Formyl transferase [PF00551.22]; N-formyltransferase dimerization C-terminal domain [PF18216.4]					0
KX906370.1_KX906370.1_48	KX906370.1	KX906370.1	48	30729	31727	1	D										Glycosyl transferases group 1 [PF13692.9]					0
