cluster,cluster_annotation,contig,presence,gene_id,occurances,nr_annot
Cluster 14,"",KX687704.1,1,KX687704.1_26,40,""
Cluster 14,"",LOAJ01000002.1,1,LOAJ01000002.1_44,40,""
Cluster 14,"",KX906370.1,1,KX906370.1_107,40,""
Cluster 14,"",LWLN01000003.1,1,LWLN01000003.1_29,40,""
Cluster 14,"",AOLZ01000012.1,1,AOLZ01000012.1_35,40,""
Cluster 14,"",CP019286.1,1,CP019286.1_34,40,""
Cluster 14,"",CP101158.1,1,CP101158.1_93,40,""
Cluster 14,"",Eyre_NODE_236,1,Eyre_NODE_236_length_33155_cov_19.932_26,40,""
Cluster 14,"",Eyresouth_NODE_101,1,Eyresouth_NODE_101_length_48437_cov_7.17035_28,40,""
Cluster 14,"",Frome_NODE_383,1,Frome_NODE_383_length_24936_cov_4.316346_20,40,""
Cluster 14,"",JAAOHU010000009.1,1,JAAOHU010000009.1_54,40,""
Cluster 14,"",CP019329.1,1,CP019329.1_57,40,""
Cluster 14,"",CP095494.1,1,CP095494.1_52,40,""
Cluster 14,"",SRIF01000015.1,1,SRIF01000015.1_56,40,""
Cluster 14,"",SJER01000008.1,1,SJER01000008.1_144,40,""
Cluster 14,"",CP119801.1,1,CP119801.1_26,40,""
Cluster 14,"",FNFE01000011.1,1,FNFE01000011.1_39,40,""
Cluster 14,"",CP099999.1,1,CP099999.1_26,40,""
Cluster 14,"",RJJW01000001.1,1,RJJW01000001.1_46,40,""
Cluster 14,"",WSZK01000033.1,1,WSZK01000033.1_21,40,""
Cluster 14,"",CP084476.1,1,CP084476.1_52,40,""
Cluster 14,"",AOIR01000042.1,1,AOIR01000042.1_57,40,""
Cluster 14,"",CP101161.1,1,CP101161.1_3069,40,""
Cluster 14,"",CP100004.1,1,CP100004.1_22,40,""
Cluster 14,"",BBJN01000020.1,1,BBJN01000020.1_48,40,""
Cluster 14,"",Gairdner_NODE_167,1,Gairdner_NODE_167_length_41210_cov_9.888325_18,40,""
Cluster 14,"",JAJCVI010000002.1,1,JAJCVI010000002.1_573,40,""
Cluster 14,"",AOIO01000049.1,1,AOIO01000049.1_112,40,""
Cluster 14,"",AOIP01000022.1,1,AOIP01000022.1_36,40,""
Cluster 14,"",AOJE01000025.1,1,AOJE01000025.1_41,40,""
Cluster 14,"",CP031299.1,1,CP031299.1_28,40,""
Cluster 14,"",JDTG01000019.1,1,JDTG01000019.1_101,40,""
Cluster 14,"",NC_015659.1,1,NC_015659.1_84,40,""
Cluster 14,"",Gairdner_NODE_107,1,Gairdner_NODE_107_length_49922_cov_74.384603_31,40,""
Cluster 14,"",FOXI01000018.1,1,FOXI01000018.1_35,40,""
Cluster 14,"",JAANTI010000009.1,1,JAANTI010000009.1_19,40,""
Cluster 14,"",NC_013748.1,1,NC_013748.1_29,40,""
Cluster 14,"",AOJE01000051.1,1,AOJE01000051.1_19,40,""
Cluster 14,"",CP019329.1,1,CP019329.1_56,40,""
Cluster 14,"",AOJE01000051.1,1,AOJE01000051.1_20,40,""
