contig,ORF10,ORF17,ORF21,ORF23,ORF24,ORF6,ORF8,hits,valid
Eyresouth_NODE_101,1,1,1,1,1,1,1,7,TRUE
Frome_NODE_383,1,1,1,1,1,1,1,7,TRUE
Gairdner_NODE_107,1,1,1,1,1,1,1,7,TRUE
Gairdner_NODE_167,1,1,1,1,1,1,1,7,TRUE
Eyre_NODE_236,1,1,1,1,1,0,1,6,TRUE
Eyre_NODE_3967,1,1,1,1,1,0,0,5,TRUE
Frome_NODE_5173,0,1,1,1,1,0,0,4,TRUE
Gairdner_NODE_22962,0,1,1,1,1,0,0,4,TRUE
Gairdner_NODE_29507,0,1,1,1,1,0,0,4,TRUE
Gairdner_NODE_4298,1,1,0,0,0,1,1,4,TRUE
Eyre_NODE_24569,1,0,0,0,0,1,1,3,TRUE
Eyre_NODE_32600,1,0,0,0,0,1,1,3,TRUE
Eyresouth_NODE_218,1,0,0,0,0,1,1,3,TRUE
Frome_NODE_15509,1,0,0,0,0,1,1,3,TRUE
Frome_NODE_208,1,0,0,0,0,1,1,3,TRUE
Frome_NODE_5768,1,0,0,0,0,1,1,3,TRUE
Frome_NODE_9768,1,0,0,0,0,1,1,3,TRUE
Gairdner_NODE_118,1,0,0,0,0,1,1,3,TRUE
Gairdner_NODE_144,1,0,0,0,0,1,1,3,TRUE
Gairdner_NODE_1649,1,0,0,0,0,1,1,3,TRUE
Gairdner_NODE_200,1,0,0,0,0,1,1,3,TRUE
Gairdner_NODE_217,1,0,0,0,0,1,1,3,TRUE
Gairdner_NODE_22520,1,0,0,0,0,1,1,3,TRUE
Gairdner_NODE_2803,1,0,0,0,0,1,1,3,TRUE
Gairdner_NODE_35642,1,0,0,0,0,1,1,3,TRUE
Gairdner_NODE_74,1,0,0,0,0,1,1,3,TRUE
Kenyon_NODE_596,1,0,0,0,0,1,1,3,TRUE
Torrens_NODE_2029,1,0,0,0,0,1,1,3,TRUE
Tyrell_NODE_42,1,0,0,0,0,1,1,3,TRUE
Tyrell_NODE_6051,1,0,0,0,0,1,1,3,TRUE
