	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	heme_regulatory_motif_count
AOID01000019.1_AOID01000019.1_1	AOID01000019.1	AOID01000019.1	1	43	357	-1	E											0
AOID01000019.1_AOID01000019.1_2	AOID01000019.1	AOID01000019.1	2	350	646	-1	E											0
AOID01000019.1_AOID01000019.1_3	AOID01000019.1	AOID01000019.1	3	643	1920	-1	E											0
AOID01000019.1_AOID01000019.1_4	AOID01000019.1	AOID01000019.1	4	1923	2273	-1	E											0
AOID01000019.1_AOID01000019.1_5	AOID01000019.1	AOID01000019.1	5	2287	2478	-1	E											0
AOID01000019.1_AOID01000019.1_6	AOID01000019.1	AOID01000019.1	6	2490	3200	-1	E											0
AOID01000019.1_AOID01000019.1_7	AOID01000019.1	AOID01000019.1	7	3390	3632	-1	E											0
AOID01000019.1_AOID01000019.1_8	AOID01000019.1	AOID01000019.1	8	3721	4800	-1	E											0
AOID01000019.1_AOID01000019.1_9	AOID01000019.1	AOID01000019.1	9	4962	5726	-1	D										Methyltransferase FkbM domain [PF05050.15]; Met-10+ like-protein [PF02475.19]	0
AOID01000019.1_AOID01000019.1_10	AOID01000019.1	AOID01000019.1	10	5743	5910	-1	C	K03116	sec-independent protein translocase protein TatA								mttA/Hcf106 family [PF02416.19]	0
AOID01000019.1_AOID01000019.1_11	AOID01000019.1	AOID01000019.1	11	5996	7669	-1	E											0
AOID01000019.1_AOID01000019.1_12	AOID01000019.1	AOID01000019.1	12	7684	8643	-1	E											0
AOID01000019.1_AOID01000019.1_13	AOID01000019.1	AOID01000019.1	13	8834	9814	-1	C	K07451	5-methylcytosine-specific restriction enzyme A [EC:3.1.21.-]								Homing endonuclease associated repeat [PF18780.4]	1
AOID01000019.1_AOID01000019.1_14	AOID01000019.1	AOID01000019.1	14	9975	10757	-1	E											0
AOID01000019.1_AOID01000019.1_15	AOID01000019.1	AOID01000019.1	15	10760	12328	-1	D			MER0980774	S08A	MER0980774 - subfamily S8A unassigned peptidases (Natrinema versiforme) [S08.UPA]#S08A#{peptidase unit: 194-482}~source L9Y5A0~	True	554.0	1.983e-173	0.913	Subtilase family [PF00082.25]	0
AOID01000019.1_AOID01000019.1_16	AOID01000019.1	AOID01000019.1	16	12325	16005	-1	D										PQQ-like domain [PF13360.9]	0
AOID01000019.1_AOID01000019.1_17	AOID01000019.1	AOID01000019.1	17	16015	16656	-1	E											0
AOID01000019.1_AOID01000019.1_18	AOID01000019.1	AOID01000019.1	18	16979	17179	1	E											0
AOID01000019.1_AOID01000019.1_19	AOID01000019.1	AOID01000019.1	19	17258	17563	-1	E											0
AOID01000019.1_AOID01000019.1_20	AOID01000019.1	AOID01000019.1	20	17560	18066	-1	E											0
AOID01000019.1_AOID01000019.1_21	AOID01000019.1	AOID01000019.1	21	18444	19166	1	E											0
AOID01000019.1_AOID01000019.1_22	AOID01000019.1	AOID01000019.1	22	19293	19562	-1	E											0
AOID01000019.1_AOID01000019.1_23	AOID01000019.1	AOID01000019.1	23	19595	19972	1	E											0
AOID01000019.1_AOID01000019.1_24	AOID01000019.1	AOID01000019.1	24	19995	21020	-1	C	K07451	5-methylcytosine-specific restriction enzyme A [EC:3.1.21.-]								Homing endonuclease associated repeat [PF18780.4]; HNH endonuclease [PF01844.26]	1
AOID01000019.1_AOID01000019.1_25	AOID01000019.1	AOID01000019.1	25	21436	22485	1	D										AAA domain [PF13401.9]; Bacterial TniB protein [PF05621.14]	0
AOID01000019.1_AOID01000019.1_26	AOID01000019.1	AOID01000019.1	26	22525	22812	-1	D										Transcriptional regulator PadR-like family [PF03551.17]	0
AOID01000019.1_AOID01000019.1_27	AOID01000019.1	AOID01000019.1	27	22863	23258	-1	E											0
AOID01000019.1_AOID01000019.1_28	AOID01000019.1	AOID01000019.1	28	23397	23696	1	E											0
AOID01000019.1_AOID01000019.1_29	AOID01000019.1	AOID01000019.1	29	23679	23993	-1	E											0
AOID01000019.1_AOID01000019.1_30	AOID01000019.1	AOID01000019.1	30	24214	24570	-1	E											0
AOID01000019.1_AOID01000019.1_31	AOID01000019.1	AOID01000019.1	31	24730	25116	1	E											0
AOID01000019.1_AOID01000019.1_32	AOID01000019.1	AOID01000019.1	32	25482	26693	1	E											0
AOID01000019.1_AOID01000019.1_33	AOID01000019.1	AOID01000019.1	33	26696	27007	1	E											0
AOID01000019.1_AOID01000019.1_34	AOID01000019.1	AOID01000019.1	34	27118	28110	1	D										Competence protein CoiA-like family [PF06054.14]	0
