hit,hit_length,query,query_length,evalue,score,alignment_start,alignment_end,aln_length,uvig,host_taxonomy,virus_taxonomy,virus_completeness,virus_quality
IMGVR_UViG_3300003629_000202|3300003629|P4metv_1000471,134,ORF10.faa,339,2.1e-20,86.8,1,133,132,IMGVR_UViG_3300003629_000202,;;;;;;,r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;,20.45,Genome fragment
IMGVR_UViG_3300003630_000202|3300003630|lovalP4_1000471,134,ORF10.faa,339,2.1e-20,86.8,1,133,132,IMGVR_UViG_3300003630_000202,;;;;;;,r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;,20.45,Genome fragment
IMGVR_UViG_3300046051_000044|3300046051|Ga0496802_00009_1_1035,344,ORF10.faa,339,6.3e-18,78.6,12,317,305,IMGVR_UViG_3300046051_000044,;;;;;;,r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;,77.36,Genome fragment
IMGVR_UViG_3300046051_000081|3300046051|Ga0496802_00009_1_1035,344,ORF10.faa,339,6.3e-18,78.6,12,317,305,IMGVR_UViG_3300046051_000081,;;;;;;,r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;,62.27,Genome fragment
IMGVR_UViG_3300037504_000288|3300037504|Ga0401366_0000118_1746_16577,4943,ORF6.faa,1255,3.1e-77,274.2,78,266,188,IMGVR_UViG_3300037504_000288,;;;;;;,r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;,33.48,Genome fragment
IMGVR_UViG_3300037504_000288|3300037504|Ga0401366_0000118_1746_16577,4943,ORF6.faa,1255,3.1e-77,274.2,144,422,278,IMGVR_UViG_3300037504_000288,;;;;;;,r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;,33.48,Genome fragment
IMGVR_UViG_3300037504_000288|3300037504|Ga0401366_0000118_1746_16577,4943,ORF6.faa,1255,3.1e-77,274.2,124,385,261,IMGVR_UViG_3300037504_000288,;;;;;;,r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;,33.48,Genome fragment
IMGVR_UViG_3300037504_000288|3300037504|Ga0401366_0000118_1746_16577,4943,ORF6.faa,1255,3.1e-77,274.2,140,399,259,IMGVR_UViG_3300037504_000288,;;;;;;,r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;,33.48,Genome fragment
IMGVR_UViG_3300037504_000288|3300037504|Ga0401366_0000118_1746_16577,4943,ORF6.faa,1255,3.1e-77,274.2,108,385,277,IMGVR_UViG_3300037504_000288,;;;;;;,r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;,33.48,Genome fragment
IMGVR_UViG_3300037504_000288|3300037504|Ga0401366_0000118_1746_16577,4943,ORF6.faa,1255,3.1e-77,274.2,144,400,256,IMGVR_UViG_3300037504_000288,;;;;;;,r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;,33.48,Genome fragment
IMGVR_UViG_3300001336_000893|3300001336|ML7_100466791,709,ORF6.faa,1255,1.3e-73,262.2,140,389,249,IMGVR_UViG_3300001336_000893,;;;;;;,r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;,,Unsure
IMGVR_UViG_3300001336_000893|3300001336|ML7_100466791,709,ORF6.faa,1255,1.3e-73,262.2,210,390,180,IMGVR_UViG_3300001336_000893,;;;;;;,r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;,,Unsure
IMGVR_UViG_3300001336_000893|3300001336|ML7_100466791,709,ORF6.faa,1255,1.3e-73,262.2,155,397,242,IMGVR_UViG_3300001336_000893,;;;;;;,r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;,,Unsure
IMGVR_UViG_3300001336_000893|3300001336|ML7_100466791,709,ORF6.faa,1255,1.3e-73,262.2,137,290,153,IMGVR_UViG_3300001336_000893,;;;;;;,r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;,,Unsure
IMGVR_UViG_3300010348_000981|3300010348|Ga0116255_100386381,1327,ORF6.faa,1255,1.3e-72,258.9,184,336,152,IMGVR_UViG_3300010348_000981,;;;;;;,r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;,,Unsure
IMGVR_UViG_3300010348_000981|3300010348|Ga0116255_100386381,1327,ORF6.faa,1255,1.3e-72,258.9,136,386,250,IMGVR_UViG_3300010348_000981,;;;;;;,r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;,,Unsure
IMGVR_UViG_3300010348_000981|3300010348|Ga0116255_100386381,1327,ORF6.faa,1255,1.3e-72,258.9,133,341,208,IMGVR_UViG_3300010348_000981,;;;;;;,r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;,,Unsure
IMGVR_UViG_3300010348_000981|3300010348|Ga0116255_100386381,1327,ORF6.faa,1255,1.3e-72,258.9,166,368,202,IMGVR_UViG_3300010348_000981,;;;;;;,r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;,,Unsure
IMGVR_UViG_3300010348_000981|3300010348|Ga0116255_100386381,1327,ORF6.faa,1255,1.3e-72,258.9,183,367,184,IMGVR_UViG_3300010348_000981,;;;;;;,r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;,,Unsure
