gene_id	gene_length	DB	annotation	hit_start	hit_end	evalue	contig	orf
AOID01000019.1_26	95	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	2	88	1.28e-19	AOID01000019.1	26
AOID01000019.1_30	118	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	35	97	2.05e-07	AOID01000019.1	30
AOID01000019.1_78	426	Pfam	Putative transposase DNA-binding domain	356	419	1.4e-18	AOID01000019.1	78
AOID01000019.1_13	326	Pfam	HNH endonuclease	258	309	4.3e-08	AOID01000019.1	13
AOID01000019.1_13	326	Pfam	Homing endonuclease associated repeat	5	56	3.8e-18	AOID01000019.1	13
AOID01000019.1_13	326	Pfam	Homing endonuclease associated repeat	70	123	3.6e-23	AOID01000019.1	13
AOID01000019.1_101	148	Pfam	HNH endonuclease	25	75	1.4e-12	AOID01000019.1	101
AOID01000019.1_35	78	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	7	75	1.9e-08	AOID01000019.1	35
AOID01000019.1_54	105	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	14	97	8.9e-15	AOID01000019.1	54
AOID01000019.1_106	210	Pfam	HNH endonuclease	136	187	9.2e-10	AOID01000019.1	106
AOID01000019.1_24	341	Pfam	Homing endonuclease associated repeat	190	242	1.6e-13	AOID01000019.1	24
AOID01000019.1_24	341	Pfam	Homing endonuclease associated repeat	5	58	9.7e-15	AOID01000019.1	24
AOID01000019.1_24	341	Pfam	Homing endonuclease associated repeat	67	119	1.2e-16	AOID01000019.1	24
AOID01000019.1_24	341	Pfam	Homing endonuclease associated repeat	127	178	1.7e-15	AOID01000019.1	24
AOID01000019.1_24	341	Pfam	HNH endonuclease	273	319	2.2e-08	AOID01000019.1	24
AOIO01000049.1_55	325	PANTHER	CRISPR-ASSOCIATED ENDONUCLEASE CAS1 1	4	319	1e-73	AOIO01000049.1	55
AOIO01000049.1_55	325	NCBIfam	CRISPR-associated endonuclease Cas1	7	317	8.9e-70	AOIO01000049.1	55
AOIO01000049.1_38	413	NCBIfam	orc1/cdc6 family replication initiation protein	11	374	1.3e-130	AOIO01000049.1	38
AOIO01000049.1_38	413	CDD	Cdc6_C	296	382	3.78019e-23	AOIO01000049.1	38
AOIO01000049.1_38	413	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	287	389	8.57e-21	AOIO01000049.1	38
AOIO01000049.1_38	413	FunFam	ORC1-type DNA replication protein	194	286	2.4e-24	AOIO01000049.1	38
AOIO01000049.1_38	413	SMART	Cdc6_C_2	303	386	6.3e-18	AOIO01000049.1	38
AOIO01000049.1_38	413	Pfam	CDC6, C terminal winged helix domain	303	384	2.9e-20	AOIO01000049.1	38
AOIO01000049.1_57	716	Pfam	DEAD/DEAH box helicase	51	230	8.3e-10	AOIO01000049.1	57
AOIO01000049.1_57	716	NCBIfam	type I-D CRISPR-associated helicase Cas3'	32	389	2.9e-90	AOIO01000049.1	57
AOIO01000049.1_57	716	PANTHER	ATP-DEPENDENT HELICASE LHR-RELATED-RELATED	27	227	1.7e-12	AOIO01000049.1	57
