orf#,start,end,strand,contig,id,annot,score,evalue,aln_length,length
84,69321,70109,TRUE,AOIO01000049.1,AOIO01000049.1_84,unknown,,,,788
85,70336,70605,TRUE,AOIO01000049.1,AOIO01000049.1_85,unknown,,,,269
86,70672,72252,FALSE,AOIO01000049.1,AOIO01000049.1_86,unknown,,,,1580
87,72401,72604,FALSE,AOIO01000049.1,AOIO01000049.1_87,unknown,,,,203
88,72886,73563,TRUE,AOIO01000049.1,AOIO01000049.1_88,unknown,,,,677
89,73573,76854,TRUE,AOIO01000049.1,AOIO01000049.1_89,ORF6,1100.7,0,1166,3281
90,76864,77655,TRUE,AOIO01000049.1,AOIO01000049.1_90,ORF8,321.3,2.3e-98,254,791
91,77774,80164,TRUE,AOIO01000049.1,AOIO01000049.1_91,unknown,,,,2390
92,80161,81126,TRUE,AOIO01000049.1,AOIO01000049.1_92,unknown,,,,965
93,81138,81662,TRUE,AOIO01000049.1,AOIO01000049.1_93,unknown,,,,524
94,81659,82357,TRUE,AOIO01000049.1,AOIO01000049.1_94,unknown,,,,698
95,82517,83545,TRUE,AOIO01000049.1,AOIO01000049.1_95,ORF10,334.7,4.1e-102,327,1028
96,83633,83881,TRUE,AOIO01000049.1,AOIO01000049.1_96,unknown,,,,248
97,84036,84683,TRUE,AOIO01000049.1,AOIO01000049.1_97,unknown,,,,647
98,84892,85347,TRUE,AOIO01000049.1,AOIO01000049.1_98,unknown,,,,455
99,85344,86288,TRUE,AOIO01000049.1,AOIO01000049.1_99,ORF17,423.5,2.5e-129,297,944
100,86285,86521,TRUE,AOIO01000049.1,AOIO01000049.1_100,unknown,,,,236
101,86518,86808,TRUE,AOIO01000049.1,AOIO01000049.1_101,unknown,,,,290
102,87080,87628,TRUE,AOIO01000049.1,AOIO01000049.1_102,unknown,,,,548
103,87611,87736,FALSE,AOIO01000049.1,AOIO01000049.1_103,unknown,,,,125
104,87853,88185,FALSE,AOIO01000049.1,AOIO01000049.1_104,unknown,,,,332
105,88370,90403,TRUE,AOIO01000049.1,AOIO01000049.1_105,unknown,,,,2033
106,90404,92206,TRUE,AOIO01000049.1,AOIO01000049.1_106,unknown,,,,1802
107,92577,92792,TRUE,AOIO01000049.1,AOIO01000049.1_107,unknown,,,,215
