orf#,start,end,strand,contig,id,annot,score,evalue,aln_length,interpro_annot,interpro_evalue,DRAM_kegg,DRAM_pdfam,nr_annotation,nr_bitscore
1,43,357,FALSE,AOID01000019.1,AOID01000019.1_1,"",,,,"",,"","",,
2,350,646,FALSE,AOID01000019.1,AOID01000019.1_2,"",,,,"",,"","",,
3,643,1920,FALSE,AOID01000019.1,AOID01000019.1_3,ORF17.faa,402.5,6.4e-123,299,"",,"","",,
4,1923,2273,FALSE,AOID01000019.1,AOID01000019.1_4,"",,,,"",,"","",,
5,2287,2478,FALSE,AOID01000019.1,AOID01000019.1_5,"",,,,"",,"","",,
6,2490,3200,FALSE,AOID01000019.1,AOID01000019.1_6,"",,,,"",,"","",,
7,3390,3632,FALSE,AOID01000019.1,AOID01000019.1_7,"",,,,"",,"","",,
8,3721,4800,FALSE,AOID01000019.1,AOID01000019.1_8,ORF10.faa,330.4,8.6e-101,325,"",,"","",,
9,4962,5726,FALSE,AOID01000019.1,AOID01000019.1_9,"",,,,S-adenosyl-L-methionine-dependent methyltransferases,1.82e-38,"","",FkbM family methyltransferase [Natrinema versiforme],499
10,5743,5910,FALSE,AOID01000019.1,AOID01000019.1_10,"",,,,twin-arginine translocase TatA/TatE family subunit,1.2e-16,sec-independent protein translocase protein TatA,mttA/Hcf106 family [PF02416.19],"twin-arginine translocation protein, TatA/E family subunit [Natrinema versiforme JCM 10478]",105
11,5996,7669,FALSE,AOID01000019.1,AOID01000019.1_11,"",,,,"",,"","",,
12,7684,8643,FALSE,AOID01000019.1,AOID01000019.1_12,"",,,,"",,"","",,
13,8834,9814,FALSE,AOID01000019.1,AOID01000019.1_13,"",,,,Homing endonuclease associated repeat,3.6e-23,5-methylcytosine-specific restriction enzyme A [EC:3.1.21.-],Homing endonuclease associated repeat [PF18780.4],C2H2-type zinc finger protein [Halorubrum salinum],111
14,9975,10757,FALSE,AOID01000019.1,AOID01000019.1_14,ORF8.faa,359,7.4e-110,258,"",,"","",twin-arginine translocation signal domain-containing protein [Natrinema versiforme],536
15,10760,12328,FALSE,AOID01000019.1,AOID01000019.1_15,"",,,,Peptidase S8/S53 domain,1.3e-49,"","",S8 family serine peptidase [Natrinema versiforme],989
16,12325,16005,FALSE,AOID01000019.1,AOID01000019.1_16,ORF6.faa,1206.3,0,1180,Quinoprotein alcohol dehydrogenase-like,2.12e-24,"","",carboxypeptidase regulatory-like domain-containing protein [Natrinema thermotolerans],139
17,16015,16656,FALSE,AOID01000019.1,AOID01000019.1_17,"",,,,"",,"","",,
18,16979,17179,TRUE,AOID01000019.1,AOID01000019.1_18,"",,,,"",,"","",,
19,17258,17563,FALSE,AOID01000019.1,AOID01000019.1_19,"",,,,"",,"","",,
20,17560,18066,FALSE,AOID01000019.1,AOID01000019.1_20,"",,,,"",,"","",,
21,18444,19166,TRUE,AOID01000019.1,AOID01000019.1_21,"",,,,"",,"","",,
22,19293,19562,FALSE,AOID01000019.1,AOID01000019.1_22,"",,,,"",,"","",,
23,19595,19972,TRUE,AOID01000019.1,AOID01000019.1_23,"",,,,"",,"","",,
24,19995,21020,FALSE,AOID01000019.1,AOID01000019.1_24,"",,,,Homing endonuclease associated repeat,1.2e-16,5-methylcytosine-specific restriction enzyme A [EC:3.1.21.-],Homing endonuclease associated repeat [PF18780.4]; HNH endonuclease [PF01844.26],HNH endonuclease [Natrinema versiforme],698
25,21436,22485,TRUE,AOID01000019.1,AOID01000019.1_25,"",,,,P-loop containing nucleoside triphosphate hydrolases,1.3e-29,"","",AAA family ATPase [Natrinema versiforme],691
26,22525,22812,FALSE,AOID01000019.1,AOID01000019.1_26,"",,,,"""""""""Winged helix"""""""" DNA-binding domain",1.28e-19,"","",PadR family transcriptional regulator [Natrinema versiforme],199
27,22863,23258,FALSE,AOID01000019.1,AOID01000019.1_27,"",,,,"",,"","",,
28,23397,23696,TRUE,AOID01000019.1,AOID01000019.1_28,"",,,,"",,"","",,
29,23679,23993,FALSE,AOID01000019.1,AOID01000019.1_29,"",,,,"",,"","",,
30,24214,24570,FALSE,AOID01000019.1,AOID01000019.1_30,"",,,,"""""""""Winged helix"""""""" DNA-binding domain",2.05e-07,"","",phage PhiH1 repressor protein [Natrinema pallidum DSM 3751],176
31,24730,25116,TRUE,AOID01000019.1,AOID01000019.1_31,"",,,,"",,"","",,
32,25482,26693,TRUE,AOID01000019.1,AOID01000019.1_32,"",,,,"",,"","",,
33,26696,27007,TRUE,AOID01000019.1,AOID01000019.1_33,"",,,,"",,"","",,
34,27118,28110,TRUE,AOID01000019.1,AOID01000019.1_34,"",,,,"",,"","",,
35,28798,29034,FALSE,AOID01000019.1,AOID01000019.1_35,"",,,,"""""""""Winged helix"""""""" DNA-binding domain",1.9e-08,"","",winged helix-turn-helix transcriptional regulator [Natrinema versiforme],157
36,29434,29742,TRUE,AOID01000019.1,AOID01000019.1_36,"",,,,"",,"","",,
