	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	heme_regulatory_motif_count
JDTG01000019.1_JDTG01000019.1_1	JDTG01000019.1	JDTG01000019.1	1	3	884	-1	E											0
JDTG01000019.1_JDTG01000019.1_2	JDTG01000019.1	JDTG01000019.1	2	920	1162	-1	E											0
JDTG01000019.1_JDTG01000019.1_3	JDTG01000019.1	JDTG01000019.1	3	1265	2515	1	D										DNA methylase [PF01555.21]	0
JDTG01000019.1_JDTG01000019.1_4	JDTG01000019.1	JDTG01000019.1	4	2624	2860	1	E											0
JDTG01000019.1_JDTG01000019.1_5	JDTG01000019.1	JDTG01000019.1	5	2871	3530	-1	D										RNase_H superfamily [PF13482.9]	0
JDTG01000019.1_JDTG01000019.1_6	JDTG01000019.1	JDTG01000019.1	6	3580	3963	-1	E											0
JDTG01000019.1_JDTG01000019.1_7	JDTG01000019.1	JDTG01000019.1	7	4149	4433	1	E											0
JDTG01000019.1_JDTG01000019.1_8	JDTG01000019.1	JDTG01000019.1	8	4430	4600	1	E											0
JDTG01000019.1_JDTG01000019.1_9	JDTG01000019.1	JDTG01000019.1	9	4811	5089	1	E											0
JDTG01000019.1_JDTG01000019.1_10	JDTG01000019.1	JDTG01000019.1	10	5079	5666	1	E											0
JDTG01000019.1_JDTG01000019.1_11	JDTG01000019.1	JDTG01000019.1	11	5663	5905	1	E											0
JDTG01000019.1_JDTG01000019.1_12	JDTG01000019.1	JDTG01000019.1	12	5902	6081	1	E											0
JDTG01000019.1_JDTG01000019.1_13	JDTG01000019.1	JDTG01000019.1	13	6312	6881	1	E											0
JDTG01000019.1_JDTG01000019.1_14	JDTG01000019.1	JDTG01000019.1	14	6878	7039	1	E											0
JDTG01000019.1_JDTG01000019.1_15	JDTG01000019.1	JDTG01000019.1	15	7160	7417	-1	E											0
JDTG01000019.1_JDTG01000019.1_16	JDTG01000019.1	JDTG01000019.1	16	7463	7717	-1	E											0
JDTG01000019.1_JDTG01000019.1_17	JDTG01000019.1	JDTG01000019.1	17	7720	7992	-1	E											0
JDTG01000019.1_JDTG01000019.1_18	JDTG01000019.1	JDTG01000019.1	18	7989	8243	-1	E											0
JDTG01000019.1_JDTG01000019.1_19	JDTG01000019.1	JDTG01000019.1	19	8275	8664	-1	C	K23255	archaeal type IV pilus assembly protein PilA								Archaeal Type IV pilin, N-terminal [PF07790.14]	0
JDTG01000019.1_JDTG01000019.1_20	JDTG01000019.1	JDTG01000019.1	20	8795	9211	-1	E											0
JDTG01000019.1_JDTG01000019.1_21	JDTG01000019.1	JDTG01000019.1	21	9211	10203	-1	D										AAA domain [PF13614.9]; ATPase MipZ [PF09140.14]; CobQ/CobB/MinD/ParA nucleotide binding domain [PF01656.26]; Cellulose biosynthesis protein BcsQ [PF06564.15]; NUBPL iron-transfer P-loop NTPase [PF10609.12]	0
JDTG01000019.1_JDTG01000019.1_22	JDTG01000019.1	JDTG01000019.1	22	10580	10804	-1	E											0
JDTG01000019.1_JDTG01000019.1_23	JDTG01000019.1	JDTG01000019.1	23	10791	11114	-1	E											0
JDTG01000019.1_JDTG01000019.1_24	JDTG01000019.1	JDTG01000019.1	24	11111	11527	-1	E											0
JDTG01000019.1_JDTG01000019.1_25	JDTG01000019.1	JDTG01000019.1	25	11532	12143	-1	E											0
JDTG01000019.1_JDTG01000019.1_26	JDTG01000019.1	JDTG01000019.1	26	12140	12454	-1	E											0
JDTG01000019.1_JDTG01000019.1_27	JDTG01000019.1	JDTG01000019.1	27	12451	12735	-1	E											0
JDTG01000019.1_JDTG01000019.1_28	JDTG01000019.1	JDTG01000019.1	28	12732	12881	-1	E											1
JDTG01000019.1_JDTG01000019.1_29	JDTG01000019.1	JDTG01000019.1	29	12904	13149	-1	E											0
JDTG01000019.1_JDTG01000019.1_30	JDTG01000019.1	JDTG01000019.1	30	13146	13499	-1	E											0
JDTG01000019.1_JDTG01000019.1_31	JDTG01000019.1	JDTG01000019.1	31	13502	13813	-1	E											0
JDTG01000019.1_JDTG01000019.1_32	JDTG01000019.1	JDTG01000019.1	32	13813	14130	-1	D										Transcriptional regulator PadR-like family [PF03551.17]	0
JDTG01000019.1_JDTG01000019.1_33	JDTG01000019.1	JDTG01000019.1	33	14728	17382	1	E											0
JDTG01000019.1_JDTG01000019.1_34	JDTG01000019.1	JDTG01000019.1	34	17390	18139	-1	D										Phosphoadenosine phosphosulfate reductase family [PF01507.22]	0
JDTG01000019.1_JDTG01000019.1_35	JDTG01000019.1	JDTG01000019.1	35	18136	18864	-1	D										ParB/Sulfiredoxin domain [PF02195.21]	0
JDTG01000019.1_JDTG01000019.1_36	JDTG01000019.1	JDTG01000019.1	36	18861	20210	-1	D										Domain of unknown function (DUF3440) [PF11922.11]; Phosphoadenosine phosphosulfate reductase family [PF01507.22]	0
JDTG01000019.1_JDTG01000019.1_37	JDTG01000019.1	JDTG01000019.1	37	20213	20449	-1	E											0
JDTG01000019.1_JDTG01000019.1_38	JDTG01000019.1	JDTG01000019.1	38	20446	21276	-1	E											0
JDTG01000019.1_JDTG01000019.1_39	JDTG01000019.1	JDTG01000019.1	39	21321	22085	-1	E											0
JDTG01000019.1_JDTG01000019.1_40	JDTG01000019.1	JDTG01000019.1	40	22089	22973	-1	E											0
JDTG01000019.1_JDTG01000019.1_41	JDTG01000019.1	JDTG01000019.1	41	22970	23386	-1	E											0
JDTG01000019.1_JDTG01000019.1_42	JDTG01000019.1	JDTG01000019.1	42	23383	24108	-1	E											0
JDTG01000019.1_JDTG01000019.1_43	JDTG01000019.1	JDTG01000019.1	43	24219	25055	-1	D										Family of unknown function (DUF6009) [PF19472.2]	0
JDTG01000019.1_JDTG01000019.1_44	JDTG01000019.1	JDTG01000019.1	44	25059	25274	-1	E											0
JDTG01000019.1_JDTG01000019.1_45	JDTG01000019.1	JDTG01000019.1	45	25271	25366	-1	E											0
JDTG01000019.1_JDTG01000019.1_46	JDTG01000019.1	JDTG01000019.1	46	25363	25908	-1	E											0
JDTG01000019.1_JDTG01000019.1_47	JDTG01000019.1	JDTG01000019.1	47	25905	26984	-1	D										Phosphoadenosine phosphosulfate reductase family [PF01507.22]	0
JDTG01000019.1_JDTG01000019.1_48	JDTG01000019.1	JDTG01000019.1	48	26981	27283	-1	E											0
JDTG01000019.1_JDTG01000019.1_49	JDTG01000019.1	JDTG01000019.1	49	27273	28061	-1	D										Protein of unknown function (DUF5131) [PF07505.14]	0
JDTG01000019.1_JDTG01000019.1_50	JDTG01000019.1	JDTG01000019.1	50	28054	28323	-1	E											0
JDTG01000019.1_JDTG01000019.1_51	JDTG01000019.1	JDTG01000019.1	51	28320	28418	-1	E											0
JDTG01000019.1_JDTG01000019.1_52	JDTG01000019.1	JDTG01000019.1	52	28415	29266	-1	E											0
JDTG01000019.1_JDTG01000019.1_53	JDTG01000019.1	JDTG01000019.1	53	29263	29739	-1	E											0
JDTG01000019.1_JDTG01000019.1_54	JDTG01000019.1	JDTG01000019.1	54	29739	29984	-1	E											0
