pR1SE,predicted function,Halorubrum saccharovorum,Haloterrigena turkmenica,Halopiger xanaduensis
ORF6,coat protein,WP_152421865.1,WP_012946144.1,WP_013876082.1
ORF8,Kinase? - binds ORF7,WP_004048522.1,WP_012946146.1,WP_013876080.1
ORF10,unknown,WP_004048516.1,,WP_013876076.1
ORF17,Pilin-like,WP_004048507.1,WP_012946156.1,WP_013876072.1
ORF21,unknown,WP_004048502.1,WP_012946160.1,WP_013876068.1
ORF23,TM-domain,WP_004048500.1,WP_012946162.1,WP_049895738.1
ORF24,TM-domain,WP_004048499.1,WP_012946163.1,WP_013876066.1
