	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	heme_regulatory_motif_count
Eyre_NODE_236_length_33155_cov_19.932_Eyre_NODE_236_length_33155_cov_19.932_1	Eyre_NODE_236_length_33155_cov_19.932	Eyre_NODE_236_length_33155_cov_19.932	1	3	86	1	E									0
Eyre_NODE_236_length_33155_cov_19.932_Eyre_NODE_236_length_33155_cov_19.932_2	Eyre_NODE_236_length_33155_cov_19.932	Eyre_NODE_236_length_33155_cov_19.932	2	83	262	1	E									0
Eyre_NODE_236_length_33155_cov_19.932_Eyre_NODE_236_length_33155_cov_19.932_3	Eyre_NODE_236_length_33155_cov_19.932	Eyre_NODE_236_length_33155_cov_19.932	3	259	717	1	E									0
Eyre_NODE_236_length_33155_cov_19.932_Eyre_NODE_236_length_33155_cov_19.932_4	Eyre_NODE_236_length_33155_cov_19.932	Eyre_NODE_236_length_33155_cov_19.932	4	785	1051	1	E									0
Eyre_NODE_236_length_33155_cov_19.932_Eyre_NODE_236_length_33155_cov_19.932_5	Eyre_NODE_236_length_33155_cov_19.932	Eyre_NODE_236_length_33155_cov_19.932	5	1092	2876	1	D								Helicase HerA, central domain [PF01935.20]; TraG P-loop domain [PF19044.3]	0
Eyre_NODE_236_length_33155_cov_19.932_Eyre_NODE_236_length_33155_cov_19.932_6	Eyre_NODE_236_length_33155_cov_19.932	Eyre_NODE_236_length_33155_cov_19.932	6	2964	3488	1	D								Protein of unknown function (DUF1643) [PF07799.15]	0
Eyre_NODE_236_length_33155_cov_19.932_Eyre_NODE_236_length_33155_cov_19.932_7	Eyre_NODE_236_length_33155_cov_19.932	Eyre_NODE_236_length_33155_cov_19.932	7	3609	3845	1	E									0
Eyre_NODE_236_length_33155_cov_19.932_Eyre_NODE_236_length_33155_cov_19.932_8	Eyre_NODE_236_length_33155_cov_19.932	Eyre_NODE_236_length_33155_cov_19.932	8	3848	4015	1	E									0
Eyre_NODE_236_length_33155_cov_19.932_Eyre_NODE_236_length_33155_cov_19.932_9	Eyre_NODE_236_length_33155_cov_19.932	Eyre_NODE_236_length_33155_cov_19.932	9	4022	4813	1	E									0
Eyre_NODE_236_length_33155_cov_19.932_Eyre_NODE_236_length_33155_cov_19.932_10	Eyre_NODE_236_length_33155_cov_19.932	Eyre_NODE_236_length_33155_cov_19.932	10	4878	5183	1	E									0
Eyre_NODE_236_length_33155_cov_19.932_Eyre_NODE_236_length_33155_cov_19.932_11	Eyre_NODE_236_length_33155_cov_19.932	Eyre_NODE_236_length_33155_cov_19.932	11	5184	5777	1	E									0
Eyre_NODE_236_length_33155_cov_19.932_Eyre_NODE_236_length_33155_cov_19.932_12	Eyre_NODE_236_length_33155_cov_19.932	Eyre_NODE_236_length_33155_cov_19.932	12	5842	6192	1	E									0
Eyre_NODE_236_length_33155_cov_19.932_Eyre_NODE_236_length_33155_cov_19.932_13	Eyre_NODE_236_length_33155_cov_19.932	Eyre_NODE_236_length_33155_cov_19.932	13	6283	6657	-1	E									0
Eyre_NODE_236_length_33155_cov_19.932_Eyre_NODE_236_length_33155_cov_19.932_14	Eyre_NODE_236_length_33155_cov_19.932	Eyre_NODE_236_length_33155_cov_19.932	14	6650	7366	-1	E									0
Eyre_NODE_236_length_33155_cov_19.932_Eyre_NODE_236_length_33155_cov_19.932_15	Eyre_NODE_236_length_33155_cov_19.932	Eyre_NODE_236_length_33155_cov_19.932	15	7498	7908	-1	D								Homing endonuclease associated repeat [PF18780.4]	1
