orf#,start,end,strand,contig,id,annot,score,evalue,aln_length,length
32,26348,30238,FALSE,AOIR01000042.1,AOIR01000042.1_32,unknown,,,,3890
33,30273,32606,TRUE,AOIR01000042.1,AOIR01000042.1_33,unknown,,,,2333
34,32721,34274,TRUE,AOIR01000042.1,AOIR01000042.1_34,unknown,,,,1553
35,34386,35210,TRUE,AOIR01000042.1,AOIR01000042.1_35,unknown,,,,824
36,35358,36011,TRUE,AOIR01000042.1,AOIR01000042.1_36,unknown,,,,653
37,36139,37464,TRUE,AOIR01000042.1,AOIR01000042.1_37,ORF6,70.3,5.1e-22,254,1325
38,37636,37947,TRUE,AOIR01000042.1,AOIR01000042.1_38,unknown,,,,311
39,38074,38166,FALSE,AOIR01000042.1,AOIR01000042.1_39,unknown,,,,92
40,39198,39758,TRUE,AOIR01000042.1,AOIR01000042.1_40,unknown,,,,560
41,40212,41303,TRUE,AOIR01000042.1,AOIR01000042.1_41,unknown,,,,1091
42,41446,41805,FALSE,AOIR01000042.1,AOIR01000042.1_42,unknown,,,,359
43,41965,45603,TRUE,AOIR01000042.1,AOIR01000042.1_43,ORF6,846.7,2.3e-256,1172,3638
44,45596,47278,TRUE,AOIR01000042.1,AOIR01000042.1_44,unknown,,,,1682
45,47278,48096,TRUE,AOIR01000042.1,AOIR01000042.1_45,ORF8,143.6,3.5e-44,248,818
46,48263,49249,TRUE,AOIR01000042.1,AOIR01000042.1_46,ORF10,96.2,1.3e-29,317,986
47,49396,50106,TRUE,AOIR01000042.1,AOIR01000042.1_47,unknown,,,,710
48,50106,50543,TRUE,AOIR01000042.1,AOIR01000042.1_48,unknown,,,,437
49,50522,51436,TRUE,AOIR01000042.1,AOIR01000042.1_49,ORF17,329,1.4e-100,296,914
50,51442,51699,TRUE,AOIR01000042.1,AOIR01000042.1_50,unknown,,,,257
51,51699,51965,TRUE,AOIR01000042.1,AOIR01000042.1_51,unknown,,,,266
52,52065,52313,TRUE,AOIR01000042.1,AOIR01000042.1_52,unknown,,,,248
53,52310,52891,TRUE,AOIR01000042.1,AOIR01000042.1_53,ORF21,194.7,7.7e-60,172,581
54,52891,53916,TRUE,AOIR01000042.1,AOIR01000042.1_54,unknown,,,,1025
55,53919,55250,TRUE,AOIR01000042.1,AOIR01000042.1_55,ORF23,467.8,1.6e-142,430,1331
56,55253,56785,TRUE,AOIR01000042.1,AOIR01000042.1_56,ORF24,487.1,3e-148,498,1532
57,56852,59248,TRUE,AOIR01000042.1,AOIR01000042.1_57,unknown,,,,2396
58,59502,59756,FALSE,AOIR01000042.1,AOIR01000042.1_58,unknown,,,,254
59,60046,60204,TRUE,AOIR01000042.1,AOIR01000042.1_59,unknown,,,,158
60,60255,60635,TRUE,AOIR01000042.1,AOIR01000042.1_60,unknown,,,,380
61,61478,61825,FALSE,AOIR01000042.1,AOIR01000042.1_61,unknown,,,,347
37,24773,25243,FALSE,CP050018.1,CP050018.1_37,unknown,,,,470
38,25391,26203,FALSE,CP050018.1,CP050018.1_38,unknown,,,,812
39,26243,26719,FALSE,CP050018.1,CP050018.1_39,unknown,,,,476
40,26939,27139,TRUE,CP050018.1,CP050018.1_40,unknown,,,,200
41,27328,27978,TRUE,CP050018.1,CP050018.1_41,unknown,,,,650
42,27991,31485,TRUE,CP050018.1,CP050018.1_42,ORF6,971.3,9.4e-294,1150,3494
43,31492,33045,TRUE,CP050018.1,CP050018.1_43,unknown,,,,1553
44,33042,33755,TRUE,CP050018.1,CP050018.1_44,ORF8,141.9,1.9e-43,234,713
45,33755,33889,TRUE,CP050018.1,CP050018.1_45,unknown,,,,134
46,33876,34895,TRUE,CP050018.1,CP050018.1_46,unknown,,,,1019
47,34898,36022,TRUE,CP050018.1,CP050018.1_47,unknown,,,,1124
48,36019,36252,TRUE,CP050018.1,CP050018.1_48,unknown,,,,233
49,36374,37423,TRUE,CP050018.1,CP050018.1_49,ORF10,190.8,3.9e-58,332,1049
50,37667,38458,TRUE,CP050018.1,CP050018.1_50,unknown,,,,791
51,38573,39220,TRUE,CP050018.1,CP050018.1_51,unknown,,,,647
52,39227,39730,TRUE,CP050018.1,CP050018.1_52,unknown,,,,503
53,39733,40239,TRUE,CP050018.1,CP050018.1_53,unknown,,,,506
54,40242,40499,TRUE,CP050018.1,CP050018.1_54,unknown,,,,257
55,40506,41234,TRUE,CP050018.1,CP050018.1_55,unknown,,,,728
56,41231,41617,TRUE,CP050018.1,CP050018.1_56,unknown,,,,386
